Allele_count Bstat Neanderthal non-Neanderthal
1 0 41 5885
1 50 2 3723
1 100 28 6338
1 150 70 6971
1 200 36 8657
1 250 82 10597
1 300 70 12120
1 350 161 15797
1 400 311 19876
1 450 189 23777
1 500 268 27246
1 550 307 33324
1 600 451 41521
1 650 473 50813
1 700 508 62910
1 750 528 81530
1 800 855 110820
1 850 1269 166076
1 900 1802 247767
1 950 2196 252147
2 0 6 1396
2 100 66 1451
2 150 85 1830
2 200 17 2118
2 250 8 2693
2 300 27 3003
2 350 38 4178
2 400 23 5317
2 450 33 5994
2 500 73 6955
2 550 64 8566
2 600 75 10052
2 650 152 13732
2 700 107 16346
2 750 125 22204
2 800 240 29875
2 850 347 46074
2 900 471 67220
2 950 516 68434
3 0 1 536
3 100 1 741
3 200 2 1051
3 250 39 1550
3 300 21 1953
3 350 6 2560
3 400 11 3102
3 450 42 3439
3 500 41 4174
3 550 26 4932
3 600 29 6809
3 650 32 8297
3 700 68 9752
3 750 49 14428
3 800 57 20011
3 850 240 28988
3 900 270 44398
3 950 225 44126
4 150 2 710
4 250 7 1308
4 300 5 1590
4 350 44 1945
4 400 5 2945
4 450 9 3100
4 500 13 3637
4 550 8 4803
4 600 14 5523
4 650 33 7272
4 700 33 8622
4 750 35 10826
4 800 79 15525
4 850 99 25040
4 900 269 36543
4 950 184 38634
5 0 1 357
5 150 1 478
5 250 1 1154
5 300 2 1353
5 350 46 1952
5 400 1 2268
5 450 21 2556
5 500 10 3040
5 550 12 3869
5 600 24 4670
5 650 33 5571
5 700 16 7182
5 750 51 10293
5 800 82 13906
5 850 57 21118
5 900 82 31126
5 950 180 34127
6 150 1 733
6 200 3 637
6 400 1 2229
6 450 17 2612
6 500 40 2930
6 550 16 3329
6 600 32 4248
6 650 18 5363
6 700 9 7061
6 750 31 9593
6 800 15 13002
6 850 49 19522
6 900 71 30421
6 950 55 32265
7 150 1 412
7 200 2 756
7 250 3 788
7 300 1 903
7 350 1 1175
7 400 3 2058
7 450 4 2278
7 500 44 2621
7 550 41 3050
7 600 22 3818
7 650 13 5103
7 700 35 6611
7 750 34 8609
7 800 21 12533
7 850 51 18925
7 900 54 28284
7 950 94 30407
8 200 3 747
8 400 3 2099
8 450 2 2060
8 500 1 2763
8 550 4 3040
8 600 26 3866
8 650 45 5276
8 700 9 6070
8 750 34 7688
8 800 190 11319
8 850 38 16484
8 900 87 26678
8 950 31 27852
9 200 24 547
9 250 1 635
9 300 1 990
9 350 47 1316
9 400 25 1695
9 450 18 1805
9 500 2 2301
9 550 23 2974
9 600 7 3767
9 650 24 4345
9 700 17 5724
9 750 48 7031
9 800 20 10883
9 850 80 16050
9 900 48 25258
9 950 56 26276
10 150 7 583
10 200 4 510
10 250 4 801
10 300 4 1025
10 350 1 1267
10 400 1 1506
10 450 3 1736
10 500 6 2258
10 550 6 2476
10 600 1 3316
10 650 2 3397
10 700 4 5163
10 750 8 6906
10 800 1 10086
10 850 32 15896
10 900 60 24388
10 950 37 23965
11 350 2 1046
11 400 1 1439
11 450 6 1730
11 500 2 1925
11 550 3 2589
11 600 2 3222
11 650 11 4193
11 700 19 5259
11 750 3 7499
11 800 3 9625
11 850 19 15003
11 900 28 22751
11 950 25 24082
12 500 10 1751
12 550 15 2611
12 600 11 2980
12 650 17 3575
12 700 10 4763
12 750 12 6859
12 800 16 9249
12 850 46 13824
12 900 22 22044
12 950 28 22577
13 500 19 1970
13 800 5 8749
13 850 11 13601
13 900 3 20811
13 950 15 20493
14 500 1 1787
14 550 4 2266
14 600 1 2781
14 800 1 7991
14 850 28 13413
14 900 31 20565
14 950 37 20811
15 300 4 567
15 350 2 854
15 750 8 5592
15 800 11 8118
15 850 5 12771
15 900 6 19653
15 950 10 19725
16 500 1 1652
16 600 1 2297
16 650 10 3098
16 750 1 5514
16 800 5 8142
16 850 7 11700
16 900 61 18838
16 950 4 20780
17 500 4 1581
17 550 6 1969
17 600 12 2573
17 700 1 3814
17 750 3 5249
17 800 1 7636
17 900 3 18315
17 950 3 19412
18 300 21 730
18 350 9 765
18 400 3 898
18 450 1 1082
18 550 1 1940
18 600 1 2565
18 800 13 7517
18 850 5 10642
18 900 12 18115
18 950 30 18605
19 500 1 1357
19 600 1 2183
19 750 7 5274
19 800 1 7527
19 850 4 11081
19 950 1 18022
20 600 1 2258
20 650 1 2714
20 700 4 3725
20 750 8 5218
20 900 1 17441
20 950 5 17188
21 850 9 9960
21 900 4 15807
21 950 1 16672
22 500 2 1488
22 650 1 3101
22 850 8 9650
22 900 3 15502
23 900 2 15225
23 950 14 15929
24 900 1 14406
24 950 18 16129
25 600 1 2102
25 650 2 2761
25 900 2 13980
25 950 5 14992
26 450 1 1162
26 500 5 1278
26 550 2 1696
26 600 1 1907
26 700 1 2986
26 750 1 4353
26 900 14 13834
27 550 10 1391
27 700 1 2709
27 850 1 8757
27 900 5 14135
27 950 2 14339
28 500 15 1147
28 900 19 13210
28 950 1 13677
29 850 4 8362
29 900 3 13206
30 550 1 1310
31 850 8 8332
32 850 4 8046
33 500 1 1029
33 750 1 3559
34 500 2 1108
34 550 1 1333
34 700 4 2560
34 750 8 3564
35 550 2 1470
35 850 15 7539
36 650 1 1929
36 850 1 6974
37 850 19 6843
38 250 1 196
39 850 1 6984
51 600 3 1217
51 650 1 1731
