Allele_count Bstat Neanderthal non-Neanderthal
1 0 1 5848
1 50 6 3715
1 100 2 6260
1 150 4 6877
1 200 12 8528
1 250 27 10305
1 300 65 11817
1 350 81 15414
1 400 55 19497
1 450 52 23129
1 500 197 26649
1 550 212 32544
1 600 188 40617
1 650 220 49256
1 700 420 60922
1 750 529 79532
1 800 901 107715
1 850 1286 162229
1 900 1812 241124
1 950 2621 245036
2 100 1 1431
2 250 1 2645
2 300 3 2951
2 350 8 4093
2 400 6 5157
2 450 22 5726
2 500 14 6757
2 550 36 8322
2 600 65 9713
2 650 80 13240
2 700 99 15695
2 750 113 21319
2 800 229 28507
2 850 298 44286
2 900 453 64797
2 950 647 65584
3 250 2 1451
3 300 2 1911
3 350 5 2510
3 400 10 3007
3 450 39 3224
3 500 52 3991
3 550 44 4827
3 600 44 6572
3 650 46 8054
3 700 49 9469
3 750 61 13847
3 800 119 18998
3 850 175 28065
3 900 272 42569
3 950 294 42108
4 250 9 1259
4 300 12 1541
4 350 5 1922
4 400 8 2809
4 450 4 2939
4 500 17 3424
4 550 33 4586
4 600 15 5261
4 650 32 6960
4 700 134 8227
4 750 106 10121
4 800 118 14756
4 850 181 23904
4 900 233 35137
4 950 335 36834
5 350 10 1861
5 400 20 2227
5 450 29 2477
5 500 16 2947
5 550 7 3815
5 600 40 4445
5 650 16 5350
5 700 24 6914
5 750 45 9848
5 800 61 13345
5 850 156 20230
5 900 226 29824
5 950 426 32362
6 350 1 1408
6 400 1 2151
6 450 18 2528
6 500 37 2834
6 550 18 3235
6 600 18 4079
6 650 25 5243
6 700 13 6897
6 750 52 9293
6 800 79 12511
6 850 128 18872
6 900 172 29514
6 950 191 30488
7 150 1 408
7 200 1 766
7 250 1 755
7 400 18 1991
7 450 31 2153
7 500 35 2573
7 550 9 2931
7 600 24 3675
7 650 45 4921
7 700 44 6414
7 750 48 8312
7 800 68 11851
7 850 66 17891
7 900 78 26992
7 950 136 28927
8 350 3 1220
8 400 1 2081
8 450 2 1997
8 500 1 2716
8 550 22 2926
8 600 20 3715
8 650 62 5038
8 700 12 5930
8 750 15 7428
8 800 55 10814
8 850 99 15892
8 900 219 25669
8 950 147 26264
9 200 1 546
9 350 1 1275
9 400 9 1660
9 450 11 1723
9 500 4 2238
9 550 8 2815
9 600 3 3540
9 650 7 4145
9 700 38 5556
9 750 38 6733
9 800 35 10470
9 850 134 15536
9 900 140 24297
9 950 103 25021
