Allele_count Bstat Neanderthal non-Neanderthal
1 0 7 7347
1 50 9 4462
1 100 33 7617
1 150 95 9823
1 200 61 11621
1 250 87 14127
1 300 120 16648
1 350 183 21490
1 400 134 26206
1 450 209 30699
1 500 281 35676
1 550 421 44648
1 600 374 53878
1 650 497 65381
1 700 661 79675
1 750 1024 104686
1 800 1321 143000
1 850 1773 212538
1 900 2854 311680
1 950 3531 313691
2 50 4 1486
2 100 11 2632
2 150 22 3516
2 200 9 3565
2 250 59 4917
2 300 33 5296
2 350 25 7380
2 400 14 8530
2 450 45 9979
2 500 70 12296
2 550 56 15012
2 600 99 18423
2 650 84 22235
2 700 82 28168
2 750 241 35970
2 800 267 50400
2 850 466 73563
2 900 615 114891
2 950 821 117988
3 100 1 1140
3 150 11 1807
3 200 27 1698
3 250 15 2250
3 300 26 2914
3 350 16 4192
3 400 16 5332
3 450 15 6371
3 500 55 7298
3 550 38 9360
3 600 82 11752
3 650 35 13507
3 700 130 17123
3 750 173 22288
3 800 141 31538
3 850 237 49058
3 900 299 72811
3 950 272 73405
4 150 2 1040
4 250 1 1887
4 300 1 2604
4 350 12 3086
4 400 2 4301
4 450 5 4678
4 550 4 6831
4 600 4 8717
4 650 15 10045
4 700 23 12726
4 750 65 17091
4 800 58 24540
4 850 101 35597
4 900 246 54395
4 950 175 56517
5 350 2 2205
5 400 5 2857
5 450 3 3261
5 500 20 4338
5 550 29 5706
5 600 44 6295
5 650 32 8467
5 700 30 10589
5 750 22 14006
5 800 103 20239
5 850 115 30185
5 900 45 47365
5 950 41 48461
6 250 33 1583
6 300 6 1685
6 350 30 1908
6 450 10 3183
6 550 8 4567
6 600 1 5474
6 650 5 7070
6 700 14 8619
6 750 8 12792
6 800 17 18119
6 850 31 27348
6 900 68 43010
6 950 43 44111
7 400 1 2450
7 500 5 3427
7 550 6 4354
7 650 10 6365
7 700 15 8065
7 750 12 11205
7 800 7 16882
7 850 7 25000
7 900 10 37706
7 950 52 38695
8 300 1 1221
8 500 2 3222
8 550 14 3685
8 600 1 4382
8 650 4 6084
8 700 23 7606
8 750 10 11221
8 800 15 14756
8 850 25 22191
8 900 20 34204
8 950 31 35406
9 700 5 7165
9 750 5 9080
9 850 11 20341
9 900 24 31265
9 950 47 33380
10 450 2 2274
10 700 2 6747
10 800 4 12590
10 850 26 18339
10 900 9 29206
10 950 15 31043
11 750 3 8324
11 800 8 11395
11 850 1 17884
11 900 4 27623
11 950 10 29228
12 300 1 901
12 350 1 1004
12 850 18 16491
13 500 9 2110
13 550 1 2727
13 600 6 3708
13 650 1 4793
13 750 4 7366
13 800 2 9952
13 850 3 15929
13 900 5 24705
13 950 7 25671
14 600 1 3390
14 650 3 3729
14 700 6 5288
14 750 6 7407
14 800 2 10121
14 850 10 15072
15 650 5 4025
15 750 7 6873
15 800 1 9395
15 850 1 15080
15 900 2 23133
15 950 1 22835
16 550 2 2480
16 600 1 3034
16 900 3 21448
16 950 1 22034
17 200 1 412
17 900 1 20794
17 950 30 21732
19 500 4 1693
19 900 1 18159
20 800 1 7786
21 850 2 11278
22 850 1 11506
22 900 1 17127
22 950 2 17827
30 900 1 13571
32 850 1 8235
