Allele_count Bstat Neanderthal non-Neanderthal
1 0 0 7283
1 50 13 4417
1 100 5 7482
1 150 25 9463
1 200 65 11205
1 250 70 13743
1 300 68 16263
1 350 87 21152
1 400 129 25691
1 450 125 30107
1 500 108 34705
1 550 232 43413
1 600 311 52375
1 650 403 63485
1 700 537 77465
1 750 736 101186
1 800 1262 138083
1 850 1656 205032
1 900 2514 301419
1 950 3145 301518
2 50 1 1464
2 100 1 2426
2 150 2 3398
2 200 4 3456
2 250 5 4742
2 300 11 5123
2 350 42 7236
2 400 25 8387
2 450 33 9488
2 500 133 11614
2 550 64 14343
2 600 79 17375
2 650 154 21132
2 700 112 26829
2 750 272 34266
2 800 311 48271
2 850 420 69776
2 900 986 108504
2 950 1102 111234
3 150 2 1796
3 200 1 1672
3 250 23 2103
3 300 7 2801
3 350 5 3911
3 400 30 5085
3 450 28 6092
3 500 25 7036
3 550 23 8856
3 600 54 11308
3 650 65 13030
3 700 84 16359
3 750 125 21197
3 800 261 29397
3 850 350 46717
3 900 475 68576
3 950 694 68175
4 250 1 1786
4 300 1 2522
4 350 1 2916
4 400 12 3979
4 450 16 4328
4 500 4 5372
4 550 6 6496
4 600 16 8402
4 650 33 9694
4 700 48 12033
4 750 84 16262
4 800 151 23251
4 850 242 33144
4 900 265 51256
4 950 183 53688
5 400 2 2793
5 450 14 3061
5 500 7 4116
5 550 7 5582
5 600 19 6140
5 650 10 8079
5 700 26 10200
5 750 32 13424
5 800 110 19116
5 850 102 28615
5 900 185 44682
5 950 185 45471
6 250 1 1491
6 400 23 2426
6 450 3 3038
6 500 2 3811
6 550 22 4346
6 600 7 5224
6 650 19 6725
6 700 22 8248
6 750 25 12089
6 800 17 17046
6 850 84 26087
6 900 75 41233
6 950 166 41405
7 100 1 546
7 300 2 1225
7 350 1 1907
7 400 6 2267
7 450 3 2629
7 500 1 3316
7 550 19 4235
7 600 18 5621
7 650 15 6213
7 700 24 7734
7 750 34 10641
7 800 30 15973
7 850 49 23949
7 900 153 35817
7 950 121 36263
8 0 4 358
8 350 1 1805
8 400 6 2285
8 450 2 2282
8 550 8 3616
8 600 8 4247
8 650 32 5860
8 700 1 7187
8 750 15 10662
8 800 28 14137
8 850 34 21355
8 900 75 32728
8 950 81 33491
9 400 1 2063
9 450 16 2108
9 550 2 3308
9 600 19 4292
9 650 3 5278
9 750 4 8579
9 800 16 12563
9 850 35 19553
9 900 42 29916
9 950 77 31358
10 500 8 2600
10 550 2 3064
10 600 3 4057
10 700 2 6555
10 750 29 9029
10 800 10 12231
10 850 29 17599
10 900 60 27938
10 950 53 29160
11 600 8 3605
11 650 6 4678
11 700 6 6269
11 750 3 8028
11 800 10 11040
11 850 6 17226
11 900 15 26569
11 950 71 27616
12 400 6 1520
12 500 1 2120
12 550 18 2885
12 650 5 4479
12 700 3 5715
12 750 2 7588
12 800 18 10926
12 850 30 15695
12 900 28 25172
12 950 34 26388
13 300 1 866
13 500 2 2054
13 650 3 4676
13 700 4 5395
13 750 2 7155
13 800 4 9505
13 850 8 15273
13 900 24 23892
13 950 5 24348
14 700 3 5154
14 750 4 7159
14 800 11 9768
14 850 3 14553
14 900 9 22894
14 950 10 23906
15 600 1 3099
15 650 6 3932
15 700 4 5264
15 750 2 6745
15 800 9 9066
15 850 14 14496
15 900 46 22166
15 950 11 21828
16 400 1 1265
16 750 3 6693
16 800 14 8994
16 850 13 13560
16 900 22 20630
16 950 1 21098
17 100 2 265
17 150 2 260
17 350 6 1089
17 400 6 1156
17 450 1 1323
17 700 1 4191
17 750 1 6076
17 800 1 8730
17 850 12 12485
17 900 3 19888
17 950 2 20697
18 500 1 1600
18 700 4 3831
18 800 1 7793
18 850 5 12391
18 900 51 18748
18 950 4 18763
19 450 2 1392
19 500 27 1627
19 550 23 2332
19 800 4 7776
19 850 6 11360
19 900 5 17422
19 950 3 18733
20 650 3 3105
20 850 1 11491
20 900 2 18089
20 950 3 18135
21 750 2 4862
21 850 2 10905
21 900 5 17040
21 950 6 18154
22 650 1 2910
22 700 1 3580
22 800 4 7189
22 850 2 10962
22 900 6 16439
22 950 18 16982
23 750 1 4870
23 850 4 10119
23 900 9 15452
23 950 12 16882
24 750 2 5117
24 800 5 6864
24 850 2 10306
24 900 1 15465
24 950 11 15656
25 750 1 4792
25 850 2 10113
27 750 1 4376
27 900 3 13762
28 850 3 8866
