Allele_count Bstat Neanderthal non-Neanderthal
1 0 0 6024
1 250 2 10915
1 300 1 12523
1 350 2 16408
1 400 4 20676
1 450 2 24299
1 500 112 28005
1 550 25 34266
1 600 44 42626
1 650 36 51921
1 700 17 64112
1 750 20 83281
1 800 49 112989
1 850 97 169015
1 900 235 252786
1 950 301 256850
2 450 1 6187
2 500 1 7231
2 550 5 9111
2 600 1 10643
2 650 1 14154
2 700 3 16986
2 750 3 22790
2 800 10 30981
2 850 98 47553
2 900 41 69589
2 950 38 70287
3 450 9 3567
3 500 10 4372
3 550 42 5126
3 600 17 6997
3 650 1 8537
3 700 4 10091
3 750 3 14919
3 800 20 20677
3 850 81 30024
3 900 53 46339
3 950 24 45747
4 650 1 7635
4 700 1 9062
4 750 44 11283
4 800 23 16123
4 850 14 26072
4 900 29 38372
4 950 33 40150
5 450 1 2673
5 500 13 3231
5 550 1 4017
5 750 6 10728
5 800 14 14549
5 850 13 21851
5 900 80 32666
5 950 16 35710
6 250 3 989
6 450 11 2709
6 500 9 3034
6 550 1 3389
6 600 1 4378
6 700 1 7395
6 750 4 9971
6 800 8 13668
6 850 9 20313
6 900 32 31481
6 950 5 33400
7 900 5 29400
8 750 1 7969
8 850 9 17164
8 900 10 27755
8 950 1 28798
9 900 5 26358
9 950 6 27364
10 900 1 25187
10 950 1 24958
11 450 1 1860
11 500 1 1970
11 900 24 23506
12 650 1 3704
12 850 1 14328
12 900 4 22880
15 500 15 1848
15 550 3 2251
15 600 8 2923
15 650 2 3289
16 700 3 4094
16 750 1 5633
17 900 2 18654
19 600 1 2253
