Allele_count Bstat Neanderthal non-Neanderthal
1 0 0 7360
1 200 51 11852
1 250 16 14362
1 300 12 17140
1 350 7 22198
1 400 16 27016
1 450 32 32072
1 500 34 37094
1 550 54 46260
1 600 36 55505
1 650 71 67379
1 700 41 82079
1 750 60 107688
1 800 166 147143
1 850 152 218638
1 900 193 320799
1 950 271 322938
2 350 13 7587
2 400 30 8905
2 450 76 10346
2 500 8 12895
2 550 4 15728
2 600 3 19293
2 650 18 23345
2 700 12 29865
2 750 8 37967
2 800 22 52662
2 850 26 77247
2 900 168 120556
2 950 95 124881
3 400 2 5776
3 500 2 7730
3 550 12 9947
3 600 18 12325
3 650 27 14346
3 700 9 18276
3 750 1 23793
3 800 10 33305
3 850 29 51714
3 900 59 77660
3 950 2 77398
4 600 2 9025
4 800 5 25865
4 850 1 37149
4 900 4 57249
4 950 21 60073
5 850 1 31986
5 900 5 49625
5 950 10 51078
6 950 44 46350
7 550 1 4481
7 750 1 11707
9 900 1 32776
9 950 1 34961
