Allele_count Bstat Neanderthal non-Neanderthal
1 0 0 12719
1 50 6 7714
1 100 122 12467
1 150 32 16099
1 200 33 17982
1 250 96 22891
1 300 77 26725
1 350 84 34883
1 400 57 42295
1 450 51 49011
1 500 76 57681
1 550 184 71228
1 600 258 86947
1 650 296 103120
1 700 183 126614
1 750 385 164603
1 800 730 223861
1 850 1124 335693
1 900 1162 491506
1 950 1199 491255
2 50 57 1672
2 100 43 3041
2 150 29 3631
2 200 15 3977
2 250 111 5313
2 300 6 6254
2 350 6 7945
2 400 43 9405
2 450 83 10917
2 500 82 12756
2 550 139 15772
2 600 72 19995
2 650 82 24571
2 700 155 29496
2 750 112 39062
2 800 465 53815
2 850 750 79516
2 900 544 119413
2 950 583 120290
3 200 4 1939
3 250 7 2476
3 350 59 4113
3 400 196 5281
3 450 109 6071
3 500 41 7393
3 550 133 8645
3 600 30 10558
3 650 38 13156
3 700 57 15818
3 750 192 21767
3 800 340 29463
3 850 258 43427
3 900 175 64186
3 950 158 67630
4 250 20 1658
4 300 19 2088
4 350 13 2708
4 400 57 3785
4 450 17 3928
4 550 11 5879
4 600 48 7805
4 650 61 10163
4 700 63 11639
4 750 73 15202
4 800 104 22021
4 850 109 31067
4 900 173 48084
4 950 160 48967
5 350 4 2022
5 400 20 2760
5 550 1 5061
5 600 4 6085
5 650 16 7224
5 700 30 9011
5 750 30 11897
5 800 41 16838
5 850 110 25885
5 900 166 38891
5 950 80 39345
6 500 37 2955
6 550 22 4088
6 600 32 5094
6 650 16 6378
6 700 4 8291
6 750 24 10284
6 800 39 14412
6 850 74 21520
6 900 59 33654
6 950 199 34604
7 600 13 4525
7 650 3 5349
7 700 4 7377
7 750 1 9077
7 800 3 12933
7 850 8 19208
7 900 244 29259
7 950 44 29888
8 450 1 2269
8 550 5 3553
8 600 45 3978
8 650 20 5006
8 700 11 6251
8 750 15 8468
8 800 1 11276
8 850 5 17437
8 900 6 26237
8 950 12 28508
9 700 77 5666
9 750 3 7382
9 850 3 16369
9 900 34 25381
9 950 4 27026
10 500 28 2205
10 550 1 2625
10 600 1 3763
10 650 9 4185
10 700 11 5247
10 750 13 7180
10 800 3 10444
10 850 3 15040
10 900 65 23492
10 950 51 23709
11 400 1 1404
11 950 14 22322
12 450 4 1433
12 900 9 21017
12 950 28 21244
13 850 1 12442
13 900 29 20618
13 950 41 20852
14 800 2 8139
14 850 23 12522
14 900 4 19493
15 950 13 18903
16 950 23 18449
17 550 1 1621
17 800 1 7084
17 850 5 10365
49 550 1 898
