Allele_count Bstat Neanderthal non-Neanderthal
1 0 53 7558
1 50 48 4988
1 100 169 8162
1 150 305 10010
1 200 171 11948
1 250 77 15739
1 300 201 17940
1 350 224 22932
1 400 337 28210
1 450 391 33102
1 500 443 38992
1 550 518 48381
1 600 807 58381
1 650 941 70507
1 700 848 88938
1 750 1140 114598
1 800 1351 157534
1 850 2134 231704
1 900 2929 343642
1 950 2270 343452
2 0 33 2102
2 50 20 1304
2 100 293 2423
2 150 202 2833
2 200 164 3440
2 250 65 4582
2 300 86 5417
2 350 218 7122
2 400 263 8972
2 450 401 10282
2 500 225 12763
2 550 362 15259
2 600 440 18360
2 650 646 22361
2 700 879 27971
2 750 725 37722
2 800 1156 52375
2 850 1687 77314
2 900 2160 117117
2 950 1612 117340
3 0 22 911
3 50 27 733
3 100 28 1165
3 150 10 1335
3 200 56 1576
3 250 161 2025
3 300 202 2617
3 350 315 4023
3 400 280 5020
3 450 315 5737
3 500 360 6858
3 550 528 8561
3 600 468 10417
3 650 636 12788
3 700 700 15907
3 750 553 21737
3 800 950 31721
3 850 1346 48035
3 900 1669 72393
3 950 906 74129
4 0 8 742
4 50 12 425
4 100 70 929
4 150 9 1232
4 200 13 1242
4 250 5 1670
4 300 24 1954
4 350 57 2821
4 400 98 3990
4 450 200 4463
4 500 236 5008
4 550 172 6462
4 600 204 8248
4 650 189 10016
4 700 264 12380
4 750 307 16842
4 800 395 24016
4 850 750 35802
4 900 1092 54878
4 950 823 55004
5 0 25 679
5 50 46 277
5 100 51 795
5 150 36 751
5 200 24 1059
5 250 23 1585
5 300 77 1786
5 350 76 2494
5 400 37 2852
5 450 149 3200
5 500 103 3963
5 550 194 4940
5 600 181 6704
5 650 273 7709
5 700 320 9884
5 750 347 13606
5 800 531 19631
5 850 769 29011
5 900 855 42858
5 950 752 44460
6 0 1 603
6 50 40 417
6 100 22 601
6 150 50 888
6 200 33 1043
6 250 54 1163
6 300 39 1710
6 350 33 1972
6 400 45 2744
6 450 57 2941
6 500 91 3650
6 550 92 4399
6 600 127 5681
6 650 145 6501
6 700 137 8342
6 750 115 11199
6 800 295 16602
6 850 557 25326
6 900 527 38222
6 950 244 39823
7 0 1 763
7 100 2 491
7 150 3 676
7 200 90 712
7 250 93 995
7 300 126 1166
7 350 168 1697
7 400 98 2087
7 450 36 2675
7 500 74 3163
7 550 48 4092
7 600 137 5198
7 650 150 6133
7 700 202 8047
7 750 197 10574
7 800 191 14145
7 850 391 22075
7 900 444 33508
7 950 242 36224
8 0 2 401
8 100 56 530
8 200 1 848
8 350 9 1388
8 400 26 2004
8 450 33 2266
8 500 53 2661
8 550 49 3872
8 600 174 4574
8 650 64 5931
8 700 49 6711
8 750 98 9788
8 800 121 13380
8 850 171 20127
8 900 263 31464
8 950 148 32688
9 50 4 417
9 200 27 600
9 250 29 819
9 300 1 870
9 350 20 1257
9 400 122 1635
9 450 47 1777
9 500 10 2473
9 550 95 3122
9 600 50 4070
9 650 84 5061
9 700 48 6363
9 750 14 8476
9 800 62 11761
9 850 262 17834
9 900 391 28490
9 950 272 29929
10 50 7 149
10 100 5 390
10 200 5 573
10 250 1 804
10 300 13 1074
10 350 62 1432
10 400 51 1608
10 450 26 1860
10 500 23 2559
10 550 14 2961
10 600 72 3655
10 650 85 4471
10 700 98 5881
10 750 69 7744
10 800 75 11149
10 850 164 17754
10 900 159 26775
10 950 115 28069
11 50 19 205
11 100 59 311
11 150 9 454
11 200 3 622
11 350 3 1466
11 400 20 1897
11 450 39 2043
11 500 29 2284
11 550 66 2641
11 600 148 3612
11 650 34 4196
11 700 38 5861
11 750 90 8076
11 800 61 10842
11 850 27 16100
11 900 59 25264
11 950 24 26601
12 50 11 248
12 100 61 314
12 150 50 394
12 200 8 483
12 250 1 646
12 300 4 562
12 350 3 1053
12 400 2 1654
12 450 12 1791
12 500 3 2102
12 550 29 2556
12 600 68 2972
12 650 70 4299
12 700 25 4958
12 750 39 6994
12 800 60 9733
12 850 48 15788
12 900 95 23345
12 950 47 24601
13 0 65 329
13 350 9 1138
13 400 12 1456
13 450 28 1630
13 500 30 1787
13 550 28 2583
13 600 31 3006
13 650 93 4019
13 700 34 4534
13 750 33 6729
13 800 49 9656
13 850 51 13695
13 900 126 22848
13 950 109 24071
