Allele_count Bstat Neanderthal non-Neanderthal
1 0 4 15521
1 100 3 15520
1 150 8 18436
1 200 3 21878
1 250 2 27120
1 300 11 31775
1 350 60 41183
1 400 151 50565
1 450 169 57614
1 500 243 67519
1 550 243 82809
1 600 227 101599
1 650 319 122816
1 700 343 147894
1 750 273 193535
1 800 463 264489
1 850 785 391798
1 900 1175 575396
1 950 1413 577461
2 100 2 3734
2 150 1 4657
2 250 11 7035
2 300 2 8140
2 350 3 10289
2 400 28 12399
2 450 29 14463
2 500 33 17639
2 550 48 21531
2 600 189 26530
2 650 295 31218
2 700 175 38707
2 750 192 51172
2 800 229 70027
2 850 288 104759
2 900 735 154480
2 950 692 156028
3 0 1 1712
3 150 18 2601
3 200 17 2573
3 300 3 3878
3 350 2 4869
3 400 11 5903
3 450 21 7444
3 500 42 8913
3 550 57 11000
3 600 54 12988
3 650 78 15911
3 700 159 19928
3 750 85 26438
3 800 88 36778
3 850 224 54723
3 900 147 81974
3 950 460 84731
4 300 21 2680
4 350 39 3280
4 400 11 4178
4 450 25 5198
4 500 64 5682
4 550 64 7389
4 600 15 9364
4 650 10 10995
4 700 92 13801
4 750 29 18005
4 800 109 26540
4 850 95 39452
4 900 116 60068
4 950 208 60748
5 450 19 3822
5 500 13 4625
5 550 27 5938
5 600 6 7209
5 650 2 8730
5 700 1 11274
5 750 7 15121
5 800 20 20397
5 850 66 31006
5 900 172 47764
5 950 108 49358
6 400 1 2800
6 450 23 2986
6 500 16 3786
6 550 55 4825
6 600 30 5958
6 650 6 7433
6 700 2 8976
6 800 10 17632
6 850 27 26094
6 900 25 40268
6 950 82 42699
7 750 5 11454
7 800 41 16289
7 900 4 35739
7 950 24 37790
8 800 1 14506
8 900 9 32337
8 950 26 33511
9 800 1 12840
9 950 6 31924
10 550 1 3137
10 900 1 29716
11 900 11 26943
11 950 48 28987
12 950 2 26882
26 550 7 1630
26 600 2 1814
