Allele_count Bstat Neanderthal non-Neanderthal
1 0 186 17760
1 50 13 10472
1 100 6 18051
1 200 19 24665
1 250 3 30869
1 300 8 35409
1 350 57 45660
1 400 136 56959
1 450 83 66085
1 500 44 76686
1 550 57 94434
1 600 78 114764
1 650 184 138992
1 700 86 170117
1 750 273 221430
1 800 135 300667
1 850 387 449628
1 900 879 653430
1 950 674 649956
2 400 15 12805
2 450 20 14975
2 500 1 18200
2 550 6 22086
2 600 2 27215
2 650 6 33046
2 700 8 40683
2 750 113 53137
2 800 137 70839
2 850 224 105726
2 900 194 158890
2 950 438 158056
3 450 1 8227
3 550 2 12301
3 650 5 17527
3 700 22 20933
3 750 32 27103
3 800 51 38517
3 850 100 56879
3 900 23 84013
3 950 46 87153
4 450 35 5146
4 500 21 6449
4 550 76 8024
4 600 14 9928
4 650 128 11908
4 700 12 14463
4 750 4 19706
4 800 103 27033
4 850 52 40024
4 900 61 59950
4 950 75 61186
5 550 29 5883
5 600 12 7845
5 750 26 15043
5 800 26 19873
5 900 20 47811
5 950 36 48536
6 750 4 12158
6 800 6 17231
6 850 2 26454
6 900 85 39659
6 950 29 40353
7 500 1 3387
7 700 12 7919
7 750 84 10181
7 800 8 14295
7 850 16 22328
7 900 89 33908
7 950 91 35542
8 850 3 19368
8 900 4 30184
8 950 2 31184
9 850 8 17914
9 900 2 27675
9 950 34 28403
10 650 101 4126
10 700 6 5306
10 800 26 10790
10 850 66 15423
10 900 1 24401
11 500 19 2237
11 550 8 2777
11 600 5 3503
11 650 3 4214
11 700 6 5607
11 800 2 9629
11 950 31 23907
12 550 1 2507
12 950 39 22993
14 900 6 19162
15 900 2 17825
15 950 2 18148
16 850 7 11158
16 900 56 17246
16 950 11 17721
17 900 17 16446
18 650 5 2660
18 700 12 3554
66 550 39 802
66 600 2 911
