Allele_count Bstat Neanderthal non-Neanderthal
1 0 250 12388
1 50 37 7642
1 100 120 12274
1 150 307 15733
1 200 263 17712
1 250 388 22490
1 300 486 26196
1 350 716 34021
1 400 886 41156
1 450 1004 47679
1 500 983 56394
1 550 1266 69419
1 600 1731 84610
1 650 1904 100592
1 700 2301 123245
1 750 2750 160681
1 800 3731 218925
1 850 5932 328252
1 900 7748 481336
1 950 8427 480662
2 0 13 2518
2 50 43 1567
2 100 113 2901
2 150 176 3430
2 200 43 3852
2 250 130 5018
2 300 170 5896
2 350 267 7430
2 400 307 8931
2 450 401 10204
2 500 312 12086
2 550 367 15026
2 600 423 19065
2 650 655 23338
2 700 668 28036
2 750 912 37397
2 800 1208 51588
2 850 1499 76427
2 900 3298 113357
2 950 2282 115275
3 0 3 1018
3 50 132 654
3 100 145 1155
3 150 73 1571
3 200 70 1845
3 250 54 2353
3 300 35 3011
3 350 57 3865
3 400 152 4897
3 450 205 5665
3 500 338 6763
3 550 289 8108
3 600 298 9860
3 650 470 12148
3 700 554 14796
3 750 446 20495
3 800 638 27915
3 850 770 41412
3 900 1421 60767
3 950 1602 63591
4 0 4 682
4 100 99 772
4 150 9 997
4 200 57 1213
4 250 57 1591
4 300 111 1929
4 350 119 2549
4 400 191 3543
4 450 120 3721
4 500 99 4797
4 550 123 5597
4 600 132 7444
4 650 147 9653
4 700 305 10968
4 750 313 14222
4 800 496 20672
4 850 505 29442
4 900 799 44911
4 950 954 45597
5 0 2 631
5 50 20 298
5 100 18 586
5 150 33 735
5 200 38 1066
5 250 14 1201
5 300 52 1376
5 350 67 1853
5 400 111 2472
5 450 79 3037
5 500 138 3868
5 550 54 4748
5 600 85 5644
5 650 78 6775
5 700 151 8324
5 750 246 11063
5 800 296 15819
5 850 675 23826
5 900 841 35993
5 950 648 36375
6 0 1 432
6 50 9 415
6 100 7 531
6 150 9 705
6 200 15 923
6 250 5 1114
6 300 18 1223
6 350 43 1535
6 400 51 2283
6 450 169 2642
6 500 51 2764
6 550 53 3827
6 600 263 4574
6 650 286 5903
6 700 52 7983
6 750 132 9652
6 800 236 13487
6 850 437 20057
6 900 642 31109
6 950 441 32237
7 0 1 401
7 150 44 539
7 200 12 623
7 250 21 1131
7 300 9 1249
7 350 70 1528
7 400 14 2067
7 450 103 2360
7 500 71 2894
7 550 73 3586
7 600 187 4013
7 650 76 4990
7 700 93 6906
7 750 111 8494
7 800 322 11922
7 850 168 18130
7 900 263 27492
7 950 379 27782
8 0 19 589
8 150 53 798
8 200 34 646
8 250 17 830
8 300 16 862
8 350 3 1422
8 400 2 1654
8 450 15 2049
8 500 7 2282
8 550 66 3266
8 600 94 3665
8 650 63 4708
8 700 47 5847
8 750 86 7863
8 800 86 10527
8 850 132 16386
8 900 229 24245
8 950 241 26537
9 0 6 400
9 250 1 667
9 400 4 1410
9 450 33 1746
9 500 8 2175
9 550 17 2706
9 600 64 3309
9 650 12 4003
9 700 13 5404
9 750 42 7026
9 800 51 10026
9 850 147 15306
9 900 156 23723
9 950 186 25264
10 300 29 884
10 350 9 1239
10 400 5 1134
10 450 2 1734
10 500 19 2027
10 550 8 2473
10 600 24 3560
10 650 62 3884
10 700 70 4808
10 750 88 6704
10 800 103 9759
10 850 214 13912
10 900 150 21898
10 950 219 22121
11 200 30 754
11 350 4 1223
11 400 33 1363
11 450 17 1608
11 500 27 1905
11 550 18 2428
11 600 17 3174
11 650 10 3783
11 700 16 4508
11 750 33 5609
11 800 61 8544
11 850 47 13359
11 900 130 20570
11 950 290 20619
12 200 10 280
12 350 38 1005
12 400 40 1315
12 450 18 1367
12 500 60 1661
12 550 29 1961
12 600 70 2656
12 650 23 3431
12 700 47 4059
12 750 82 5242
12 800 48 8345
12 850 50 12582
12 900 80 19761
12 950 126 19689
13 200 51 402
13 250 6 551
13 400 4 1112
13 450 5 1256
13 500 8 1650
13 550 2 1891
13 600 23 2682
13 650 7 3543
13 700 22 4350
13 750 49 5598
13 800 35 7808
13 850 20 11860
13 900 112 19561
13 950 71 19473
14 300 5 789
14 400 1 1363
14 450 1 1557
14 500 21 1687
14 550 7 1813
14 600 2 2253
14 650 1 3215
14 700 6 3675
14 750 50 5280
14 800 18 7776
14 850 26 11913
14 900 51 18419
14 950 187 18503
15 0 1 171
15 200 2 335
15 250 1 582
15 550 4 1828
15 650 2 2876
15 700 5 3498
15 750 2 5052
15 800 3 7389
15 850 9 11519
15 900 73 16959
15 950 99 17724
16 250 4 520
16 300 2 501
16 350 16 807
16 400 4 1196
16 450 2 1232
16 500 10 1577
16 550 17 1891
16 600 8 2348
16 650 22 2825
16 700 6 3632
16 750 5 4737
16 850 12 10126
16 900 77 16209
16 950 30 17472
17 0 5 228
17 300 75 612
17 350 1 668
17 400 4 867
17 450 29 957
17 500 53 1502
17 550 10 1569
17 600 1 2091
17 650 2 2754
17 700 20 3768
17 750 8 4607
17 800 26 6648
17 850 28 9938
17 900 45 16201
17 950 21 16727
18 0 1 174
18 250 1 340
18 650 1 3015
18 700 26 3903
18 750 16 4901
18 800 30 6936
18 850 41 9832
18 900 28 15755
18 950 13 16837
19 600 2 2020
19 650 14 2678
19 700 5 3394
19 750 1 4596
19 800 7 6480
19 850 9 9851
19 900 67 15061
19 950 35 15377
20 150 4 315
20 600 15 1872
20 650 3 2841
20 750 13 4674
20 800 22 6219
20 850 7 9330
20 900 16 14945
20 950 16 14442
21 150 1 259
21 550 1 1618
21 650 16 2372
21 700 3 3084
21 750 3 4418
21 800 34 6139
21 850 33 9435
21 900 19 14459
22 550 1 1754
22 600 2 1830
22 650 6 2393
22 700 1 2952
22 750 1 4321
22 800 1 5850
22 850 2 8577
22 900 6 13231
22 950 1 14134
23 450 5 974
23 500 1 1159
23 550 1 1459
23 600 1 1851
23 650 1 2404
23 750 16 4159
23 900 9 13676
23 950 35 13580
24 450 3 781
24 500 3 1065
24 550 4 1499
24 600 5 1742
24 650 2 2123
24 700 4 2547
24 750 3 3972
24 800 11 5153
24 850 1 8500
24 900 45 13371
24 950 19 13240
25 100 1 189
25 150 3 153
25 850 2 8255
25 900 11 13288
25 950 6 13368
26 650 3 2161
26 850 1 8013
26 900 16 12509
26 950 2 12816
27 550 1 1446
27 600 1 1675
27 650 1 2056
27 700 3 2664
27 900 12 12094
27 950 29 12600
28 550 38 1333
28 600 6 1397
28 650 2 1853
28 900 10 12059
28 950 42 12372
29 700 5 2479
29 750 7 3684
29 850 4 7250
29 900 14 11809
30 650 1 1814
30 700 2 2524
30 800 2 4523
30 900 1 11338
30 950 7 11922
31 650 17 1803
31 700 18 2445
31 750 17 3124
31 800 1 4517
31 850 1 6882
31 900 4 10918
31 950 8 11192
32 550 6 1158
32 600 1 1372
32 650 4 1726
32 700 5 2336
32 800 3 4463
32 850 16 7131
33 550 1 1089
33 900 6 10079
34 700 1 2152
35 350 11 568
35 900 1 9786
35 950 4 10439
36 350 2 368
36 450 1 663
40 950 2 9455
41 800 1 3649
42 800 1 3626
43 800 4 3731
52 550 1 832
