Allele_count Bstat Neanderthal non-Neanderthal
1 0 144 12178
1 50 21 7632
1 100 40 12207
1 150 139 15551
1 200 100 17563
1 250 159 22195
1 300 189 25685
1 350 177 33329
1 400 373 40298
1 450 381 46768
1 500 544 55155
1 550 853 67884
1 600 932 82934
1 650 1296 98357
1 700 1682 120384
1 750 1861 157430
1 800 2660 213985
1 850 4975 321062
1 900 6808 470008
1 950 7535 468836
2 0 7 2503
2 50 67 1630
2 100 36 2859
2 150 78 3313
2 200 31 3724
2 250 194 4831
2 300 45 5708
2 350 77 7212
2 400 80 8680
2 450 208 9885
2 500 134 11812
2 550 204 14744
2 600 217 18632
2 650 402 22562
2 700 402 27127
2 750 492 35980
2 800 1372 49558
2 850 1992 73179
2 900 2545 108931
2 950 2803 109534
3 0 27 982
3 50 32 643
3 100 17 1141
3 150 8 1548
3 200 24 1824
3 250 12 2296
3 300 29 2822
3 350 38 3783
3 400 144 4886
3 450 162 5483
3 500 192 6560
3 550 212 7753
3 600 104 9429
3 650 243 11722
3 700 377 14119
3 750 500 19559
3 800 629 26698
3 850 984 39428
3 900 1587 57468
3 950 1537 59475
4 150 16 961
4 200 75 1205
4 250 45 1572
4 300 32 1892
4 350 23 2548
4 400 18 3558
4 450 43 3641
4 500 70 4688
4 550 127 5447
4 600 152 7040
4 650 158 9100
4 700 202 10686
4 750 370 13530
4 800 489 19578
4 850 727 27964
4 900 1381 42580
4 950 1467 42297
5 100 2 569
5 150 36 715
5 200 30 1047
5 250 1 1121
5 300 2 1224
5 350 8 1757
5 400 69 2363
5 450 82 2888
5 500 43 3639
5 550 55 4542
5 600 20 5439
5 650 74 6266
5 700 169 7858
5 750 219 10505
5 800 262 14913
5 850 779 22661
5 900 841 34040
5 950 852 33763
6 100 1 533
6 150 15 705
6 200 2 922
6 250 2 1067
6 300 1 1148
6 350 6 1515
6 400 31 2173
6 450 11 2474
6 500 34 2679
6 550 37 3659
6 600 57 4467
6 650 105 5645
6 700 86 7426
6 750 143 9157
6 800 289 12688
6 850 549 18910
6 900 949 29216
6 950 1013 30006
7 150 7 537
7 200 1 613
7 250 5 1007
7 300 1 1195
7 350 55 1488
7 400 39 1962
7 450 120 2324
7 500 81 2763
7 550 55 3474
7 600 182 3883
7 650 89 4816
7 700 102 6579
7 750 178 8189
7 800 376 10968
7 850 384 16967
7 900 658 25911
7 950 672 25703
8 150 54 796
8 200 6 640
8 250 8 784
8 300 8 847
8 400 54 1563
8 450 47 1878
8 500 48 2197
8 550 64 3090
8 600 88 3473
8 650 95 4499
8 700 72 5591
8 750 95 7471
8 800 159 9875
8 850 345 15515
8 900 456 22751
8 950 633 24733
9 0 1 397
9 250 23 630
9 300 22 760
9 350 13 1047
9 400 2 1314
9 450 19 1623
9 500 39 1966
9 550 18 2612
9 600 70 3123
9 650 28 3904
9 700 191 5138
9 750 94 6665
9 800 165 9438
9 850 331 14374
9 900 467 22067
9 950 456 23398
10 250 1 791
10 300 14 840
10 350 12 1178
10 400 16 1102
10 450 31 1663
10 500 4 1946
10 550 20 2387
10 600 53 3467
10 650 47 3767
10 700 70 4634
10 750 99 6351
10 800 142 9264
10 850 209 13308
10 900 463 20545
10 950 525 20688
11 200 30 718
11 250 1 865
11 300 10 1010
11 350 1 1110
11 400 36 1317
11 450 25 1559
11 500 59 1797
11 550 25 2327
11 600 24 3090
11 650 118 3572
11 700 54 4312
11 750 82 5387
11 800 143 8173
11 850 174 12642
11 900 222 19440
11 950 290 19308
12 200 4 278
12 250 10 647
12 300 4 850
12 350 18 969
12 400 23 1281
12 450 6 1324
12 500 67 1597
12 550 33 1871
12 600 92 2430
12 650 50 3303
12 700 114 3882
12 750 147 4968
12 800 209 7965
12 850 211 11873
12 900 190 18742
12 950 369 18476
13 0 2 154
13 200 51 408
13 250 10 546
13 300 2 719
13 350 2 903
13 400 7 1078
13 450 7 1228
13 500 4 1591
13 550 35 1842
13 600 27 2490
13 650 14 3369
13 700 24 4152
13 750 34 5348
13 800 93 7276
13 850 93 11354
13 900 157 18429
13 950 242 18107
14 300 18 750
14 350 6 875
14 400 33 1295
14 450 16 1479
14 500 40 1664
14 550 8 1760
14 600 21 2172
14 650 26 3103
14 700 13 3533
14 750 50 5152
14 800 65 7391
14 850 42 11414
14 900 165 17351
14 950 316 17394
15 150 1 297
15 200 6 320
15 250 7 572
15 300 5 776
15 350 13 1024
15 400 15 1285
15 500 3 1321
15 550 4 1748
15 600 11 2399
15 650 33 2774
15 700 39 3391
15 750 44 4834
15 800 43 7083
15 850 51 11033
15 900 243 16111
15 950 229 16645
16 0 11 137
16 300 18 483
16 350 84 744
16 400 11 1149
16 450 2 1187
16 500 5 1554
16 550 10 1866
16 600 19 2248
16 650 59 2635
16 700 41 3485
16 750 39 4525
16 800 54 6739
16 850 69 9647
16 900 167 15406
16 950 176 16279
17 300 1 542
17 350 15 653
17 400 20 847
17 450 8 924
17 500 12 1456
17 550 21 1526
17 600 11 1989
17 650 20 2594
17 700 24 3622
17 750 26 4439
17 800 67 6403
17 850 85 9328
17 900 133 15376
17 950 138 15714
18 0 2 173
18 250 2 337
18 350 3 792
18 400 10 1152
18 450 4 1103
18 600 9 1830
18 650 22 2880
18 700 10 3760
18 750 25 4516
18 800 26 6650
18 850 133 9380
18 900 117 14925
18 950 136 15857
19 150 1 256
19 300 1 394
19 350 6 649
19 400 5 889
19 450 1 1179
19 500 6 1206
19 550 12 1369
19 600 6 1969
19 650 35 2596
19 700 8 3264
19 750 18 4360
19 800 18 6257
19 850 86 9271
19 900 101 14242
19 950 102 14250
20 300 3 461
20 350 27 708
20 400 10 1040
20 450 21 1106
20 500 4 1222
20 550 30 1545
20 600 6 1801
20 650 21 2653
20 700 38 3232
20 750 24 4528
20 800 31 5897
20 850 30 8959
20 900 106 14287
20 950 64 13615
21 300 8 571
21 450 2 805
21 550 33 1582
21 600 4 2047
21 650 28 2242
21 700 26 2956
21 750 12 4265
21 800 24 5939
21 850 23 9035
21 900 132 13818
21 950 80 13740
22 300 12 409
22 550 29 1728
22 600 15 1785
22 700 5 2866
22 750 35 4167
22 800 4 5703
22 850 7 8222
22 900 50 12744
22 950 132 13212
23 400 1 650
23 450 3 955
23 500 1 1134
23 550 1 1429
23 600 5 1789
23 650 5 2309
23 700 6 2699
23 750 65 4000
23 800 11 5517
23 850 8 8091
23 900 29 13120
23 950 42 12737
24 550 5 1472
24 600 2 1682
24 650 4 2058
24 700 2 2452
24 750 16 3809
24 800 11 4948
24 850 8 8128
24 900 101 12785
24 950 29 12484
25 150 3 153
25 200 6 206
25 500 1 1044
25 600 9 1694
25 650 2 2128
25 700 21 2683
25 750 3 4006
25 800 1 5330
25 850 10 7874
25 900 36 12786
25 950 20 12644
26 150 3 337
26 200 1 319
26 550 1 1367
26 600 1 1492
26 650 24 2108
26 700 11 2904
26 750 11 3682
26 800 36 4953
26 850 53 7673
26 900 67 11965
26 950 47 12069
27 400 1 573
27 500 8 896
27 550 11 1392
27 650 5 1997
27 700 2 2544
27 750 7 3678
27 800 1 4792
27 850 31 7379
27 900 27 11528
27 950 33 11769
28 400 2 706
28 450 3 826
28 550 36 1275
28 600 3 1360
28 650 2 1797
28 750 3 3343
28 800 17 4836
28 850 16 7093
28 900 34 11563
28 950 15 11713
29 300 10 296
29 350 7 556
29 400 29 781
29 450 5 769
