Allele_count Bstat Neanderthal non-Neanderthal
1 0 61 5849
1 50 2 3723
1 100 44 6263
1 150 78 6882
1 200 53 8569
1 250 127 10367
1 300 128 11923
1 350 215 15584
1 400 344 19616
1 450 311 23283
1 500 419 26989
1 550 461 32984
1 600 652 40995
1 650 711 49947
1 700 1042 61799
1 750 1052 80592
1 800 1371 109528
1 850 1799 164681
1 900 3163 244731
1 950 3426 249825
2 0 10 1391
2 100 38 1432
2 150 34 1745
2 200 33 2064
2 250 27 2647
2 300 38 2961
2 350 57 4140
2 400 24 5191
2 450 74 5776
2 500 62 6820
2 550 95 8439
2 600 118 9927
2 650 178 13452
2 700 221 15904
2 750 332 21592
2 800 391 29236
2 850 588 45232
2 900 622 66305
2 950 689 67563
3 0 1 512
3 100 1 740
3 150 7 913
3 200 9 1040
3 250 15 1456
3 300 12 1925
3 350 9 2539
3 400 23 3010
3 450 79 3267
3 500 44 4142
3 550 52 4917
3 600 38 6703
3 650 46 8158
3 700 91 9622
3 750 152 14166
3 800 231 19360
3 850 235 28782
3 900 555 43413
3 950 442 43265
4 150 2 764
4 250 6 1279
4 300 1 1569
4 350 5 1933
4 400 12 2828
4 450 27 2976
4 500 36 3449
4 550 21 4681
4 600 42 5319
4 650 57 7090
4 700 42 8399
4 750 99 10322
4 800 112 15121
4 850 158 24454
4 900 350 35971
4 950 522 37839
5 0 1 357
5 150 3 476
5 200 1 793
5 250 1 1136
5 300 2 1327
5 350 71 1869
5 400 1 2233
5 450 39 2479
5 500 31 2967
5 550 29 3834
5 600 26 4521
5 650 21 5411
5 700 23 6998
5 750 27 10036
5 800 97 13614
5 850 123 20658
5 900 200 30779
5 950 271 33505
6 200 3 607
6 350 7 1421
6 400 10 2164
6 450 16 2573
6 500 2 2968
6 550 22 3263
6 600 39 4124
6 650 48 5322
6 700 21 6983
6 750 38 9411
6 800 53 12802
6 850 60 19213
6 900 103 30114
6 950 166 31363
7 200 2 794
7 250 3 759
7 300 2 888
7 350 5 1150
7 400 7 2005
7 450 16 2183
7 500 31 2650
7 550 7 2988
7 600 19 3725
7 650 20 5015
7 700 18 6522
7 750 73 8458
7 800 82 12145
7 850 123 18311
7 900 137 27606
7 950 103 29817
8 200 4 719
8 300 2 1098
8 350 1 1221
8 400 1 2091
8 450 1 2006
8 500 1 2723
8 550 7 3004
8 600 17 3828
8 650 24 5132
8 700 7 5961
8 750 55 7515
8 800 163 11087
8 850 73 16387
8 900 116 26351
8 950 99 26943
9 200 24 549
9 250 4 619
9 300 2 963
9 350 24 1276
