Allele_count Bstat Neanderthal non-Neanderthal
1 0 31 7284
1 50 10 4463
1 100 68 7502
1 150 99 9500
1 200 84 11412
1 250 163 13869
1 300 170 16418
1 350 156 21487
1 400 235 26024
1 450 295 30534
1 500 439 35168
1 550 619 44142
1 600 603 53162
1 650 674 64487
1 700 954 78884
1 750 1291 102908
1 800 1814 140936
1 850 2851 209375
1 900 4172 308204
1 950 4842 309636
2 0 2 2129
2 50 28 1466
2 100 58 2453
2 150 57 3440
2 200 20 3495
2 250 62 4794
2 300 37 5216
2 350 30 7307
2 400 22 8472
2 450 35 9681
2 500 106 11991
2 550 48 14614
2 600 90 17694
2 650 204 21513
2 700 186 27543
2 750 241 35136
2 800 375 49359
2 850 761 71816
2 900 1048 112069
2 950 1256 116169
3 0 8 942
3 100 5 1123
3 150 3 1854
3 200 6 1689
3 250 1 2190
3 300 8 2833
3 350 9 3937
3 400 31 5129
3 450 35 6188
3 500 22 7143
3 550 49 9045
3 600 41 11532
3 650 70 13312
3 700 152 16704
3 750 85 21669
3 800 207 30322
3 850 191 48068
3 900 392 70994
3 950 400 70895
4 250 2 1790
4 300 1 2543
4 350 11 2946
4 400 3 4059
4 450 6 4372
4 500 1 5439
4 550 5 6547
4 600 18 8505
4 650 20 9808
4 700 38 12393
4 750 31 16597
4 800 144 23703
4 850 132 34254
4 900 168 52759
4 950 172 55508
5 300 19 1682
5 350 2 2157
5 400 8 2831
5 450 6 3115
5 500 18 4257
5 550 13 5720
5 600 17 6286
5 650 11 8207
5 700 16 10390
5 750 14 13727
5 800 39 19549
5 850 61 29442
5 900 71 45963
5 950 130 47229
6 150 1 842
6 200 3 1028
6 250 5 1494
6 400 3 2431
6 450 5 3055
6 550 7 4481
6 600 3 5326
6 650 1 6901
6 700 3 8397
6 750 1 12333
6 800 9 17365
6 850 16 26597
6 900 51 42063
6 950 96 42965
7 300 1 1229
7 350 1 1917
7 400 1 2279
7 550 6 4307
7 600 5 5683
7 650 1 6294
7 700 2 7879
7 750 8 10825
7 800 10 16290
7 850 18 24415
7 900 39 36763
7 950 79 37635
8 300 4 1159
8 350 1 1812
8 400 1 2295
8 450 6 2288
8 500 8 3155
8 550 7 3658
8 600 3 4308
8 650 6 5936
8 700 7 7369
8 800 3 14416
8 850 3 21855
8 900 13 33526
8 950 18 34583
9 500 4 3097
9 550 8 3346
9 600 1 4331
9 650 1 5314
9 700 7 7052
9 750 13 8827
9 800 3 12900
9 850 47 19995
9 900 38 30774
9 950 24 32362
10 550 1 3100
10 700 4 6627
10 750 1 9183
10 800 6 12474
10 850 3 17982
10 900 10 28606
10 950 43 30045
11 650 1 4744
11 750 1 8200
11 800 8 11260
11 850 28 17588
11 900 40 27136
11 950 19 28383
12 600 1 3550
12 650 1 4526
12 800 3 11168
12 850 7 16061
12 900 3 25721
12 950 15 27125
13 650 7 4748
13 700 6 5489
13 750 5 7260
13 800 2 9675
13 850 2 15577
13 900 2 24432
13 950 7 25006
14 600 1 3353
14 750 5 7278
14 800 2 9904
14 850 1 14830
14 900 1 23357
14 950 1 24606
15 750 1 6837
15 800 2 9210
15 900 30 22618
16 650 2 3431
16 850 1 13872
18 900 1 19201
19 850 1 11682
19 900 5 17894
20 650 3 3136
20 900 1 18510
22 700 3 3669
22 750 5 5185
22 900 7 16926
22 950 1 17475
23 700 5 3562
23 750 1 4976
23 900 12 15938
24 900 4 15937
