Allele_count Bstat Neanderthal non-Neanderthal
1 0 316 12322
1 50 32 7653
1 100 180 12248
1 150 293 15690
1 200 292 17668
1 250 424 22387
1 300 692 25914
1 350 928 33528
1 400 1131 40720
1 450 1372 47203
1 500 1231 55837
1 550 1674 68822
1 600 2147 84027
1 650 2662 99845
1 700 2892 122430
1 750 3830 159705
1 800 5227 217256
1 850 7555 326824
1 900 11301 478188
1 950 11583 477997
2 0 15 2509
2 50 15 1655
2 100 134 2902
2 150 97 3397
2 200 75 3790
2 250 165 5026
2 300 236 5757
2 350 339 7350
2 400 444 8795
2 450 544 10124
2 500 457 11969
2 550 587 14958
2 600 599 18941
2 650 942 23026
2 700 1132 27654
2 750 1419 36793
2 800 1690 51244
2 850 2188 75784
2 900 4182 112002
2 950 3239 113654
3 0 4 993
3 50 115 663
3 100 111 1159
3 150 41 1556
3 200 48 1847
3 250 98 2301
3 300 88 2852
3 350 207 3825
3 400 251 5015
3 450 174 5624
3 500 393 6698
3 550 505 8002
3 600 591 9581
3 650 673 12085
3 700 808 14438
3 750 901 20062
3 800 1036 27456
3 850 1252 40461
3 900 1602 59598
3 950 2518 62062
4 0 6 680
4 100 99 772
4 150 9 980
4 200 5 1264
4 250 34 1601
4 300 127 1901
4 350 102 2563
4 400 120 3598
4 450 118 3732
4 500 150 4770
4 550 145 5549
4 600 263 7187
4 650 402 9320
4 700 309 10843
4 750 400 13883
4 800 592 20467
4 850 665 28886
4 900 956 44418
4 950 1468 44348
5 0 2 601
5 100 21 573
5 150 31 717
5 200 15 1056
5 250 79 1126
5 300 90 1234
5 350 68 1785
5 400 112 2418
5 450 93 2968
5 500 378 3687
5 550 208 4590
5 600 163 5499
5 650 200 6374
5 700 320 8032
5 750 300 10806
5 800 497 15370
5 850 663 23633
5 900 1003 35511
5 950 835 35526
6 0 3 430
6 50 8 422
6 100 5 534
6 150 3 705
6 200 14 923
6 250 13 1067
6 300 49 1153
6 350 41 1540
6 400 121 2194
6 450 204 2486
6 500 127 2696
6 550 158 3698
6 600 317 4570
6 650 346 5722
6 700 173 7550
6 750 256 9294
6 800 381 13088
6 850 568 19622
6 900 717 30391
6 950 575 31561
7 0 4 401
7 50 4 315
7 150 45 539
7 200 16 619
7 250 58 1017
7 300 22 1204
7 350 79 1499
7 400 15 1968
7 450 68 2381
7 500 36 2854
7 550 87 3517
7 600 162 3947
7 650 110 4881
7 700 156 6697
7 750 110 8340
7 800 419 11301
7 850 295 17561
7 900 542 27070
7 950 484 26899
8 0 35 588
8 150 3 849
8 200 31 646
8 250 15 789
8 300 21 857
8 350 9 1342
8 400 72 1586
8 450 30 1895
8 500 30 2234
8 550 85 3118
8 600 164 3583
8 650 84 4691
8 700 82 5733
8 750 224 7676
8 800 191 10143
8 850 210 15944
8 900 350 23578
8 950 341 25759
9 0 1 399
9 150 3 591
9 200 2 500
9 250 9 632
9 300 2 775
9 400 3 1324
9 450 51 1639
9 500 9 2084
9 550 36 2688
9 600 87 3229
9 650 33 3973
9 700 95 5335
9 750 83 6845
9 800 175 9670
9 850 271 14741
9 900 579 22874
9 950 377 24539
10 300 4 841
10 350 41 1190
10 400 22 1125
10 450 28 1677
10 500 87 1984
10 550 23 2432
10 600 66 3515
10 650 116 3858
10 700 121 4763
10 750 122 6524
10 800 152 9503
10 850 234 13702
10 900 312 21289
10 950 295 21581
11 150 8 351
11 200 8 720
11 250 6 867
11 300 18 1027
11 350 67 1120
11 400 1 1334
11 450 27 1566
11 500 26 1827
11 550 46 2374
11 600 22 3156
11 650 32 3637
11 700 54 4402
11 750 74 5505
11 800 80 8357
11 850 116 13009
11 900 282 19921
11 950 297 20114
12 0 3 264
12 200 7 278
12 250 2 648
12 300 5 859
12 350 42 982
12 400 30 1285
12 450 38 1338
12 500 31 1675
12 550 11 1911
12 600 71 2536
12 650 20 3371
12 700 21 3943
12 750 60 5114
12 800 60 8174
12 850 151 12207
12 900 169 19287
12 950 136 19217
13 0 9 158
13 350 12 910
13 400 4 1100
13 450 16 1234
13 500 12 1626
13 550 5 1874
13 600 76 2534
13 650 27 3408
13 700 22 4204
13 750 80 5451
13 800 176 7453
13 850 92 11652
13 900 200 19030
13 950 257 18852
14 250 33 417
14 300 12 757
14 350 1 886
14 400 1 1304
14 450 4 1509
14 500 25 1671
14 550 8 1827
14 600 3 2217
14 650 35 3148
14 700 24 3603
14 750 31 5274
14 800 40 7597
14 850 35 11683
14 900 92 18005
14 950 264 18094
15 0 1 171
15 300 1 777
15 350 23 1046
15 400 9 1291
15 450 3 1239
15 500 1 1363
15 550 12 1842
15 600 5 2485
15 650 54 2850
15 700 10 3461
15 750 25 4931
15 800 58 7234
15 850 68 11276
15 900 117 16663
15 950 134 17272
16 250 4 523
16 300 2 484
16 350 15 795
16 400 13 1164
16 450 4 1198
16 500 15 1580
16 550 10 1916
16 600 29 2293
16 650 20 2720
16 700 5 3589
16 750 35 4615
16 800 45 6898
16 850 7 9939
16 900 127 15851
16 950 58 16916
17 0 6 228
17 300 77 581
17 350 1 667
17 400 10 854
17 450 29 936
17 500 64 1470
17 550 4 1541
17 600 13 2015
17 650 3 2641
17 700 25 3694
17 750 12 4540
17 800 4 6549
17 850 29 9573
17 900 150 15823
17 950 72 16259
18 0 5 174
18 150 1 161
18 250 1 337
18 450 13 1129
18 500 1 1286
18 550 10 1582
18 600 14 1888
18 650 15 2918
18 700 30 3835
18 750 110 4633
18 800 57 6790
18 850 67 9673
18 900 82 15441
18 950 28 16432
19 0 3 89
19 400 4 891
19 450 48 1182
19 500 16 1212
19 550 1 1384
19 600 4 1997
19 650 2 2624
19 700 4 3327
19 750 14 4505
19 800 21 6392
19 850 18 9644
19 900 93 14743
19 950 100 14876
20 150 28 301
20 400 7 1042
20 450 18 1115
20 500 6 1229
20 550 8 1559
20 600 16 1818
20 650 6 2693
20 750 65 4602
20 800 31 6107
20 850 7 9217
20 900 52 14702
20 950 18 14179
21 150 2 253
21 300 5 571
21 350 1 558
21 450 1 806
21 550 1 1594
21 650 15 2277
21 700 2 3022
21 750 7 4336
21 800 16 6078
21 850 14 9292
21 900 34 14233
21 950 10 14249
22 350 3 659
22 400 2 946
22 600 1 1803
22 650 12 2374
22 700 5 2922
22 750 43 4225
