Allele_count Bstat Neanderthal non-Neanderthal
1 0 147 7447
1 50 98 4782
1 100 92 8123
1 150 219 9852
1 200 260 11548
1 250 371 15044
1 300 449 17211
1 350 467 22406
1 400 427 27389
1 450 571 32033
1 500 664 37944
1 550 687 47260
1 600 976 56980
1 650 1240 68623
1 700 1369 86390
1 750 1979 111422
1 800 3017 152616
1 850 4079 226338
1 900 5815 334839
1 950 6079 333484
2 0 9 2088
2 50 4 1330
2 100 12 2684
2 150 83 2911
2 200 69 3419
2 250 107 4365
2 300 158 5041
2 350 123 6925
2 400 169 8754
2 450 251 9849
2 500 206 12482
2 550 198 15018
2 600 337 17772
2 650 312 22110
2 700 379 27763
2 750 558 36563
2 800 1081 50121
2 850 1519 74495
2 900 1825 113348
2 950 1873 112247
3 0 4 960
3 100 5 1177
3 150 46 1259
3 200 7 1595
3 250 21 2080
3 300 51 2580
3 350 38 3984
3 400 56 4822
3 450 106 5715
3 500 121 6751
3 550 135 8545
3 600 153 10474
3 650 132 12873
3 700 176 16073
3 750 366 20791
3 800 541 30698
3 850 755 46585
3 900 1060 70108
3 950 1013 70723
4 0 1 751
4 50 2 439
4 100 2 987
4 150 6 1102
4 200 6 1233
4 250 19 1619
4 300 9 1865
4 350 15 2745
4 400 55 3931
4 450 19 4387
4 500 30 5062
4 550 57 6377
4 600 96 8278
4 650 162 9939
4 700 160 12057
4 750 174 16553
4 800 351 23362
4 850 534 34933
4 900 674 53570
4 950 551 52916
5 0 1 748
5 50 1 330
5 100 1 834
5 150 10 734
5 200 3 956
5 250 19 1381
5 300 52 1678
5 350 41 2283
5 400 39 2599
5 450 51 3185
5 500 44 3878
5 550 13 5095
5 600 45 6845
5 650 35 7820
5 700 49 10053
5 750 87 13431
5 800 136 19668
5 850 175 28999
5 900 355 42079
5 950 380 43205
6 0 1 643
6 100 1 617
6 150 34 799
6 200 5 910
6 250 54 1133
6 300 43 1623
6 350 14 1933
6 400 18 2532
6 450 19 2843
6 500 28 3584
6 550 43 4366
6 600 65 5625
6 650 46 6444
6 700 47 8191
6 750 75 11056
6 800 103 16328
6 850 127 25650
6 900 249 38058
6 950 261 38122
7 100 2 456
7 150 3 624
7 200 1 743
7 250 6 1089
7 300 2 1244
7 350 2 1775
7 400 3 2057
7 450 2 2468
7 500 12 3112
7 550 54 3998
7 600 31 5063
7 650 20 6221
7 700 68 8325
7 750 112 10409
7 800 91 14066
7 850 64 21831
7 900 334 32790
7 950 150 35001
8 0 1 379
8 150 39 662
8 200 27 803
8 250 45 1056
8 300 21 1287
8 350 11 1312
8 400 5 1967
8 450 46 2135
8 500 9 2660
8 550 10 3845
8 600 35 4579
8 650 9 5795
8 700 17 6706
8 750 67 9503
8 800 74 13277
8 850 86 19952
8 900 152 30802
8 950 209 31475
9 0 1 236
9 50 1 420
9 200 3 605
9 250 3 770
9 300 3 837
9 350 6 1222
9 400 2 1711
9 450 19 1773
9 500 19 2394
9 550 2 3127
9 600 13 3952
9 650 60 4901
9 700 17 6240
9 750 35 8339
9 800 29 11640
9 850 68 17755
9 900 339 27896
9 950 127 29218
10 300 1 1064
10 350 6 1482
10 450 3 1886
10 500 6 2512
10 550 12 2818
10 600 14 3508
10 650 19 4393
10 700 17 5711
10 750 26 7512
10 800 40 10991
10 850 71 17576
10 900 121 26192
10 950 118 27131
11 300 2 1020
11 350 20 1348
11 400 7 1821
11 500 12 2250
11 550 10 2663
11 600 17 3724
11 650 39 4069
11 700 42 5705
11 750 49 7983
11 800 54 10549
11 850 33 15754
11 900 138 24680
11 950 47 25553
12 300 8 552
12 350 14 1020
12 400 13 1618
12 450 8 1677
12 500 1 2060
12 550 2 2561
12 600 12 2950
12 650 18 4212
12 700 7 4962
12 750 13 6826
12 800 15 9543
12 850 139 15461
12 900 105 22717
12 950 19 23670
13 150 2 508
13 200 12 622
13 250 24 515
13 300 4 733
13 350 5 1057
13 400 9 1403
13 500 1 1790
13 550 1 2575
13 650 6 4112
13 700 18 4506
13 750 18 6555
13 800 10 9519
13 850 62 13589
13 900 85 22400
13 950 37 23184
14 200 2 609
14 250 2 591
14 350 9 1004
14 400 1 1582
14 450 1 1691
14 500 5 2171
14 550 16 2291
14 600 5 2843
14 650 10 3981
14 700 28 4647
14 750 33 6263
14 800 16 8982
14 850 63 13573
14 900 8 21168
14 950 38 21889
15 250 8 571
15 300 1 623
15 350 1 983
15 400 2 1173
15 650 26 3713
15 700 4 4774
15 750 10 6190
15 800 4 8466
15 850 10 12934
15 900 71 20027
15 950 51 21323
16 300 9 637
16 350 10 758
16 400 1 1206
16 500 6 1882
16 550 2 2240
16 600 1 2701
16 650 2 3502
16 700 11 4499
16 750 4 5454
16 800 2 8045
16 850 6 11926
16 900 14 19060
16 950 29 19918
17 150 1 422
17 450 1 1212
17 550 1 2048
17 700 30 4364
17 750 1 5485
17 800 10 7559
17 850 22 12320
17 900 27 19084
17 950 47 19449
18 150 11 402
18 200 1 514
18 800 11 7414
18 850 14 11043
18 900 16 17877
18 950 21 18593
19 100 2 245
19 150 5 278
19 200 2 290
19 350 3 891
19 650 1 3391
19 750 5 5412
19 800 32 7602
19 850 7 11563
19 900 19 16950
19 950 11 17899
20 100 1 166
20 150 3 423
20 400 2 884
20 700 5 4103
20 800 18 7438
20 850 24 11052
20 900 3 16430
20 950 31 17069
21 600 6 2261
21 650 2 2876
21 700 39 3633
21 750 22 4856
21 800 13 6621
21 850 9 10437
21 900 3 15976
21 950 2 17336
22 300 1 622
22 550 2 1646
22 600 1 2256
22 750 1 4751
22 800 1 6634
22 850 10 10203
22 900 15 15734
23 150 28 330
23 550 2 1627
23 600 8 2180
23 650 13 2793
23 700 6 3525
23 750 5 4539
23 850 16 10434
23 900 3 14918
24 750 1 4205
24 800 8 6316
24 850 8 9883
25 600 1 2119
25 650 1 2571
25 700 3 3239
25 750 1 4250
25 800 12 6304
25 850 1 9251
26 650 2 2513
26 700 2 3106
26 750 1 4232
26 850 16 9666
26 900 3 14000
26 950 4 14452
27 800 2 5555
27 900 1 13459
27 950 9 14344
28 650 1 2581
28 750 28 3889
28 800 6 5260
28 900 1 12923
29 600 10 1847
29 650 7 2413
29 700 4 3019
29 750 7 4023
29 800 15 5033
29 850 1 8555
32 850 1 8057
32 900 1 11976
33 850 16 7744
33 900 2 11669
34 750 11 3580
34 800 2 4902
