Allele_count Bstat Neanderthal non-Neanderthal
1 0 342 14892
1 50 166 9143
1 100 274 14878
1 150 253 17687
1 200 328 21153
1 250 298 26255
1 300 467 30585
1 350 534 39875
1 400 755 49017
1 450 1030 55854
1 500 1270 65443
1 550 1358 80282
1 600 1714 98559
1 650 2315 118736
1 700 2595 143023
1 750 3185 187830
1 800 4460 256280
1 850 6927 380554
1 900 9803 559032
1 950 9500 562201
2 0 45 3567
2 50 1 2145
2 100 9 3427
2 150 88 4244
2 200 81 4652
2 250 238 6304
2 300 441 7132
2 350 456 9279
2 400 431 11466
2 450 456 13256
2 500 549 15849
2 550 528 19614
2 600 563 24283
2 650 690 28595
2 700 871 35524
2 750 1048 47002
2 800 1591 64556
2 850 2370 96702
2 900 3458 143877
2 950 3431 144065
3 100 21 1691
3 150 37 2392
3 200 46 2334
3 250 30 3183
3 300 35 3645
3 350 29 4653
3 400 109 5423
3 450 144 6738
3 500 235 7756
3 550 278 9736
3 600 303 11248
3 650 272 14107
3 700 387 18275
3 750 538 23604
3 800 938 32207
3 850 962 49520
3 900 1618 73391
3 950 1968 75517
4 0 1 863
4 150 7 1428
4 200 2 1318
4 250 23 1729
4 300 30 2444
4 350 12 3059
4 400 43 3833
4 450 52 4671
4 500 74 5211
4 550 90 6572
4 600 157 8161
4 650 212 9727
4 700 314 12333
4 750 405 16017
4 800 404 23937
4 850 733 35057
4 900 1392 52437
4 950 1215 52747
5 0 2 628
5 150 1 1102
5 200 16 1138
5 250 19 1436
5 300 22 1578
5 350 47 2363
5 400 55 2821
5 450 18 3304
5 500 24 4084
5 550 47 5252
5 600 145 6286
5 650 181 7570
5 700 96 10032
5 750 170 13295
5 800 186 18006
5 850 197 27624
5 900 434 42708
5 950 594 42834
6 150 1 639
6 250 18 1141
6 300 14 1410
6 350 5 1926
6 400 21 2518
6 450 22 2728
6 500 33 3284
6 550 28 4317
6 600 42 5504
6 650 90 6570
6 700 126 7883
6 750 199 10686
6 800 167 15754
6 850 171 23225
6 900 353 36031
6 950 381 37879
7 250 1 1209
7 300 4 1214
7 350 1 1759
7 400 2 2124
7 450 30 2463
7 500 5 2920
7 550 21 3740
7 600 24 4889
7 650 18 6017
7 700 33 7810
7 750 98 10331
7 800 57 14765
7 850 331 21065
7 900 367 31720
7 950 202 33586
8 250 1 926
8 350 11 1576
8 400 3 2131
8 450 26 2224
8 500 14 2842
8 550 165 3448
8 600 26 4409
8 650 16 5495
8 700 61 6925
8 750 133 9354
8 800 253 13102
8 850 88 19433
8 900 183 29236
8 950 241 29792
9 50 1 220
9 150 6 673
9 200 7 832
9 350 1 1395
9 400 2 1821
9 450 2 1903
9 500 16 2649
9 550 7 3098
9 600 7 3980
9 650 7 4881
9 700 5 6259
9 750 13 8610
9 800 31 11754
9 850 89 18357
9 900 86 27387
9 950 70 28528
10 100 8 385
10 300 1 1045
10 400 3 1629
10 450 2 1891
10 550 7 2830
10 600 44 3732
10 650 2 4741
10 700 13 5896
10 750 16 7820
10 800 19 11395
10 850 61 16583
10 900 54 27270
10 950 60 27856
11 150 17 393
11 200 6 545
11 550 4 2958
11 600 6 3439
11 750 11 7224
11 800 41 9723
11 850 17 15369
11 900 56 24791
11 950 51 26571
12 150 2 360
12 200 3 407
12 400 3 1445
12 450 3 2067
12 500 1 2166
12 600 2 3232
12 650 1 4092
12 700 2 5362
12 750 4 6907
12 800 3 9744
12 850 13 15002
12 900 22 23413
12 950 27 24649
13 100 1 280
13 400 28 1349
13 450 2 1695
13 500 9 2122
13 650 1 4094
13 700 6 4935
13 750 5 6663
13 800 4 9467
13 850 6 14381
13 900 11 22463
13 950 41 22812
14 400 20 1207
14 450 3 1601
14 500 1 1999
14 550 3 2584
14 650 7 3499
14 700 10 4618
14 750 12 6410
14 800 15 8960
14 850 7 13371
14 900 14 22006
14 950 10 21990
15 400 1 1359
15 450 25 1310
15 500 14 1704
15 650 2 3344
15 700 7 4444
15 750 1 6073
15 800 1 8790
15 850 6 13602
15 900 9 20815
15 950 7 21178
16 750 7 5660
16 800 3 8218
16 850 9 12990
16 900 10 19249
16 950 19 19741
17 550 1 2192
17 650 2 3041
17 700 3 4025
17 750 6 5411
17 800 1 7778
17 850 8 12565
17 900 7 19038
17 950 32 19354
18 550 3 2076
18 600 1 2347
18 650 2 3302
18 850 5 11954
18 900 11 18022
18 950 18 18748
19 400 1 1214
19 650 2 3166
19 750 1 5456
19 850 3 11699
19 900 3 17335
19 950 24 18148
20 800 4 7167
20 850 3 11020
20 900 7 16663
21 750 3 4950
21 800 7 6875
21 850 9 10656
21 950 1 16638
22 500 1 1253
22 800 3 6585
22 850 5 10317
22 900 1 15837
22 950 1 16559
23 400 1 984
23 500 2 1323
23 850 2 9267
23 900 1 15149
23 950 2 15184
24 300 1 450
24 500 5 1418
24 750 1 4407
24 850 2 9204
24 900 10 15008
25 850 2 9340
25 900 1 14454
26 800 1 5773
27 800 2 5548
28 650 1 2278
28 800 5 5534
28 850 5 8483
29 500 1 1116
29 550 24 1278
29 600 4 1603
29 650 6 2161
29 700 9 3046
29 900 2 13038
30 350 3 630
30 900 9 12116
31 900 1 12422
