Allele_count Bstat Neanderthal non-Neanderthal
1 0 345 17601
1 50 170 10315
1 100 299 17758
1 150 464 20885
1 200 372 24312
1 250 645 30227
1 300 958 34459
1 350 1003 44714
1 400 1544 55551
1 450 1653 64515
1 500 1773 74957
1 550 2088 92403
1 600 2306 112536
1 650 3006 136170
1 700 4130 166073
1 750 4879 216824
1 800 6115 294687
1 850 8861 441154
1 900 13280 641029
1 950 13727 636903
2 0 118 3268
2 50 20 2350
2 100 212 4263
2 150 248 4490
2 200 265 5044
2 250 237 6447
2 300 325 7945
2 350 435 10100
2 400 699 12035
2 450 633 14261
2 500 790 17229
2 550 995 20926
2 600 1491 25546
2 650 1682 31024
2 700 1949 38313
2 750 2264 50294
2 800 2668 67388
2 850 3781 100610
2 900 5924 150955
2 950 5766 150268
3 50 86 1110
3 100 160 1992
3 150 172 2284
3 200 257 2588
3 250 206 3345
3 300 230 4087
3 350 299 5288
3 400 382 6513
3 450 471 7572
3 500 541 9255
3 550 858 11182
3 600 737 13480
3 650 1030 16101
3 700 839 19550
3 750 1310 25103
3 800 2534 35090
3 850 2944 52612
3 900 3343 78267
3 950 3809 80749
4 0 27 939
4 50 83 677
4 100 43 973
4 150 67 1368
4 200 105 1615
4 250 141 2347
4 300 237 2706
4 350 290 3604
4 400 256 4241
4 450 190 4841
4 500 194 6126
4 550 328 7612
4 600 451 9334
4 650 677 11111
4 700 637 13410
4 750 1081 18036
4 800 1333 24835
4 850 1940 36575
4 900 2862 54876
4 950 2763 56016
5 50 1 501
5 100 48 900
5 150 203 1226
5 200 139 1423
5 250 185 1811
5 300 212 1889
5 350 286 2739
5 400 179 3187
5 450 426 3580
5 500 260 4022
5 550 204 5521
5 600 316 7281
5 650 227 8552
5 700 526 10484
5 750 754 13671
5 800 674 18322
5 850 1428 28750
5 900 1862 43732
5 950 2258 43609
6 100 2 674
6 150 58 918
6 200 68 1122
6 250 103 1345
6 300 117 1616
6 350 53 2112
6 400 83 2424
6 450 185 3104
6 500 333 3303
6 550 334 4350
6 600 333 6000
6 650 358 7061
6 700 453 8434
6 750 585 11137
6 800 727 15724
6 850 1497 23710
6 900 1396 36200
6 950 1626 36401
7 50 1 268
7 100 4 496
7 150 11 551
7 200 7 935
7 250 22 1125
7 300 25 1136
7 350 186 1642
7 400 191 2084
7 450 173 2530
7 500 202 3001
7 550 325 3768
7 600 320 4685
7 650 247 5723
7 700 372 7250
7 750 364 9258
7 800 476 13102
7 850 785 20393
7 900 1235 31020
7 950 1364 32121
8 100 24 346
8 150 70 451
8 200 57 660
8 250 35 918
8 300 45 1070
8 350 62 1476
8 400 116 1777
8 450 224 2231
8 500 253 2779
8 550 367 3577
8 600 314 4454
8 650 353 5122
8 700 244 6192
8 750 316 8921
8 800 611 11875
8 850 588 17761
8 900 925 27654
8 950 1017 27901
9 0 23 496
9 50 21 258
9 150 13 626
9 200 21 734
9 250 64 943
9 300 88 1208
9 350 99 1471
9 400 62 1583
9 450 100 2079
9 500 123 2384
9 550 260 3004
9 600 207 3963
9 650 319 4868
9 700 252 6021
9 750 197 7734
9 800 343 10906
9 850 485 16335
9 900 877 25167
9 950 745 25624
10 50 1 236
10 100 49 270
10 150 6 390
10 200 60 587
10 250 30 711
10 300 29 855
10 350 98 1368
10 400 40 1603
10 450 94 1636
10 500 204 2090
10 550 154 2939
10 600 199 3840
10 650 224 3807
10 700 122 4932
10 750 268 7191
10 800 232 10081
10 850 325 14315
10 900 525 22600
10 950 487 22655
11 100 147 354
11 150 49 506
11 200 7 629
11 250 14 720
11 300 52 862
11 350 77 1080
11 400 40 1483
11 450 135 1740
11 500 114 2074
11 550 125 2481
11 600 213 3106
11 650 393 3633
11 700 159 5105
11 750 177 6683
11 800 265 8934
11 850 260 13900
11 900 470 21745
11 950 791 21269
12 100 1 208
12 150 54 293
12 200 1 408
12 300 41 761
12 350 26 1096
12 400 54 1315
12 450 38 1500
12 500 134 1611
12 550 82 2292
12 600 86 2836
12 650 161 3189
12 700 117 4816
12 750 131 6277
12 800 208 8402
12 850 217 12432
12 900 308 20467
12 950 426 20960
13 150 40 511
13 200 1 457
13 250 13 833
13 300 3 794
13 350 26 1226
13 400 26 1289
13 450 33 1557
13 500 115 1999
13 550 72 2468
13 600 99 2853
13 650 64 3639
13 700 149 4652
13 750 293 6021
13 800 240 7884
13 850 210 11968
13 900 350 18857
13 950 290 19014
14 100 6 132
14 150 12 329
14 200 56 449
14 250 18 569
14 300 78 614
14 350 109 776
14 400 54 924
14 450 19 1317
14 500 8 1697
14 550 23 2184
14 600 84 2550
14 650 41 3438
14 700 64 4250
14 750 209 5129
14 800 151 7553
14 850 287 11662
14 900 417 17610
14 950 420 17964
15 150 4 812
15 200 4 360
15 250 9 587
15 300 6 596
15 350 16 795
15 400 93 1022
15 450 69 1298
15 500 56 1750
15 550 76 1972
15 600 86 2093
15 650 77 2798
15 700 145 3731
15 750 126 5269
15 800 231 7588
15 850 108 10819
15 900 243 16426
15 950 271 16698
16 150 27 468
16 200 17 393
16 250 4 514
16 300 101 601
16 350 21 807
16 400 17 1285
16 450 6 1323
16 500 10 1457
16 550 49 1706
16 600 80 2123
16 650 65 2884
16 700 101 4013
16 750 104 5032
