Allele_count Bstat Neanderthal non-Neanderthal
1 0 360 7153
1 50 150 4712
1 100 60 7997
1 150 203 9596
1 200 296 11433
1 250 399 15052
1 300 521 17189
1 350 601 22010
1 400 616 27100
1 450 1048 31395
1 500 957 37323
1 550 1164 46545
1 600 1474 56107
1 650 1891 67655
1 700 2335 85492
1 750 2931 109959
1 800 3873 151476
1 850 5358 223686
1 900 8300 331213
1 950 8375 331144
2 0 11 2047
2 50 22 1277
2 100 50 2338
2 150 131 2649
2 200 107 3210
2 250 113 4263
2 300 155 5013
2 350 303 6473
2 400 427 8175
2 450 302 9350
2 500 499 11860
2 550 391 14306
2 600 578 17003
2 650 755 20759
2 700 1235 25539
2 750 1497 35094
2 800 1802 48392
2 850 2659 71146
2 900 4479 108234
2 950 4233 108649
3 0 67 884
3 50 50 729
3 100 50 1097
3 150 83 1198
3 200 12 1499
3 250 21 1916
3 300 60 2409
3 350 119 3721
3 400 103 4581
3 450 183 5307
3 500 204 6302
3 550 315 7920
3 600 538 9374
3 650 395 11754
3 700 498 14723
3 750 773 19793
3 800 1248 28715
3 850 1700 43813
3 900 2485 65993
3 950 2462 67492
4 0 1 741
4 50 3 422
4 100 1 900
4 150 6 1131
4 200 6 1216
4 250 18 1629
4 300 5 1889
4 350 28 2663
4 400 146 3721
4 450 158 4015
4 500 160 4623
4 550 186 6058
4 600 295 7739
4 650 498 9275
4 700 527 11179
4 750 571 15568
4 800 856 22115
4 850 1118 32685
4 900 2003 49865
4 950 1763 49996
5 0 8 662
5 100 2 790
5 150 11 725
5 200 7 904
5 250 28 1293
5 300 45 1652
5 350 56 2253
5 400 99 2583
5 450 137 2935
5 500 138 3604
5 550 180 4555
5 600 343 6202
5 650 401 7110
5 700 352 9225
5 750 460 12636
5 800 599 18401
5 850 1054 26645
5 900 1275 39343
5 950 1081 40645
6 0 15 600
6 50 14 404
6 100 1 572
6 150 33 752
6 200 8 866
6 250 49 1072
6 300 77 1530
6 350 31 1870
6 400 23 2547
6 450 16 2810
6 500 30 3406
6 550 25 4190
6 600 130 5329
6 650 260 5996
6 700 306 7647
6 750 321 10467
6 800 485 15271
6 850 990 23489
6 900 829 35332
6 950 670 36511
7 0 14 730
7 150 2 630
7 200 38 637
7 250 15 970
7 300 12 1142
7 350 24 1624
7 400 56 1925
7 450 44 2450
7 500 72 2983
7 550 84 3938
7 600 135 4903
7 650 194 5832
7 700 280 7551
7 750 287 9766
7 800 422 13104
7 850 620 20543
7 900 972 30872
7 950 632 33382
8 0 1 381
8 100 10 526
8 150 41 670
8 200 35 813
8 250 70 1015
8 300 54 1241
8 350 42 1284
8 400 19 1930
8 450 22 2103
8 500 42 2540
8 550 42 3610
8 600 128 4232
8 650 138 5365
8 700 146 6242
8 750 208 8983
8 800 338 12209
8 850 462 18663
8 900 447 29322
8 950 439 29936
9 0 1 235
9 50 1 414
9 200 13 528
9 250 9 728
9 300 25 764
9 350 12 1176
9 400 15 1571
9 450 17 1721
9 500 45 2381
9 550 88 2901
9 600 98 3794
9 650 120 4626
9 700 112 5976
9 750 118 7929
9 800 142 11030
9 850 253 16670
9 900 396 26432
9 950 405 27391
10 200 1 559
10 250 22 786
10 300 7 1030
10 350 53 1380
10 400 21 1559
10 450 23 1783
10 500 12 2417
10 550 41 2680
10 600 32 3426
10 650 50 4205
10 700 46 5436
10 750 100 7291
10 800 128 10410
10 850 279 16404
10 900 349 24921
10 950 240 25726
11 50 2 170
11 100 13 301
11 150 5 444
11 200 16 568
11 250 8 713
11 300 4 1047
11 350 24 1385
11 400 38 1800
11 450 13 1922
11 500 76 2155
11 550 77 2449
11 600 109 3445
11 650 84 3916
11 700 102 5541
11 750 177 7607
11 800 157 10096
11 850 180 15169
11 900 272 23724
11 950 111 24803
12 200 8 476
12 300 18 521
12 350 17 987
12 400 20 1578
12 450 11 1750
12 500 11 2003
12 550 17 2441
12 600 22 2791
12 650 21 4081
12 700 74 4736
12 750 55 6623
12 800 63 9175
12 850 166 14648
12 900 234 22027
12 950 89 22765
13 250 4 507
13 300 2 762
13 350 1 1073
13 400 11 1408
13 450 9 1568
13 500 1 1690
13 550 33 2468
13 600 40 2880
13 650 27 3859
13 700 28 4332
13 750 20 6322
13 800 135 9071
13 850 211 12907
13 900 268 21412
13 950 119 22185
14 350 14 1063
14 400 3 1628
14 450 27 1652
14 500 5 2127
14 550 26 2227
14 600 67 2706
14 650 46 3858
14 700 73 4413
14 750 30 6012
14 800 62 8680
14 850 63 12901
14 900 75 20169
14 950 131 21235
15 250 46 568
15 300 1 621
15 350 1 959
15 400 4 1177
15 500 3 1679
15 550 17 2091
15 600 21 3075
15 650 49 3592
15 700 14 4549
15 750 49 5934
15 800 68 8134
15 850 60 12397
15 900 129 19227
15 950 51 20609
16 150 7 465
16 300 9 617
16 350 10 752
16 400 4 1169
16 450 15 1434
16 500 44 1796
16 550 7 2219
16 600 4 2573
16 650 23 3382
16 700 40 4391
16 750 11 5266
16 800 26 7648
16 850 24 11459
16 900 37 18103
16 950 32 19150
17 150 13 350
17 200 6 368
17 250 2 827
17 300 5 642
17 350 6 1067
17 450 3 1167
17 500 3 1458
17 600 3 2257
17 650 28 3161
17 700 65 4217
17 750 77 5342
17 800 16 7318
17 850 19 11884
17 900 47 18644
17 950 44 18966
18 100 9 245
18 150 9 335
18 200 5 481
18 250 27 682
18 300 16 869
18 350 8 873
18 450 4 1169
18 500 6 1610
18 550 24 1829
18 600 31 2346
18 650 20 3199
18 700 7 4125
18 750 19 5482
18 800 51 7233
18 850 17 10877
18 900 54 17505
18 950 32 18192
19 50 4 155
19 100 10 229
19 200 3 276
19 350 1 866
19 400 16 930
19 450 12 1083
19 500 12 1346
19 550 10 1685
19 600 10 2274
19 650 26 3191
19 700 13 4017
19 750 20 5278
19 800 32 7439
19 850 37 11230
19 900 73 16345
19 950 33 17309
20 50 1 118
20 350 5 792
20 400 31 840
20 450 6 1109
20 500 11 1523
20 550 4 1898
20 600 15 2222
20 650 31 2898
20 700 24 4012
20 750 13 5233
20 800 38 7239
20 850 65 10651
20 900 32 16079
20 950 7 16578
21 50 34 79
21 400 4 1080
21 450 5 1233
21 550 2 1705
21 600 18 2175
21 650 12 2748
21 700 4 3543
21 750 16 4654
21 850 53 10031
21 900 10 15288
21 950 50 16550
22 50 17 53
22 400 5 781
22 450 3 1232
22 550 2 1572
22 600 2 2192
22 650 4 2850
22 850 16 9918
22 900 32 15172
22 950 8 16672
23 100 2 193
23 350 1 646
23 600 3 2143
23 650 19 2677
23 700 5 3395
23 750 2 4401
23 800 2 6092
23 850 29 10142
23 900 5 14397
23 950 11 15461
24 50 6 235
24 100 7 284
24 700 1 3076
24 750 1 4078
24 800 4 6080
24 850 13 9687
24 900 21 13995
24 950 29 14914
25 650 2 2515
25 750 17 4150
25 800 50 6028
25 900 6 13913
25 950 36 14403
26 650 2 2447
26 700 1 3005
26 750 60 4085
26 900 4 13441
26 950 2 14036
27 950 2 13931
28 950 3 13950
29 900 1 12228
30 650 1 2289
31 900 2 11901
31 950 9 12402
33 850 2 7316
