Allele_count Bstat Neanderthal non-Neanderthal
1 0 272 7094
1 50 108 4658
1 100 124 7984
1 150 109 9683
1 200 161 11341
1 250 158 14862
1 300 318 16844
1 350 370 21955
1 400 513 26731
1 450 609 31264
1 500 710 37037
1 550 828 46118
1 600 1064 55604
1 650 1355 66926
1 700 1590 84364
1 750 1914 108714
1 800 2503 149077
1 850 3499 221082
1 900 6034 325761
1 950 5968 324092
2 0 9 2065
2 50 10 1248
2 100 230 2397
2 150 205 2663
2 200 211 3213
2 250 146 4144
2 300 99 4879
2 350 186 6649
2 400 324 8311
2 450 254 9425
2 500 420 11826
2 550 415 14289
2 600 527 16991
2 650 709 20835
2 700 1273 25732
2 750 1012 34750
2 800 1315 47740
2 850 2117 70639
2 900 2912 107298
2 950 2786 106248
3 0 9 932
3 50 41 773
3 100 46 1134
3 150 38 1208
3 200 68 1509
3 250 126 1961
3 300 133 2431
3 350 333 3681
3 400 260 4525
3 450 175 5459
3 500 151 6417
3 550 374 8036
3 600 522 9780
3 650 594 11957
3 700 608 14953
3 750 656 19739
3 800 1327 28586
3 850 1408 43830
3 900 1784 65899
3 950 1792 66488
4 0 7 742
4 50 12 426
4 100 69 912
4 150 10 1064
4 200 8 1214
4 250 3 1603
4 300 47 1813
4 350 100 2633
4 400 130 3717
4 450 180 4064
4 500 180 4727
4 550 137 6070
4 600 344 7725
4 650 329 9225
4 700 397 11305
4 750 522 15593
4 800 703 21938
4 850 832 32688
4 900 1677 49829
4 950 1333 49357
5 0 27 664
5 50 29 275
5 100 37 766
5 150 10 714
5 200 13 890
5 250 40 1291
5 300 68 1568
5 350 46 2198
5 400 171 2468
5 450 233 2897
5 500 145 3631
5 550 226 4717
5 600 346 6215
5 650 460 7082
5 700 282 9415
5 750 269 12734
5 800 475 18441
5 850 673 27006
5 900 716 39608
5 950 765 40628
6 0 34 597
6 100 2 602
6 150 59 762
6 200 49 862
6 250 7 1109
6 300 41 1562
6 350 39 1878
6 400 27 2464
6 450 42 2787
6 500 81 3456
6 550 37 4250
6 600 111 5378
6 650 219 5987
6 700 227 7619
6 750 205 10395
6 800 337 15164
6 850 774 23555
6 900 614 35896
6 950 479 36103
7 0 84 729
7 150 1 586
7 200 46 647
7 250 18 1047
7 300 47 1120
7 350 54 1621
7 400 67 1943
7 450 85 2337
7 500 86 2953
7 550 53 3847
7 600 123 4763
7 650 157 5811
7 700 247 7753
7 750 262 9848
7 800 297 13228
7 850 431 20482
7 900 716 30518
7 950 492 32907
8 0 16 375
8 100 66 527
8 150 1 657
8 200 13 796
8 250 12 1043
8 300 26 1238
8 350 25 1275
8 400 18 1892
8 450 39 2040
8 500 43 2551
8 550 25 3621
8 600 108 4249
8 650 115 5385
8 700 50 6255
8 750 153 8953
8 800 202 12294
8 850 315 18762
8 900 464 28794
8 950 253 29717
9 200 19 540
9 250 13 738
9 300 7 794
9 350 11 1171
9 400 5 1667
9 450 22 1703
9 500 31 2301
9 550 125 2884
9 600 86 3716
9 650 179 4541
9 700 89 5922
9 750 72 7889
9 800 98 11060
9 850 211 16842
9 900 232 26216
9 950 220 27447
10 50 1 150
10 100 15 376
10 150 2 544
10 200 1 560
10 300 6 1014
10 350 52 1385
10 400 12 1555
10 450 2 1798
10 500 23 2350
10 550 9 2671
10 600 82 3300
10 650 53 4187
10 700 21 5438
10 750 95 7231
10 800 77 10568
10 850 118 16682
10 900 285 24694
10 950 168 25449
11 50 8 183
11 100 64 313
11 150 7 453
11 200 24 587
11 250 10 687
11 300 20 988
11 350 6 1290
11 400 37 1684
11 450 47 1807
11 500 47 2173
11 550 123 2506
11 600 195 3469
11 650 68 3943
11 700 49 5468
11 750 114 7624
11 800 67 10147
11 850 84 15005
11 900 212 23416
11 950 171 24452
12 250 3 555
12 300 20 531
12 350 11 962
12 400 13 1568
12 450 6 1631
12 500 38 1991
12 550 18 2502
12 600 21 2859
12 650 31 4129
12 700 21 4808
12 750 34 6585
12 800 75 9073
12 850 167 14687
12 900 191 21668
12 950 170 22542
13 250 1 509
13 350 29 1044
13 400 5 1377
13 450 6 1549
13 500 1 1762
13 550 42 2485
13 600 39 2846
13 650 64 3937
13 700 51 4360
13 750 28 6298
13 800 60 9066
13 850 109 12988
13 900 242 21237
13 950 163 21778
14 0 3 167
14 150 3 332
14 250 4 589
14 300 4 737
14 350 10 991
14 400 3 1568
14 450 19 1648
14 500 1 2100
14 550 3 2216
14 600 17 2708
14 650 40 3826
14 700 50 4345
14 750 34 6023
14 800 67 8572
14 850 32 12977
14 900 96 20008
14 950 119 20747
15 250 2 569
15 400 4 1128
15 450 9 1394
15 500 31 1631
15 550 13 2111
15 600 6 3055
15 650 32 3562
15 700 21 4572
15 750 27 5942
15 800 53 8115
15 850 53 12400
15 900 93 19017
15 950 50 20331
16 150 4 468
16 200 1 318
16 250 3 596
16 350 5 748
16 400 5 1168
16 450 11 1400
16 500 25 1785
16 550 3 2197
16 600 25 2601
16 650 22 3370
16 700 17 4384
16 750 21 5259
16 800 41 7699
16 850 37 11410
16 900 26 18070
16 950 46 19000
17 100 18 308
17 150 26 348
17 250 5 818
17 300 17 640
17 350 44 1057
17 400 3 1124
17 450 33 1162
17 500 17 1415
17 600 9 2292
17 650 27 3155
17 700 70 4122
17 750 66 5278
17 800 12 7287
17 850 22 11829
17 900 31 18212
17 950 47 18397
18 100 21 248
18 250 24 660
18 300 22 854
18 350 11 923
18 400 9 1162
18 450 7 1145
18 500 7 1626
