Allele_count Bstat Neanderthal non-Neanderthal
1 0 171 15116
1 50 80 9253
1 100 289 15030
1 150 213 17986
1 200 320 21291
1 250 199 26639
1 300 380 31050
1 350 557 40153
1 400 629 49422
1 450 675 56281
1 500 858 65924
1 550 1093 80694
1 600 1508 98787
1 650 1832 119519
1 700 2191 144219
1 750 2543 189134
1 800 3886 258236
1 850 6414 382010
1 900 8770 561653
1 950 8896 564514
2 0 47 3505
2 50 1 2146
2 100 29 3628
2 150 110 4416
2 200 60 4789
2 250 192 6563
2 300 537 7255
2 350 408 9421
2 400 292 11579
2 450 340 13513
2 500 501 16157
2 550 374 20011
2 600 402 24540
2 650 567 28894
2 700 489 36236
2 750 898 47769
2 800 1543 65623
2 850 1914 98406
2 900 3142 144625
2 950 3768 145436
3 0 3 1705
3 100 22 1712
3 150 44 2359
3 200 76 2311
3 250 34 3281
3 300 50 3708
3 350 70 4642
3 400 63 5477
3 450 112 6780
3 500 88 7986
3 550 216 9991
3 600 246 11673
3 650 207 14697
3 700 209 18528
3 750 517 24125
3 800 870 33246
3 850 807 50646
3 900 1480 75172
3 950 1386 77412
4 0 15 857
4 50 3 624
4 100 6 898
4 150 6 1444
4 250 1 1800
4 300 3 2516
4 350 11 3090
4 400 47 3866
4 450 59 4770
4 500 75 5296
4 550 89 6851
4 600 97 8491
4 650 104 10236
4 700 228 12610
4 750 290 16676
4 800 266 24506
4 850 537 36143
4 900 1078 54323
4 950 1183 54874
5 0 1 629
5 250 1 1524
5 300 22 1665
5 350 41 2534
5 400 48 2946
5 450 55 3430
5 500 45 4311
5 550 73 5340
5 600 113 6463
5 650 215 7800
5 700 122 10298
5 750 165 13707
5 800 171 18615
5 850 218 28322
5 900 451 43804
5 950 472 44829
6 300 1 1444
6 350 3 2100
6 400 33 2578
6 450 8 2805
6 500 9 3477
6 550 14 4440
6 600 38 5527
6 650 76 6783
6 700 60 8047
6 750 68 11167
6 800 84 16453
6 850 154 23949
6 900 143 36950
6 950 298 38948
7 150 1 365
7 250 1 1227
7 300 4 1269
7 350 2 1773
7 400 15 2136
7 450 9 2511
7 500 5 2978
7 550 17 3913
7 600 38 5088
7 650 43 6207
7 700 80 7894
7 750 165 10548
7 800 93 15316
7 850 263 21434
7 900 253 32699
7 950 252 34642
8 350 9 1611
8 400 3 2138
8 450 3 2369
8 500 12 2884
8 550 182 3517
8 600 19 4437
8 650 28 5598
8 700 69 7064
8 750 105 9521
8 800 272 13299
8 850 96 19742
8 900 88 29945
8 950 53 30705
9 50 1 221
9 100 5 355
9 150 2 676
9 200 6 841
9 450 36 2010
9 500 38 2840
9 550 22 3127
9 600 26 4056
9 650 16 4936
9 700 17 6486
9 800 35 12014
9 850 73 18675
9 900 33 28121
9 950 98 29585
10 100 28 385
10 200 3 827
10 300 1 1036
10 350 1 1273
10 400 2 1656
10 450 2 1918
10 500 2 2301
10 550 17 2902
10 600 35 3785
10 650 7 4813
10 700 3 6078
10 750 29 8003
10 800 5 11595
10 850 38 17096
10 900 32 27994
10 950 29 28656
11 200 1 560
11 350 25 1204
11 400 7 1551
11 450 2 1882
11 500 2 2194
11 550 20 3022
11 600 15 3482
11 700 7 6189
11 750 2 7390
11 800 17 9906
11 850 5 15763
11 900 46 25266
11 950 26 27101
12 200 3 413
12 350 15 950
12 400 8 1469
12 450 1 2107
12 550 1 2430
12 700 1 5440
12 750 3 7097
12 850 10 15285
12 900 14 23600
12 950 22 25138
13 100 1 282
13 200 3 472
13 400 1 1386
13 550 1 2525
13 650 1 4141
13 700 5 4974
13 750 2 6839
13 850 4 14561
13 900 7 22799
13 950 9 23256
14 600 1 2809
14 650 22 3621
14 700 8 4750
14 750 6 6575
14 800 10 9137
14 850 7 13496
14 900 5 22509
15 150 2 463
15 500 1 1690
15 700 2 4490
15 750 6 6144
15 800 1 8896
15 850 1 13691
15 900 18 21116
15 950 1 21439
16 650 1 3243
16 900 8 19386
16 950 4 20110
17 550 2 2236
17 600 1 2807
17 650 8 3087
17 700 3 3972
17 750 1 5604
17 850 1 12677
17 950 2 19713
18 500 2 1678
18 550 11 2097
18 600 2 2355
18 650 20 3313
18 750 7 5119
18 800 8 8088
18 850 3 12045
18 950 3 18964
19 500 1 1607
19 600 1 2503
19 750 6 5529
19 850 5 11880
19 900 2 17455
19 950 1 18405
20 550 3 1742
20 650 8 2777
20 700 5 3848
20 850 2 11174
21 900 1 16043
22 400 8 1100
23 750 2 4448
24 300 7 467
24 350 12 699
24 400 2 964
24 450 2 1108
25 300 22 466
25 900 15 14614
26 850 2 9365
27 650 1 2499
27 850 1 9021
28 650 1 2225
29 500 1 1137
29 550 25 1281
29 600 4 1587
29 650 6 2177
29 700 9 3047
30 900 2 12288
31 900 4 12618
