Allele_count Bstat Neanderthal non-Neanderthal
1 0 35 14850
1 50 39 9103
1 100 42 14835
1 150 44 17635
1 200 68 20987
1 250 121 26108
1 300 166 30380
1 350 237 39536
1 400 331 48623
1 450 431 55295
1 500 535 64699
1 550 755 79293
1 600 1024 97081
1 650 1168 117120
1 700 1609 140817
1 750 2073 184842
1 800 2971 251992
1 850 5109 373431
1 900 8301 547276
1 950 8585 549861
2 0 1 3482
2 50 4 2141
2 100 22 3417
2 150 80 4226
2 200 11 4637
2 250 34 6235
2 300 45 7055
2 350 66 9170
2 400 119 11220
2 450 150 13035
2 500 212 15454
2 550 214 19027
2 600 304 23677
2 650 425 27760
2 700 388 34597
2 750 899 45649
2 800 1402 62298
2 850 1766 93197
2 900 3446 137480
2 950 3784 136940
3 0 1 1649
3 100 16 1641
3 150 47 2312
3 200 69 2248
3 250 10 3158
3 300 27 3585
3 350 57 4591
3 400 78 5367
3 450 74 6606
3 500 137 7608
3 550 150 9504
3 600 226 10963
3 650 298 13784
3 700 218 17679
3 750 445 22769
3 800 734 30991
3 850 1070 47460
3 900 1620 69689
3 950 2112 71107
4 0 1 816
4 100 7 896
4 150 6 1420
4 200 14 1308
4 250 51 1726
4 300 29 2394
4 350 57 2998
4 400 36 3722
4 450 48 4567
4 500 91 5065
4 550 79 6438
4 600 81 7885
4 650 120 9467
4 700 205 11950
4 750 212 15589
4 800 443 22922
4 850 776 33642
4 900 1134 50005
4 950 1461 49425
5 150 6 1100
5 200 71 1117
5 250 12 1375
5 300 14 1553
5 350 55 2354
5 400 45 2780
5 450 55 3219
5 500 36 3984
5 550 76 5125
5 600 83 6098
5 650 161 7344
5 700 119 9752
5 750 243 12784
5 800 415 17345
5 850 510 26359
5 900 900 40534
5 950 1159 40469
6 150 33 639
6 250 24 1138
6 300 1 1404
6 350 19 1920
6 400 11 2424
6 450 10 2688
6 500 8 3207
6 550 37 4176
6 600 31 5379
6 650 84 6444
6 700 95 7666
6 750 97 10351
6 800 241 15181
6 850 399 22361
6 900 401 34558
6 950 669 35978
7 50 2 213
7 150 1 355
7 350 2 1717
7 400 19 2088
7 450 23 2380
7 500 17 2848
7 550 22 3695
7 600 29 4830
7 650 36 5959
7 700 73 7667
7 750 87 10114
7 800 117 14345
7 850 171 20259
7 900 468 30631
7 950 572 31885
8 0 2 325
8 100 32 405
8 150 2 459
8 250 1 925
8 350 1 1518
8 400 2 2106
8 450 11 2195
8 500 5 2760
8 550 66 3343
8 600 42 4252
8 650 71 5371
8 700 62 6784
8 750 72 9185
8 800 135 12776
8 850 181 18830
8 900 249 28209
8 950 247 28425
9 50 1 188
9 100 8 340
9 150 4 673
9 200 1 829
9 350 3 1348
9 450 3 1887
9 500 8 2614
9 550 35 3073
9 600 37 3919
9 650 27 4805
9 700 50 6162
9 750 70 8464
9 800 90 11439
9 850 205 17769
9 900 235 26425
9 950 343 27332
10 100 43 384
10 200 5 808
10 350 6 1236
10 500 1 2232
10 550 42 2785
10 600 27 3651
10 650 17 4552
10 700 14 5818
10 750 49 7644
10 800 75 11116
10 850 111 16145
10 900 138 26213
10 950 249 26672
11 100 12 365
11 150 2 388
11 450 4 1723
11 500 10 2090
11 550 16 2894
11 600 11 3380
11 650 42 4697
11 700 39 5867
11 750 34 7033
11 800 40 9526
11 850 52 14987
11 900 102 24018
11 950 126 25437
12 400 5 1419
12 450 3 2042
12 500 6 2101
12 550 9 2393
12 600 9 3188
12 650 8 4033
12 700 11 5235
12 750 22 6793
12 800 44 9533
12 850 96 14644
12 900 113 22633
12 950 58 23697
13 100 1 280
13 200 17 462
13 400 3 1339
13 500 1 2097
13 550 11 2464
13 600 83 3288
