Allele_count Bstat Neanderthal non-Neanderthal
1 0 139 5885
1 50 2 3723
1 100 28 6338
1 150 70 6971
1 200 210 8657
1 250 318 10597
1 300 403 12120
1 350 611 15797
1 400 800 19876
1 450 522 23777
1 500 759 27246
1 550 942 33324
1 600 1105 41521
1 650 1108 50813
1 700 1202 62910
1 750 1751 81530
1 800 2169 110820
1 850 2939 166076
1 900 5019 247767
1 950 4703 252147
2 0 12 1396
2 100 76 1451
2 150 86 1830
2 200 20 2118
2 250 16 2693
2 300 84 3003
2 350 247 4178
2 400 180 5317
2 450 168 5994
2 500 262 6955
2 550 500 8566
2 600 572 10052
2 650 399 13732
2 700 460 16346
2 750 491 22204
2 800 801 29875
2 850 1196 46074
2 900 1924 67220
2 950 1207 68434
3 0 1 536
3 100 12 741
3 150 36 964
3 200 57 1051
3 250 97 1550
3 300 57 1953
3 350 31 2560
3 400 96 3102
3 450 61 3439
3 500 144 4174
3 550 151 4932
3 600 66 6809
3 650 99 8297
3 700 225 9752
3 750 270 14428
3 800 423 20011
3 850 697 28988
3 900 1387 44398
3 950 900 44126
4 0 1 764
4 100 1 507
4 150 60 710
4 200 64 771
4 250 53 1308
4 300 115 1590
4 350 105 1945
4 400 49 2945
4 450 71 3100
4 500 51 3637
4 550 64 4803
4 600 127 5523
4 650 264 7272
4 700 245 8622
4 750 320 10826
4 800 298 15525
4 850 568 25040
4 900 1024 36543
4 950 814 38634
5 0 5 357
5 150 1 478
5 200 1 800
5 250 1 1154
5 300 9 1353
5 350 107 1952
5 400 80 2268
5 450 82 2556
5 500 99 3040
5 550 51 3869
5 600 106 4670
5 650 103 5571
5 700 99 7182
5 750 286 10293
5 800 387 13906
5 850 333 21118
5 900 612 31126
5 950 882 34127
6 0 1 302
6 150 1 733
6 200 3 637
6 250 12 971
6 300 33 1141
6 350 10 1568
6 400 21 2229
6 450 62 2612
6 500 88 2930
6 550 22 3329
6 600 98 4248
6 650 134 5363
6 700 203 7061
6 750 191 9593
6 800 310 13002
6 850 364 19522
6 900 467 30421
6 950 367 32265
7 0 117 323
7 150 34 412
7 200 30 756
7 250 11 788
7 300 20 903
7 350 9 1175
7 400 17 2058
7 450 52 2278
7 500 93 2621
7 550 81 3050
7 600 149 3818
7 650 108 5103
7 700 132 6611
7 750 58 8609
7 800 171 12533
7 850 344 18925
7 900 470 28284
7 950 401 30407
8 150 50 668
8 200 83 747
8 250 11 1082
8 300 4 1123
8 350 3 1251
8 400 38 2099
8 450 18 2060
8 500 20 2763
8 550 134 3040
8 600 329 3866
8 650 313 5276
8 700 35 6070
8 750 60 7688
8 800 327 11319
8 850 249 16484
8 900 483 26678
8 950 281 27852
9 200 27 547
9 250 23 635
9 300 25 990
9 350 105 1316
9 400 62 1695
9 450 45 1805
9 500 36 2301
9 550 37 2974
9 600 73 3767
9 650 107 4345
9 700 124 5724
9 750 101 7031
9 800 79 10883
9 850 275 16050
9 900 391 25258
9 950 537 26276
10 150 7 583
10 200 16 510
10 250 55 801
10 300 66 1025
10 350 48 1267
10 400 127 1506
10 450 46 1736
10 500 59 2258
10 550 28 2476
10 600 24 3316
10 650 101 3397
10 700 82 5163
10 750 44 6906
10 800 90 10086
10 850 105 15896
10 900 291 24388
10 950 306 23965
11 200 1 493
11 250 42 576
11 300 91 983
11 350 22 1046
11 400 23 1439
11 450 85 1730
11 500 34 1925
11 550 69 2589
11 600 66 3222
11 650 95 4193
11 700 119 5259
11 750 17 7499
11 800 26 9625
11 850 100 15003
11 900 242 22751
11 950 329 24082
12 150 1 473
12 350 2 1002
12 400 11 1322
12 450 33 1553
12 500 111 1751
12 550 39 2611
12 600 71 2980
12 650 34 3575
12 700 33 4763
12 750 50 6859
12 800 35 9249
12 850 186 13824
12 900 413 22044
12 950 115 22577
13 200 1 490
13 250 1 810
13 350 12 1131
13 400 39 1390
13 450 28 1502
13 500 95 1970
13 550 26 2170
13 600 29 2708
13 650 19 3367
13 700 5 4447
13 750 5 6094
13 800 80 8749
13 850 173 13601
13 900 73 20811
13 950 178 20493
14 200 1 323
14 500 1 1787
14 550 5 2266
14 600 1 2781
14 650 5 3464
14 700 20 3992
14 750 17 6017
14 800 48 7991
14 850 86 13413
14 900 310 20565
14 950 157 20811
15 300 4 567
15 350 2 854
15 500 9 1826
15 550 3 2178
15 650 13 3243
15 700 18 3983
15 750 54 5592
15 800 53 8118
15 850 148 12771
15 900 152 19653
15 950 153 19725
16 250 1 633
16 400 3 991
16 450 29 1067
16 500 16 1652
16 550 27 2046
16 600 27 2297
16 650 41 3098
16 700 1 3994
16 750 14 5514
16 800 44 8142
16 850 22 11700
16 900 130 18838
16 950 107 20780
17 400 35 1019
17 450 2 1211
17 500 21 1581
17 550 19 1969
17 600 12 2573
17 650 8 3112
17 700 13 3814
17 750 43 5249
17 800 8 7636
17 850 12 11740
17 900 35 18315
17 950 127 19412
18 300 28 730
18 350 30 765
18 400 16 898
18 450 8 1082
18 500 3 1267
18 550 2 1940
18 600 9 2565
18 650 1 2892
18 700 23 3748
18 750 12 5224
18 800 41 7517
18 850 54 10642
18 900 170 18115
18 950 147 18605
19 200 26 427
19 250 37 545
19 350 41 690
19 400 3 940
19 450 21 863
19 500 20 1357
19 550 9 2006
19 600 4 2183
19 650 9 3053
19 700 35 4140
19 750 80 5274
19 800 15 7527
19 850 72 11081
19 900 80 17558
19 950 69 18022
20 50 11 145
20 100 6 300
20 500 1 1236
20 600 30 2258
20 650 17 2714
20 700 19 3725
20 750 25 5218
20 800 22 7037
20 850 23 11010
20 900 80 17441
20 950 28 17188
21 250 1 398
21 800 1 6445
21 850 62 9960
21 900 94 15807
21 950 29 16672
22 150 1 189
22 250 2 407
22 450 29 1197
22 500 10 1488
22 550 11 1861
22 600 1 2261
22 650 32 3101
22 700 3 3569
22 850 60 9650
22 900 38 15502
22 950 1 16320
23 300 1 378
23 800 1 6656
23 850 4 10290
23 900 30 15225
23 950 33 15929
24 800 9 6238
24 850 27 8928
24 900 7 14406
24 950 30 16129
25 450 4 927
25 550 4 1668
25 600 7 2102
25 650 7 2761
25 700 2 3518
25 800 21 6109
25 850 81 8622
25 900 9 13980
25 950 8 14992
26 400 3 953
26 450 46 1162
26 500 66 1278
26 550 10 1696
26 600 2 1907
26 700 1 2986
26 750 28 4353
26 800 100 5774
26 850 62 8767
26 900 38 13834
27 500 6 1161
27 550 40 1391
27 600 1 1789
27 700 1 2709
27 800 17 5526
27 850 62 8757
27 900 32 14135
27 950 3 14339
28 500 33 1147
28 550 25 1547
28 900 35 13210
28 950 3 13677
29 150 6 320
29 550 3 1569
29 650 2 2122
29 850 4 8362
29 900 5 13206
29 950 1 14370
30 100 21 201
30 150 44 82
30 500 1 1043
30 550 13 1310
30 600 12 1836
30 850 18 8569
30 900 13 13260
30 950 5 13087
31 150 1 243
31 550 1 1385
31 650 8 2089
31 700 9 2713
31 750 1 3745
31 850 17 8332
31 900 2 12865
32 150 2 182
32 350 1 663
32 700 2 2976
32 850 7 8046
32 900 47 11685
32 950 15 12799
33 100 3 124
33 150 33 239
33 350 7 590
33 400 10 570
33 450 13 748
33 500 24 1029
33 550 24 1138
33 700 5 2776
33 750 2 3559
33 900 14 11920
34 500 29 1108
34 550 11 1333
34 600 1 1585
34 650 2 2084
34 700 9 2560
34 750 10 3564
35 550 13 1470
35 650 2 1956
35 800 8 4681
35 850 51 7539
36 550 1 1132
36 650 8 1929
36 700 7 2461
36 800 2 4377
36 850 3 6974
37 550 2 1229
37 650 1 2140
37 850 29 6843
38 250 68 196
38 300 19 297
38 350 14 477
38 400 2 459
38 450 4 582
38 500 8 773
38 650 3 1817
38 900 4 10972
39 850 11 6984
44 650 2 1764
45 600 1 1163
51 600 11 1217
51 650 21 1731
