Allele_count Bstat Neanderthal non-Neanderthal
1 0 1 5848
1 50 8 3715
1 100 3 6260
1 150 5 6877
1 200 41 8528
1 250 62 10305
1 300 106 11817
1 350 170 15414
1 400 119 19497
1 450 154 23129
1 500 340 26649
1 550 440 32544
1 600 378 40617
1 650 691 49256
1 700 877 60922
1 750 1060 79532
1 800 1813 107715
1 850 2452 162229
1 900 3607 241124
1 950 4789 245036
2 100 1 1431
2 200 1 2062
2 250 1 2645
2 300 8 2951
2 350 37 4093
2 400 49 5157
2 450 75 5726
2 500 90 6757
2 550 179 8322
2 600 237 9713
2 650 213 13240
2 700 334 15695
2 750 332 21319
2 800 651 28507
2 850 966 44286
2 900 1588 64797
2 950 1578 65584
3 200 14 1021
3 250 3 1451
3 300 12 1911
3 350 10 2510
3 400 12 3007
3 450 54 3224
3 500 155 3991
3 550 102 4827
3 600 126 6572
3 650 77 8054
3 700 167 9469
3 750 282 13847
3 800 408 18998
3 850 649 28065
3 900 925 42569
3 950 944 42108
4 150 56 708
4 200 54 767
4 250 21 1259
4 300 54 1541
4 350 15 1922
4 400 16 2809
4 450 31 2939
4 500 40 3424
4 550 104 4586
4 600 63 5261
4 650 156 6960
4 700 193 8227
4 750 172 10121
4 800 330 14756
4 850 534 23904
4 900 778 35137
4 950 865 36834
5 200 1 790
5 250 35 1099
5 350 42 1861
5 400 42 2227
5 450 37 2477
5 500 27 2947
5 550 29 3815
5 600 88 4445
5 650 60 5350
5 700 63 6914
5 750 163 9848
5 800 227 13345
5 850 358 20230
5 900 831 29824
5 950 1040 32362
6 150 5 726
6 200 27 607
6 250 2 946
6 300 2 1111
6 350 3 1408
6 400 12 2151
6 450 40 2528
6 500 61 2834
6 550 22 3235
6 600 39 4079
6 650 121 5243
6 700 58 6897
6 750 239 9293
6 800 336 12511
6 850 410 18872
6 900 488 29514
6 950 765 30488
7 150 37 408
7 200 29 766
7 250 2 755
7 400 27 1991
7 450 39 2153
7 500 62 2573
7 550 34 2931
7 600 61 3675
7 650 90 4921
7 700 180 6414
7 750 193 8312
7 800 162 11851
7 850 348 17891
7 900 607 26992
7 950 557 28927
8 150 30 667
8 200 6 717
8 250 2 1047
8 350 11 1220
8 400 3 2081
8 450 4 1997
8 500 12 2716
8 550 99 2926
8 600 84 3715
8 650 100 5038
8 700 31 5930
8 750 49 7428
8 800 139 10814
8 850 329 15892
8 900 702 25669
8 950 599 26264
9 200 1 546
9 350 1 1275
9 400 10 1660
9 450 23 1723
9 500 7 2238
9 550 24 2815
9 600 17 3540
9 650 28 4145
9 700 148 5556
9 750 87 6733
9 800 161 10470
9 850 382 15536
9 900 500 24297
9 950 509 25021
10 150 15 582
10 200 4 508
10 250 5 750
10 300 8 1002
10 350 20 1235
10 400 30 1435
10 450 9 1645
10 500 20 2190
10 550 18 2406
10 600 28 3213
10 650 20 3273
10 700 103 5012
10 750 148 6665
10 800 217 9526
10 850 155 15273
10 900 406 23476
10 950 493 22762
11 250 26 561
11 300 21 949
11 350 20 1015
11 400 13 1400
11 450 25 1621
11 500 24 1876
11 550 30 2553
11 600 11 3093
11 650 67 4124
11 700 54 5158
11 750 63 7290
11 800 90 9275
11 850 197 14468
11 900 373 21666
11 950 371 22624
12 0 2 314
12 400 1 1299
12 450 4 1539
12 500 54 1732
12 550 23 2520
12 600 59 2841
12 650 27 3513
12 700 75 4600
12 750 101 6570
12 800 61 8972
12 850 174 13394
12 900 261 21063
12 950 215 21624
13 300 4 833
13 350 11 1093
13 400 2 1374
13 450 1 1474
13 500 1 1948
13 550 3 2143
13 600 10 2658
13 650 14 3327
13 700 29 4245
13 750 30 5871
13 800 85 8473
13 850 165 13101
13 900 278 19912
13 950 329 19378
14 400 1 1280
14 450 5 1286
14 500 8 1748
14 550 6 2218
14 600 9 2712
14 650 18 3411
14 700 16 3859
14 750 41 5762
14 800 86 7705
14 850 130 12948
14 900 230 19949
14 950 437 19645
15 350 7 851
15 400 7 1061
15 450 3 1362
15 500 91 1757
15 550 42 2123
15 600 23 2800
15 650 6 3181
15 700 50 3883
15 750 36 5415
15 800 64 7959
15 850 136 12391
15 900 224 18994
15 950 304 18761
16 450 31 1029
16 500 24 1554
16 550 19 1990
16 600 6 2239
16 650 6 2940
16 700 19 3842
16 750 16 5349
16 800 56 7903
16 850 33 11467
16 900 176 18177
16 950 249 19930
17 400 5 974
17 450 1 1169
17 550 15 1950
17 600 22 2493
17 650 8 3043
17 700 18 3675
17 750 62 5048
17 800 54 7455
17 850 58 11340
17 900 106 17776
17 950 229 18614
18 0 1 237
18 400 1 885
18 500 11 1228
18 550 12 1903
18 600 11 2524
18 650 2 2825
18 700 5 3696
18 750 5 5119
18 800 47 7373
18 850 57 10215
18 900 203 17591
18 950 142 17823
19 500 2 1333
19 550 12 1977
19 600 4 2144
19 650 6 3008
19 700 21 4043
19 750 33 5165
19 800 22 7350
19 850 74 10725
19 900 139 16989
19 950 239 17251
20 0 3 74
20 50 13 144
20 100 17 300
20 350 1 709
20 550 26 1689
20 600 11 2087
20 650 8 2689
20 700 11 3656
20 750 30 5044
20 800 19 6832
20 850 41 10511
20 900 142 16914
20 950 168 16429
21 550 21 1848
21 650 3 2596
21 750 6 4670
21 800 6 6222
21 850 49 9687
21 900 98 15135
21 950 114 15842
22 350 1 635
22 400 1 760
22 450 19 1189
22 500 18 1421
22 550 15 1746
22 600 2 2190
22 700 5 3443
22 750 27 4696
22 800 19 6515
22 850 15 9335
22 900 61 14972
22 950 119 15519
23 550 4 1954
23 600 1 2164
23 650 15 2619
23 800 18 6546
23 850 18 10014
23 900 75 14731
23 950 79 15258
24 250 6 442
24 300 6 374
24 350 1 626
24 400 1 933
24 550 1 1771
24 750 10 4522
24 800 14 6124
24 850 22 8633
24 900 48 13893
24 950 71 15393
25 550 6 1632
25 600 21 2021
25 700 2 3453
25 750 14 3988
25 800 41 5983
25 850 81 8307
25 900 17 13573
25 950 36 14385
26 500 22 1229
26 550 10 1615
26 600 6 1874
26 650 1 2343
26 750 7 4253
26 800 78 5577
26 850 64 8389
26 900 39 13403
26 950 11 14103
27 350 1 405
27 500 6 1133
27 550 42 1368
27 600 5 1734
27 650 3 2354
27 700 4 2644
27 750 2 3805
27 800 4 5389
27 850 13 8564
27 900 33 13582
27 950 18 13675
28 350 16 331
28 400 11 639
28 450 6 827
28 500 4 1096
28 550 4 1516
28 600 1 1759
28 700 2 2863
28 750 2 4144
28 800 10 5751
28 900 53 12748
28 950 12 13098
29 400 1 882
29 500 2 1114
29 550 6 1554
29 850 9 8073
29 900 4 12680
29 950 12 13933
30 500 1 1016
30 550 13 1241
30 650 3 1996
30 700 27 3036
30 750 5 3626
30 800 2 5497
30 850 10 8317
30 900 10 12793
30 950 16 12614
31 350 13 498
31 400 5 657
31 450 6 961
31 500 1 1028
31 550 2 1343
31 600 14 1720
31 650 1 2043
31 700 1 2630
31 850 25 8071
31 900 52 12479
31 950 20 12782
32 350 1 635
32 600 21 1863
32 650 2 2231
32 700 1 2912
32 850 9 7781
32 900 26 11313
32 950 12 12225
33 100 3 124
33 150 8 239
33 350 7 580
33 400 10 560
33 450 13 735
33 500 13 1016
33 550 3 1105
33 750 2 3407
33 800 8 4569
