Allele_count Bstat Neanderthal non-Neanderthal
1 0 13 7347
1 50 56 4462
1 100 139 7617
1 150 160 9823
1 200 231 11621
1 250 235 14127
1 300 492 16648
1 350 708 21490
1 400 810 26206
1 450 1373 30699
1 500 1418 35676
1 550 1612 44648
1 600 1627 53878
1 650 1998 65381
1 700 2404 79675
1 750 3002 104686
1 800 4143 143000
1 850 6100 212538
1 900 9119 311680
1 950 9247 313691
2 0 68 2161
2 50 146 1486
2 100 172 2632
2 150 188 3516
2 200 194 3565
2 250 296 4917
2 300 176 5296
2 350 157 7380
2 400 260 8530
2 450 292 9979
2 500 560 12296
2 550 522 15012
2 600 669 18423
2 650 943 22235
2 700 1371 28168
2 750 1446 35970
2 800 1573 50400
2 850 2693 73563
2 900 4119 114891
2 950 4649 117988
3 0 14 979
3 50 13 759
3 100 46 1140
3 150 99 1807
3 200 146 1698
3 250 187 2250
3 300 252 2914
3 350 212 4192
3 400 224 5332
3 450 348 6371
3 500 297 7298
3 550 421 9360
3 600 436 11752
3 650 632 13507
3 700 715 17123
3 750 931 22288
3 800 1087 31538
3 850 1606 49058
3 900 2929 72811
3 950 1692 73405
4 0 1 1041
4 150 6 1040
4 200 25 1220
4 250 70 1887
4 300 86 2604
4 350 58 3086
4 400 98 4301
4 450 224 4678
4 500 171 5607
4 550 229 6831
4 600 194 8717
4 650 210 10045
4 700 271 12726
4 750 410 17091
4 800 600 24540
4 850 763 35597
4 900 988 54395
4 950 1451 56517
5 0 1 946
5 150 2 792
5 200 1 1086
5 250 3 1610
5 300 41 1701
5 350 65 2205
5 400 84 2857
5 450 93 3261
5 500 151 4338
5 550 193 5706
5 600 174 6295
5 650 166 8467
5 700 297 10589
5 750 264 14006
5 800 609 20239
5 850 749 30185
5 900 790 47365
5 950 948 48461
6 100 10 402
6 150 21 847
6 200 32 1028
6 250 44 1583
6 300 58 1685
6 350 134 1908
6 400 133 2480
6 450 57 3183
6 500 73 4050
6 550 157 4567
6 600 156 5474
6 650 138 7070
6 700 160 8619
6 750 116 12792
6 800 328 18119
6 850 631 27348
6 900 669 43010
6 950 579 44111
7 0 96 501
7 150 22 638
7 200 67 831
7 250 22 1427
7 300 62 1265
7 350 50 1951
7 400 30 2450
7 450 46 2710
7 500 129 3427
7 550 40 4354
7 600 57 5850
7 650 61 6365
7 700 183 8065
7 750 232 11205
7 800 146 16882
7 850 203 25000
7 900 517 37706
7 950 609 38695
8 150 1 769
8 200 2 949
8 250 18 1013
8 300 41 1221
8 350 15 1844
8 400 83 2305
8 450 88 2351
8 500 116 3222
8 550 45 3685
8 600 32 4382
8 650 133 6084
8 700 145 7606
8 750 55 11221
8 800 175 14756
8 850 233 22191
8 900 327 34204
8 950 400 35406
9 300 8 1202
9 350 23 1395
9 400 42 2128
9 450 42 2161
9 500 31 3156
9 550 13 3408
9 600 51 4466
9 650 81 5545
9 700 76 7165
9 750 130 9080
9 800 232 13208
9 850 341 20341
9 900 316 31265
9 950 286 33380
10 200 3 501
10 250 3 658
10 300 35 831
10 350 28 1314
10 400 13 2019
10 450 8 2274
10 500 6 2620
10 550 9 3144
10 600 136 4230
10 650 63 5453
10 700 52 6747
10 750 102 9351
10 800 68 12590
10 850 55 18339
10 900 261 29206
10 950 201 31043
11 150 29 425
11 200 5 571
11 300 5 992
11 350 2 1310
11 400 4 1700
11 450 8 2136
11 500 9 2502
11 550 42 3142
11 600 97 3738
11 650 37 4821
11 700 44 6448
11 750 18 8324
11 800 82 11395
11 850 216 17884
11 900 228 27623
11 950 183 29228
12 200 46 645
12 250 76 780
12 300 57 901
12 350 17 1004
12 400 8 1543
12 450 5 1852
12 500 20 2208
12 550 21 2907
12 600 68 3577
12 650 119 4624
12 700 21 5839
12 750 41 7952
12 800 32 11416
12 850 134 16491
12 900 43 26167
12 950 65 28088
13 150 2 359
13 200 12 778
13 250 40 940
13 300 33 914
13 350 63 1280
13 400 23 1850
13 450 10 1923
13 500 28 2110
13 550 98 2727
13 600 47 3708
13 650 31 4793
13 700 36 5543
13 750 81 7366
13 800 5 9952
13 850 33 15929
13 900 76 24705
13 950 77 25671
