Allele_count Bstat Neanderthal non-Neanderthal
1 0 1 7283
1 50 46 4417
1 100 20 7482
1 150 37 9463
1 200 207 11205
1 250 126 13743
1 300 155 16263
1 350 335 21152
1 400 333 25691
1 450 427 30107
1 500 463 34705
1 550 729 43413
1 600 787 52375
1 650 1002 63485
1 700 1419 77465
1 750 1722 101186
1 800 2853 138083
1 850 4343 205032
1 900 6785 301419
1 950 8118 301518
2 50 2 1464
2 100 14 2426
2 150 43 3398
2 200 34 3456
2 250 50 4742
2 300 98 5123
2 350 86 7236
2 400 91 8387
2 450 177 9488
2 500 434 11614
2 550 295 14343
2 600 332 17375
2 650 492 21132
2 700 794 26829
2 750 1099 34266
2 800 1443 48271
2 850 2274 69776
2 900 3920 108504
2 950 4830 111234
3 0 1 942
3 50 1 758
3 100 1 1122
3 150 70 1796
3 200 9 1672
3 250 40 2103
3 300 18 2801
3 350 41 3911
3 400 53 5085
3 450 125 6092
3 500 105 7036
3 550 182 8856
3 600 186 11308
3 650 233 13030
3 700 432 16359
3 750 613 21197
3 800 1151 29397
3 850 1624 46717
3 900 2511 68576
3 950 2697 68175
4 0 16 1028
4 50 14 649
4 100 1 926
4 250 2 1786
4 300 14 2522
4 350 29 2916
4 400 76 3979
4 450 65 4328
4 500 66 5372
4 550 119 6496
4 600 87 8402
4 650 226 9694
4 700 362 12033
4 750 492 16262
4 800 695 23251
4 850 1235 33144
4 900 1353 51256
4 950 1547 53688
5 200 1 1076
5 250 19 1575
5 350 1 2140
5 400 25 2793
5 450 31 3061
5 500 87 4116
5 550 150 5582
5 600 189 6140
5 650 187 8079
5 700 230 10200
5 750 289 13424
5 800 607 19116
5 850 663 28615
5 900 1157 44682
5 950 1338 45471
6 200 28 998
6 250 5 1491
6 300 2 1642
6 350 15 1864
6 400 81 2426
6 450 48 3038
6 500 56 3811
6 550 97 4346
6 600 95 5224
6 650 136 6725
6 700 147 8248
6 750 115 12089
6 800 158 17046
6 850 402 26087
6 900 658 41233
6 950 1028 41405
