Allele_count Bstat Neanderthal non-Neanderthal
1 0 0 6024
1 200 19 8867
1 250 4 10915
1 300 9 12523
1 350 2 16408
1 400 5 20676
1 450 9 24299
1 500 160 28005
1 550 83 34266
1 600 159 42626
1 650 162 51921
1 700 88 64112
1 750 155 83281
1 800 267 112989
1 850 330 169015
1 900 526 252786
1 950 683 256850
2 450 1 6187
2 500 1 7231
2 550 5 9111
2 600 1 10643
2 650 56 14154
2 700 25 16986
2 750 59 22790
2 800 87 30981
2 850 152 47553
2 900 293 69589
2 950 269 70287
3 450 9 3567
3 500 10 4372
3 550 42 5126
3 600 19 6997
3 650 1 8537
3 700 22 10091
3 750 60 14919
3 800 37 20677
3 850 252 30024
3 900 282 46339
3 950 134 45747
4 400 1 3089
4 500 3 3799
4 550 2 4924
4 600 3 5718
4 650 4 7635
4 700 3 9062
4 750 75 11283
4 800 59 16123
4 850 36 26072
4 900 188 38372
4 950 126 40150
5 400 16 2389
5 450 13 2673
5 500 27 3231
5 550 23 4017
5 600 23 4895
5 650 2 5780
5 750 6 10728
5 800 29 14549
5 850 33 21851
5 900 167 32666
5 950 162 35710
6 250 27 989
6 300 9 1185
6 350 10 1600
6 400 2 2274
6 450 32 2709
6 500 25 3034
6 550 1 3389
6 600 1 4378
6 650 1 5609
6 700 30 7395
6 750 18 9971
6 800 26 13668
6 850 9 20313
6 900 34 31481
6 950 43 33400
7 750 24 8993
7 800 7 13069
7 850 1 19707
7 900 38 29400
7 950 54 31507
8 750 7 7969
8 800 9 11938
8 850 166 17164
8 900 189 27755
8 950 32 28798
9 800 62 11251
9 850 43 16766
9 900 65 26358
9 950 28 27364
10 500 3 2343
10 600 1 3409
10 800 2 10606
10 850 9 16330
10 900 38 25187
10 950 42 24958
11 450 16 1860
11 500 1 1970
11 650 1 4344
11 900 24 23506
12 650 1 3704
12 750 4 7106
12 800 28 9555
12 850 1 14328
12 900 6 22880
13 550 47 2235
13 600 2 2776
13 750 1 6192
13 850 1 14065
14 550 1 2303
14 600 6 2799
14 650 3 3529
14 850 1 13718
15 500 34 1848
15 550 11 2251
15 600 12 2923
15 650 4 3289
15 700 6 4074
15 800 3 8305
15 850 1 13153
16 600 16 2455
16 650 14 3228
16 700 6 4094
16 750 7 5633
16 800 27 8325
16 850 12 12000
17 900 31 18654
17 950 2 20104
19 600 7 2253
19 650 8 3085
20 650 98 2784
20 700 7 3827
22 900 16 15947
22 950 97 16715
