Allele_count Bstat Neanderthal non-Neanderthal
1 0 0 7360
1 200 87 11852
1 250 33 14362
1 300 18 17140
1 350 38 22198
1 400 128 27016
1 450 123 32072
1 500 126 37094
1 550 123 46260
1 600 108 55505
1 650 180 67379
1 700 159 82079
1 750 360 107688
1 800 654 147143
1 850 632 218638
1 900 764 320799
1 950 980 322938
2 200 15 3761
2 300 9 5512
2 350 36 7587
2 400 147 8905
2 450 146 10346
2 500 46 12895
2 550 33 15728
2 600 27 19293
2 650 211 23345
2 700 40 29865
2 750 173 37967
2 800 322 52662
2 850 160 77247
2 900 637 120556
2 950 589 124881
3 400 62 5776
3 450 31 6762
3 500 37 7730
3 550 33 9947
3 600 74 12325
3 650 60 14346
3 700 63 18276
3 750 73 23793
3 800 112 33305
3 850 310 51714
3 900 299 77660
3 950 262 77398
4 550 3 7271
4 600 17 9025
4 650 44 10476
4 700 104 13381
4 750 102 17994
4 800 78 25865
4 850 103 37149
4 900 154 57249
4 950 197 60073
5 400 15 3023
5 450 33 3404
5 500 14 4562
5 550 19 5964
5 600 78 6562
5 650 15 8918
5 700 7 11217
5 750 12 14603
5 800 9 21454
5 850 63 31986
5 900 111 49625
5 950 91 51078
6 650 7 7397
6 700 1 8990
6 800 12 18936
6 850 28 28879
6 900 70 44954
6 950 123 46350
7 550 1 4481
7 650 2 6606
7 700 9 8432
7 750 12 11707
7 900 62 39542
7 950 7 40812
8 550 23 3850
8 600 47 4514
8 650 17 6452
8 700 18 7894
8 750 4 11560
8 800 27 15382
8 850 106 23228
8 900 27 35523
8 950 72 37303
9 900 32 32776
9 950 138 34961
10 550 1 3255
10 900 12 30647
11 900 2 28807
11 950 4 30536
16 550 1 2537
17 550 7 2498
20 550 1 1914
21 550 39 2064
21 600 2 2343
