Allele_count Bstat Neanderthal non-Neanderthal
1 0 0 12719
1 50 6 7714
1 100 122 12467
1 150 32 16099
1 200 51 17982
1 250 99 22891
1 300 85 26725
1 350 84 34883
1 400 58 42295
1 450 58 49011
1 500 79 57681
1 550 185 71228
1 600 274 86947
1 650 308 103120
1 700 201 126614
1 750 447 164603
1 800 761 223861
1 850 1262 335693
1 900 1298 491506
1 950 1359 491255
2 50 57 1672
2 100 43 3041
2 150 29 3631
2 200 15 3977
2 250 111 5313
2 300 6 6254
2 350 7 7945
2 400 44 9405
2 450 83 10917
2 500 82 12756
2 550 153 15772
2 600 80 19995
2 650 115 24571
2 700 178 29496
2 750 182 39062
2 800 520 53815
2 850 795 79516
2 900 630 119413
2 950 751 120290
3 200 4 1939
3 250 7 2476
3 350 63 4113
3 400 215 5281
3 450 133 6071
3 500 49 7393
3 550 150 8645
3 600 32 10558
3 650 94 13156
3 700 87 15818
3 750 328 21767
3 800 415 29463
3 850 358 43427
3 900 222 64186
3 950 220 67630
4 250 20 1658
4 300 19 2088
4 350 25 2708
4 400 76 3785
4 450 17 3928
4 550 11 5879
4 600 48 7805
4 650 64 10163
4 700 63 11639
4 750 75 15202
4 800 129 22021
4 850 109 31067
4 900 211 48084
4 950 192 48967
5 350 4 2022
5 400 20 2760
5 450 1 3208
5 550 1 5061
5 600 4 6085
5 650 16 7224
5 700 30 9011
5 750 30 11897
5 800 56 16838
5 850 137 25885
5 900 210 38891
5 950 119 39345
6 450 1 2983
6 500 37 2955
6 550 22 4088
6 600 32 5094
6 650 16 6378
6 700 4 8291
6 750 28 10284
6 800 77 14412
6 850 77 21520
6 900 105 33654
6 950 223 34604
7 600 13 4525
7 650 21 5349
7 700 10 7377
7 750 24 9077
7 800 3 12933
7 850 22 19208
7 900 337 29259
7 950 69 29888
8 400 33 1861
8 450 7 2269
8 500 10 2517
8 550 10 3553
8 600 45 3978
8 650 98 5006
8 700 11 6251
8 750 42 8468
8 800 1 11276
8 850 36 17437
8 900 12 26237
8 950 14 28508
9 400 1 1471
9 700 77 5666
9 750 18 7382
9 850 35 16369
9 900 69 25381
9 950 38 27026
10 500 28 2205
10 550 1 2625
10 600 1 3763
10 650 9 4185
10 700 11 5247
10 750 13 7180
10 800 3 10444
10 850 3 15040
10 900 83 23492
10 950 65 23709
11 400 1 1404
11 450 3 1672
11 900 4 21918
11 950 24 22322
12 400 15 1424
12 450 19 1433
12 800 2 8978
12 850 10 13401
12 900 11 21017
12 950 39 21244
13 850 3 12442
13 900 31 20618
13 950 41 20852
14 750 1 5608
14 800 2 8139
14 850 33 12522
14 900 6 19493
15 800 26 7778
15 850 23 12060
15 900 64 18064
15 950 13 18903
16 950 23 18449
17 550 1 1621
17 800 1 7084
17 850 5 10365
18 800 3 7250
20 850 1 9763
20 900 4 15835
21 850 3 9843
21 900 9 15184
49 550 35 898
