Allele_count Bstat Neanderthal non-Neanderthal
1 0 110 7558
1 50 48 4988
1 100 172 8162
1 150 305 10010
1 200 172 11948
1 250 84 15739
1 300 211 17940
1 350 309 22932
1 400 519 28210
1 450 489 33102
1 500 542 38992
1 550 634 48381
1 600 915 58381
1 650 1090 70507
1 700 987 88938
1 750 1430 114598
1 800 1633 157534
1 850 2483 231704
1 900 3557 343642
1 950 3010 343452
2 0 39 2102
2 50 30 1304
2 100 316 2423
2 150 206 2833
2 200 165 3440
2 250 73 4582
2 300 89 5417
2 350 218 7122
2 400 348 8972
2 450 427 10282
2 500 280 12763
2 550 409 15259
2 600 476 18360
2 650 745 22361
2 700 1037 27971
2 750 794 37722
2 800 1249 52375
2 850 1868 77314
2 900 2430 117117
2 950 1791 117340
3 0 22 911
3 50 27 733
3 100 28 1165
3 150 10 1335
3 200 56 1576
3 250 161 2025
3 300 202 2617
3 350 315 4023
3 400 282 5020
3 450 343 5737
3 500 397 6858
3 550 627 8561
3 600 558 10417
3 650 703 12788
3 700 778 15907
3 750 575 21737
3 800 1000 31721
3 850 1424 48035
3 900 1823 72393
3 950 1069 74129
4 0 8 742
4 50 12 425
4 100 70 929
4 150 9 1232
4 200 13 1242
4 250 5 1670
4 300 24 1954
4 350 57 2821
4 400 98 3990
4 450 200 4463
4 500 236 5008
4 550 183 6462
4 600 333 8248
4 650 348 10016
4 700 372 12380
4 750 364 16842
4 800 443 24016
4 850 897 35802
4 900 1155 54878
4 950 949 55004
5 0 76 679
5 50 46 277
5 100 63 795
5 150 36 751
5 200 24 1059
5 250 23 1585
5 300 77 1786
5 350 76 2494
5 400 37 2852
5 450 149 3200
5 500 103 3963
5 550 194 4940
5 600 182 6704
5 650 273 7709
5 700 325 9884
5 750 352 13606
5 800 581 19631
5 850 826 29011
5 900 865 42858
5 950 848 44460
6 0 1 603
6 50 40 417
6 100 22 601
6 150 50 888
6 200 33 1043
6 250 54 1163
6 300 39 1710
6 350 33 1972
6 400 45 2744
6 450 57 2941
6 500 96 3650
6 550 95 4399
6 600 135 5681
6 650 164 6501
6 700 146 8342
6 750 137 11199
6 800 343 16602
6 850 559 25326
6 900 545 38222
6 950 294 39823
7 0 1 763
7 100 2 491
7 150 3 676
7 200 90 712
7 250 93 995
7 300 126 1166
7 350 168 1697
7 400 98 2087
7 450 36 2675
7 500 75 3163
7 550 56 4092
7 600 153 5198
7 650 171 6133
7 700 228 8047
7 750 241 10574
7 800 198 14145
7 850 395 22075
7 900 453 33508
7 950 291 36224
8 0 2 401
8 100 56 530
8 200 1 848
8 350 9 1388
8 400 26 2004
8 450 33 2266
8 500 55 2661
8 550 63 3872
8 600 186 4574
8 650 89 5931
8 700 56 6711
8 750 99 9788
8 800 122 13380
8 850 175 20127
8 900 279 31464
8 950 193 32688
9 50 4 417
9 200 27 600
9 250 29 819
9 300 1 870
9 350 20 1257
9 400 122 1635
9 450 47 1777
9 500 10 2473
9 550 95 3122
9 600 50 4070
9 650 87 5061
9 700 51 6363
9 750 31 8476
9 800 62 11761
9 850 270 17834
9 900 432 28490
9 950 310 29929
10 50 7 149
10 100 5 390
10 200 5 573
10 250 1 804
10 300 13 1074
10 350 62 1432
10 400 57 1608
10 450 61 1860
10 500 29 2559
10 550 14 2961
10 600 78 3655
10 650 87 4471
10 700 99 5881
10 750 69 7744
10 800 122 11149
10 850 166 17754
10 900 163 26775
10 950 125 28069
11 50 19 205
11 100 59 311
11 150 9 454
11 200 3 622
11 350 3 1466
11 400 23 1897
11 450 49 2043
11 500 34 2284
11 550 74 2641
11 600 148 3612
11 650 34 4196
11 700 38 5861
11 750 102 8076
11 800 67 10842
11 850 50 16100
11 900 75 25264
11 950 35 26601
12 50 11 248
12 100 61 314
12 150 50 394
12 200 8 483
12 250 1 646
12 300 4 562
12 350 3 1053
12 400 2 1654
12 450 12 1791
12 500 3 2102
12 550 29 2556
12 600 68 2972
12 650 70 4299
12 700 25 4958
12 750 56 6994
12 800 126 9733
12 850 119 15788
12 900 124 23345
12 950 52 24601
13 0 65 329
13 350 9 1138
13 400 12 1456
13 450 28 1630
13 500 30 1787
13 550 28 2583
13 600 31 3006
13 650 93 4019
13 700 34 4534
13 750 33 6729
13 800 96 9656
13 850 55 13695
13 900 128 22848
13 950 143 24071
14 0 3 209
14 150 3 348
14 400 14 1673
14 450 21 1750
14 500 14 2223
14 550 4 2304
14 600 19 2777
14 650 70 4063
14 700 55 4709
14 750 37 6436
14 800 57 9238
14 850 128 13741
14 900 162 21662
14 950 75 22829
15 150 2 550
15 450 53 1510
15 500 44 1713
15 550 20 2146
15 600 15 3179
15 650 34 3811
15 700 31 4787
15 750 19 6259
15 800 13 8807
15 850 60 13187
15 900 73 20474
15 950 3 22089
16 100 7 307
16 150 24 504
16 550 1 2272
16 600 18 2738
16 650 34 3575
16 700 2 4668
16 750 56 5612
16 800 137 8241
16 850 68 12081
16 900 51 19253
16 950 15 20654
17 100 18 310
17 150 26 354
17 450 21 1281
17 500 24 1551
17 550 25 2055
17 600 39 2447
17 700 8 4492
17 750 25 5606
17 800 17 7812
17 850 28 12615
17 900 68 19751
17 950 22 20446
18 100 46 245
18 150 64 354
18 200 9 488
18 250 3 728
18 450 5 1264
18 550 28 1900
18 600 2 2504
18 650 26 3346
18 700 6 4366
18 950 1 19430
19 0 67 283
19 50 20 156
19 450 50 1157
19 500 20 1419
19 550 9 1737
19 600 10 2387
19 650 11 3387
19 750 13 5563
19 800 15 7861
19 850 26 12015
19 900 57 17647
19 950 25 18554
20 850 23 11473
20 900 41 16999
20 950 32 17643
21 850 26 10672
21 900 27 16374
21 950 8 17739
22 750 1 4961
22 900 26 16086
22 950 16 17880
23 700 4 3601
23 750 5 4672
23 800 1 6440
23 900 12 15309
23 950 37 16547
24 700 5 3275
24 750 12 4257
24 800 3 6489
24 900 4 14819
26 600 1 1982
26 900 15 14353
27 450 11 856
27 500 1 1232
