Allele_count Bstat Neanderthal non-Neanderthal
1 0 4 15521
1 100 3 15520
1 150 8 18436
1 200 3 21878
1 250 25 27120
1 300 20 31775
1 350 77 41183
1 400 223 50565
1 450 223 57614
1 500 309 67519
1 550 321 82809
1 600 354 101599
1 650 491 122816
1 700 389 147894
1 750 599 193535
1 800 775 264489
1 850 1065 391798
1 900 1688 575396
1 950 1994 577461
2 0 73 3565
2 100 2 3734
2 150 1 4657
2 250 23 7035
2 300 7 8140
2 350 6 10289
2 400 97 12399
2 450 61 14463
2 500 36 17639
2 550 117 21531
2 600 212 26530
2 650 378 31218
2 700 271 38707
2 750 220 51172
2 800 376 70027
2 850 423 104759
2 900 1081 154480
2 950 964 156028
3 0 80 1712
3 50 10 1105
3 100 38 1845
3 150 40 2601
3 200 22 2573
3 250 2 3418
3 300 6 3878
3 350 16 4869
3 400 47 5903
3 450 62 7444
3 500 44 8913
3 550 122 11000
3 600 122 12988
3 650 159 15911
3 700 228 19928
3 750 191 26438
3 800 136 36778
3 850 434 54723
3 900 367 81974
3 950 688 84731
4 300 21 2680
4 350 39 3280
4 400 48 4178
4 450 36 5198
4 500 66 5682
4 550 64 7389
4 600 17 9364
4 650 16 10995
4 700 94 13801
4 750 76 18005
4 800 118 26540
4 850 167 39452
4 900 154 60068
4 950 321 60748
5 450 19 3822
5 500 13 4625
5 550 27 5938
5 600 22 7209
5 650 20 8730
5 700 1 11274
5 750 48 15121
5 800 59 20397
5 850 202 31006
5 900 353 47764
5 950 135 49358
6 400 1 2800
6 450 68 2986
6 500 22 3786
6 550 82 4825
6 600 32 5958
6 650 8 7433
6 700 2 8976
6 750 2 12243
6 800 41 17632
6 850 155 26094
6 900 35 40268
6 950 163 42699
7 650 7 6781
7 700 3 8576
7 750 7 11454
7 800 52 16289
7 850 3 23655
7 900 32 35739
7 950 28 37790
8 550 9 4189
8 800 51 14506
8 850 66 21297
8 900 141 32337
8 950 26 33511
9 550 5 3353
9 600 11 4367
9 650 74 5272
9 700 7 6861
9 800 18 12840
9 850 35 20074
9 950 6 31924
10 550 2 3137
10 650 28 5044
10 900 37 29716
10 950 4 30620
11 900 11 26943
11 950 48 28987
12 950 2 26882
26 550 46 1630
26 600 3 1814
