Allele_count Bstat Neanderthal non-Neanderthal
1 0 331 12388
1 50 72 7642
1 100 193 12274
1 150 366 15733
1 200 270 17712
1 250 401 22490
1 300 529 26196
1 350 862 34021
1 400 1139 41156
1 450 1332 47679
1 500 1287 56394
1 550 1809 69419
1 600 2337 84610
1 650 2528 100592
1 700 3369 123245
1 750 3922 160681
1 800 4936 218925
1 850 7441 328252
1 900 10170 481336
1 950 10593 480662
2 0 16 2518
2 50 43 1567
2 100 117 2901
2 150 179 3430
2 200 113 3852
2 250 260 5018
2 300 270 5896
2 350 375 7430
2 400 391 8931
2 450 569 10204
2 500 509 12086
2 550 512 15026
2 600 631 19065
2 650 876 23338
2 700 1002 28036
2 750 1137 37397
2 800 1580 51588
2 850 2121 76427
2 900 4401 113357
2 950 3125 115275
3 0 4 1018
3 50 132 654
3 100 151 1155
3 150 121 1571
3 200 106 1845
3 250 104 2353
3 300 57 3011
3 350 108 3865
3 400 271 4897
3 450 350 5665
3 500 418 6763
3 550 360 8108
3 600 437 9860
3 650 638 12148
3 700 679 14796
3 750 632 20495
3 800 796 27915
3 850 1061 41412
3 900 1947 60767
3 950 2229 63591
4 0 4 682
4 100 102 772
4 150 9 997
4 200 57 1213
4 250 64 1591
4 300 138 1929
4 350 135 2549
4 400 202 3543
4 450 160 3721
4 500 147 4797
4 550 149 5597
4 600 190 7444
4 650 204 9653
4 700 410 10968
4 750 450 14222
4 800 664 20672
4 850 738 29442
4 900 1402 44911
4 950 1453 45597
5 0 2 631
5 50 20 298
5 100 25 586
5 150 33 735
5 200 42 1066
5 250 16 1201
5 300 85 1376
5 350 123 1853
5 400 173 2472
5 450 94 3037
5 500 174 3868
5 550 107 4748
5 600 275 5644
5 650 235 6775
5 700 350 8324
5 750 338 11063
5 800 428 15819
5 850 974 23826
5 900 1429 35993
5 950 993 36375
6 0 56 432
6 50 9 415
6 100 8 531
6 150 18 705
6 200 15 923
6 250 14 1114
6 300 45 1223
6 350 107 1535
6 400 113 2283
6 450 237 2642
6 500 87 2764
6 550 165 3827
6 600 338 4574
6 650 332 5903
6 700 100 7983
6 750 252 9652
6 800 345 13487
6 850 724 20057
6 900 900 31109
6 950 723 32237
7 0 1 401
7 150 44 539
7 200 13 623
7 250 33 1131
7 300 10 1249
7 350 108 1528
7 400 25 2067
7 450 183 2360
7 500 104 2894
7 550 88 3586
7 600 204 4013
7 650 189 4990
7 700 202 6906
7 750 242 8494
7 800 518 11922
7 850 305 18130
7 900 428 27492
7 950 497 27782
8 0 19 589
8 150 53 798
8 200 131 646
8 250 79 830
8 300 75 862
8 350 5 1422
8 400 12 1654
8 450 114 2049
8 500 53 2282
8 550 150 3266
8 600 115 3665
8 650 97 4708
8 700 124 5847
8 750 187 7863
8 800 175 10527
8 850 278 16386
8 900 540 24245
8 950 347 26537
9 0 6 400
9 250 1 667
9 400 33 1410
9 450 97 1746
9 500 25 2175
9 550 52 2706
9 600 113 3309
9 650 15 4003
9 700 37 5404
9 750 80 7026
9 800 120 10026
9 850 343 15306
9 900 334 23723
9 950 411 25264
10 300 60 884
10 350 10 1239
10 400 6 1134
10 450 29 1734
10 500 46 2027
10 550 23 2473
10 600 59 3560
10 650 83 3884
10 700 194 4808
10 750 124 6704
10 800 205 9759
10 850 346 13912
10 900 387 21898
10 950 355 22121
11 0 29 351
11 50 13 215
11 200 58 754
11 250 38 894
11 300 1 1082
11 350 13 1223
11 400 43 1363
11 450 52 1608
11 500 67 1905
11 550 54 2428
11 600 86 3174
11 650 66 3783
11 700 32 4508
11 750 83 5609
11 800 149 8544
11 850 137 13359
11 900 295 20570
11 950 451 20619
12 0 9 264
12 200 42 280
12 250 10 664
12 300 15 870
12 350 44 1005
12 400 66 1315
12 450 24 1367
12 500 77 1661
12 550 91 1961
12 600 103 2656
12 650 41 3431
12 700 54 4059
12 750 137 5242
12 800 126 8345
12 850 145 12582
12 900 201 19761
12 950 295 19689
13 0 18 157
13 200 51 402
13 250 6 551
13 300 1 761
13 400 31 1112
13 450 40 1256
13 500 54 1650
13 550 71 1891
13 600 36 2682
13 650 23 3543
13 700 101 4350
13 750 113 5598
13 800 39 7808
13 850 40 11860
13 900 174 19561
13 950 135 19473
14 300 6 789
14 350 2 900
14 400 5 1363
14 450 11 1557
14 500 59 1687
14 550 84 1813
14 600 25 2253
14 650 18 3215
14 700 24 3675
14 750 52 5280
14 800 35 7776
14 850 39 11913
14 900 85 18419
14 950 303 18503
15 0 2 171
15 200 2 335
15 250 1 582
15 300 1 802
15 350 6 1094
15 400 4 1315
15 450 2 1247
15 500 1 1354
15 550 8 1828
15 600 21 2486
15 650 51 2876
15 700 41 3498
15 750 10 5052
15 800 27 7389
15 850 20 11519
15 900 235 16959
15 950 148 17724
16 0 7 137
16 250 36 520
16 300 55 501
16 350 102 807
16 400 5 1196
16 450 6 1232
16 500 15 1577
16 550 21 1891
16 600 19 2348
16 650 25 2825
16 700 14 3632
16 750 29 4737
16 800 7 7153
16 850 54 10126
16 900 127 16209
16 950 53 17472
17 0 109 228
17 250 9 508
17 300 90 612
17 350 22 668
17 400 46 867
17 450 38 957
17 500 58 1502
17 550 13 1569
17 600 1 2091
17 650 3 2754
17 700 104 3768
17 750 12 4607
17 800 33 6648
17 850 53 9938
17 900 127 16201
17 950 27 16727
18 0 1 174
18 150 1 161
18 250 16 340
18 300 22 522
18 350 20 811
18 400 1 1203
18 450 1 1138
18 500 2 1306
18 550 27 1622
18 600 13 1937
18 650 7 3015
18 700 40 3903
18 750 46 4901
18 800 61 6936
18 850 96 9832
18 900 46 15755
18 950 54 16837
19 200 12 276
19 250 15 413
19 300 10 398
19 400 13 914
19 450 3 1266
19 500 2 1267
19 600 25 2020
19 650 63 2678
19 700 17 3394
19 750 2 4596
19 800 12 6480
19 850 42 9851
19 900 87 15061
19 950 103 15377
20 150 29 315
20 200 3 379
20 250 64 511
20 300 33 479
20 350 27 761
20 400 4 1074
20 550 1 1615
20 600 15 1872
20 650 3 2841
20 700 1 3354
20 750 26 4674
20 800 29 6219
20 850 10 9330
20 900 55 14945
20 950 42 14442
21 150 1 259
21 550 6 1618
21 600 1 2109
21 650 16 2372
21 700 6 3084
21 750 3 4418
21 800 34 6139
21 850 76 9435
21 900 75 14459
21 950 31 14631
22 350 4 671
22 400 3 964
22 500 5 1327
22 550 31 1754
22 600 7 1830
22 650 6 2393
22 700 6 2952
22 750 4 4321
22 800 2 5850
22 850 12 8577
22 900 82 13231
22 950 14 14134
23 150 1 240
23 450 5 974
23 500 6 1159
23 550 9 1459
23 600 3 1851
23 650 8 2404
23 700 1 2786
23 750 51 4159
23 800 9 5801
23 900 46 13676
23 950 81 13580
24 150 11 193
24 450 22 781
24 500 14 1065
24 550 4 1499
24 600 8 1742
24 650 6 2123
24 700 19 2547
24 750 34 3972
24 800 19 5153
24 850 20 8500
24 900 95 13371
24 950 19 13240
25 100 16 189
25 150 75 153
25 600 10 1742
25 650 3 2205
25 700 4 2788
25 800 5 5548
25 850 9 8255
25 900 34 13288
25 950 9 13368
26 400 2 782
26 450 3 801
26 500 1 1179
26 550 1 1380
26 600 3 1558
26 650 12 2161
26 700 23 2974
26 850 21 8013
26 900 96 12509
26 950 21 12816
27 550 1 1446
27 600 6 1675
27 650 3 2056
27 700 5 2664
27 750 1 3800
27 900 17 12094
27 950 41 12600
28 400 39 715
28 450 3 847
28 500 14 1116
28 550 54 1333
28 600 16 1397
28 650 2 1853
28 800 8 5003
28 850 1 7494
28 900 19 12059
28 950 43 12372
29 700 6 2479
29 750 8 3684
29 800 2 4554
29 850 66 7250
29 900 58 11809
29 950 16 11822
30 600 1 1711
30 650 10 1814
30 700 9 2524
30 800 6 4523
30 900 14 11338
30 950 8 11922
31 400 2 773
31 550 1 1200
31 650 26 1803
31 700 28 2445
31 750 28 3124
31 800 15 4517
31 850 34 6882
31 900 22 10918
31 950 15 11192
32 550 8 1158
32 600 1 1372
32 650 9 1726
32 700 16 2336
32 750 5 3213
32 800 37 4463
32 850 28 7131
32 950 13 10784
33 500 7 974
33 550 3 1089
33 800 1 4492
33 850 2 6541
33 900 11 10079
34 350 3 469
34 450 10 670
34 700 1 2152
