Allele_count Bstat Neanderthal non-Neanderthal
1 0 144 12178
1 50 21 7632
1 100 41 12207
1 150 139 15551
1 200 105 17563
1 250 192 22195
1 300 229 25685
1 350 199 33329
1 400 422 40298
1 450 435 46768
1 500 682 55155
1 550 938 67884
1 600 1093 82934
1 650 1488 98357
1 700 2046 120384
1 750 2275 157430
1 800 3271 213985
1 850 5762 321062
1 900 8180 470008
1 950 9161 468836
2 0 7 2503
2 50 67 1630
2 100 36 2859
2 150 78 3313
2 200 46 3724
2 250 206 4831
2 300 69 5708
2 350 103 7212
2 400 104 8680
2 450 213 9885
2 500 162 11812
2 550 218 14744
2 600 292 18632
2 650 491 22562
2 700 489 27127
2 750 637 35980
2 800 1704 49558
2 850 2406 73179
2 900 3180 108931
2 950 3636 109534
3 0 27 982
3 50 32 643
3 100 17 1141
3 150 8 1548
3 200 26 1824
3 250 17 2296
3 300 35 2822
3 350 80 3783
3 400 160 4886
3 450 210 5483
3 500 248 6560
3 550 248 7753
3 600 133 9429
3 650 342 11722
3 700 450 14119
3 750 601 19559
3 800 836 26698
3 850 1232 39428
3 900 2065 57468
3 950 2168 59475
4 150 16 961
4 200 75 1205
4 250 45 1572
4 300 32 1892
4 350 23 2548
4 400 21 3558
4 450 48 3641
4 500 77 4688
4 550 137 5447
4 600 165 7040
4 650 184 9100
4 700 256 10686
4 750 534 13530
4 800 606 19578
4 850 904 27964
4 900 1982 42580
4 950 2011 42297
5 100 13 569
5 150 43 715
5 200 56 1047
5 250 4 1121
5 300 4 1224
5 350 29 1757
5 400 113 2363
5 450 83 2888
5 500 47 3639
5 550 56 4542
5 600 31 5439
5 650 109 6266
5 700 294 7858
5 750 292 10505
5 800 453 14913
5 850 1050 22661
5 900 1259 34040
5 950 1285 33763
6 50 1 416
6 100 3 533
6 150 15 705
6 200 3 922
6 250 2 1067
6 300 1 1148
6 350 30 1515
6 400 40 2173
6 450 13 2474
6 500 44 2679
6 550 97 3659
6 600 73 4467
6 650 118 5645
6 700 107 7426
6 750 203 9157
6 800 414 12688
6 850 792 18910
6 900 1206 29216
6 950 1248 30006
7 150 7 537
7 200 1 613
7 250 5 1007
7 300 1 1195
7 350 55 1488
7 400 39 1962
7 450 131 2324
7 500 122 2763
7 550 60 3474
7 600 198 3883
7 650 131 4816
7 700 189 6579
7 750 245 8189
7 800 440 10968
7 850 446 16967
7 900 859 25911
7 950 938 25703
8 100 2 361
8 150 58 796
8 200 7 640
8 250 11 784
8 300 9 847
8 350 1 1333
8 400 76 1563
8 450 65 1878
8 500 53 2197
8 550 75 3090
8 600 98 3473
8 650 121 4499
8 700 128 5591
8 750 134 7471
8 800 215 9875
8 850 470 15515
8 900 679 22751
8 950 855 24733
9 0 2 397
9 250 24 630
9 300 22 760
9 350 13 1047
9 400 11 1314
9 450 21 1623
9 500 84 1966
9 550 63 2612
9 600 112 3123
9 650 51 3904
9 700 230 5138
9 750 117 6665
9 800 222 9438
9 850 471 14374
9 900 703 22067
9 950 648 23398
10 250 1 791
10 300 14 840
10 350 12 1178
10 400 16 1102
10 450 35 1663
10 500 12 1946
10 550 26 2387
10 600 67 3467
10 650 72 3767
10 700 106 4634
10 750 157 6351
10 800 220 9264
10 850 338 13308
10 900 646 20545
10 950 738 20688
11 0 24 350
11 50 13 185
11 200 30 718
11 250 1 865
11 300 10 1010
11 350 11 1110
11 400 52 1317
11 450 26 1559
11 500 80 1797
11 550 46 2327
11 600 93 3090
11 650 187 3572
11 700 79 4312
11 750 109 5387
11 800 206 8173
11 850 262 12642
11 900 427 19440
11 950 456 19308
12 200 4 278
12 250 11 647
12 300 4 850
12 350 18 969
12 400 25 1281
12 450 9 1324
12 500 73 1597
12 550 59 1871
12 600 128 2430
12 650 65 3303
12 700 159 3882
12 750 197 4968
12 800 279 7965
12 850 292 11873
12 900 307 18742
12 950 599 18476
13 0 2 154
13 200 51 408
13 250 10 546
13 300 2 719
13 350 2 903
13 400 7 1078
13 450 8 1228
13 500 4 1591
13 550 54 1842
13 600 43 2490
13 650 44 3369
13 700 99 4152
13 750 60 5348
13 800 114 7276
13 850 134 11354
13 900 267 18429
13 950 366 18107
14 300 18 750
14 350 9 875
14 400 33 1295
14 450 40 1479
14 500 51 1664
14 550 53 1760
14 600 36 2172
14 650 33 3103
14 700 38 3533
14 750 54 5152
14 800 78 7391
14 850 54 11414
14 900 217 17351
14 950 430 17394
15 150 1 297
15 200 6 320
15 250 7 572
15 300 5 776
15 350 13 1024
15 400 18 1285
15 500 3 1321
15 550 5 1748
15 600 23 2399
15 650 57 2774
15 700 62 3391
15 750 63 4834
15 800 73 7083
15 850 83 11033
15 900 311 16111
15 950 344 16645
16 0 18 137
16 300 18 483
16 350 84 744
16 400 20 1149
16 450 13 1187
16 500 16 1554
16 550 49 1866
16 600 35 2248
16 650 60 2635
16 700 103 3485
16 750 75 4525
16 800 58 6739
16 850 98 9647
16 900 207 15406
16 950 287 16279
17 300 1 542
17 350 15 653
17 400 26 847
17 450 8 924
17 500 14 1456
17 550 21 1526
17 600 21 1989
17 650 29 2594
17 700 24 3622
17 750 30 4439
17 800 78 6403
17 850 117 9328
17 900 187 15376
17 950 219 15714
18 0 6 173
18 250 2 337
18 350 3 792
18 400 10 1152
18 450 4 1103
18 500 1 1278
18 600 10 1830
18 650 22 2880
18 700 20 3760
18 750 32 4516
18 800 41 6650
18 850 154 9380
18 900 163 14925
18 950 231 15857
19 150 1 256
19 300 1 394
19 350 6 649
19 400 5 889
19 450 1 1179
19 500 6 1206
19 550 13 1369
19 600 6 1969
19 650 42 2596
19 700 20 3264
19 750 36 4360
19 800 35 6257
19 850 116 9271
19 900 140 14242
19 950 144 14250
20 150 1 301
20 200 3 378
20 300 3 461
20 350 27 708
20 400 10 1040
20 450 23 1106
20 500 6 1222
20 550 38 1545
20 600 17 1801
20 650 22 2653
20 700 40 3232
20 750 58 4528
20 800 55 5897
20 850 39 8959
20 900 137 14287
20 950 122 13615
21 200 2 251
21 300 8 571
21 450 2 805
21 550 33 1582
21 600 5 2047
21 650 29 2242
21 700 26 2956
21 750 14 4265
21 800 41 5939
21 850 31 9035
21 900 185 13818
21 950 153 13740
22 300 12 409
22 550 30 1728
22 600 20 1785
22 700 5 2866
22 750 36 4167
22 800 4 5703
22 850 31 8222
22 900 105 12744
22 950 185 13212
23 400 1 650
23 450 5 955
23 500 3 1134
23 550 8 1429
23 600 21 1789
23 650 6 2309
23 700 6 2699
23 750 68 4000
23 800 21 5517
23 850 16 8091
23 900 62 13120
23 950 78 12737
24 550 9 1472
24 600 7 1682
24 650 5 2058
24 700 2 2452
24 750 41 3809
24 800 21 4948
24 850 10 8128
24 900 126 12785
24 950 61 12484
25 150 3 153
25 200 6 206
25 450 1 656
25 500 8 1044
25 550 3 1372
25 600 11 1694
25 650 3 2128
25 700 21 2683
25 750 3 4006
25 800 17 5330
25 850 17 7874
25 900 57 12786
25 950 56 12644
26 150 3 337
26 200 1 319
26 550 1 1367
26 600 1 1492
26 650 26 2108
26 700 13 2904
26 750 12 3682
26 800 36 4953
26 850 59 7673
26 900 107 11965
26 950 67 12069
27 400 1 573
27 450 1 857
27 500 11 896
27 550 12 1392
27 650 12 1997
27 700 12 2544
27 750 7 3678
27 800 3 4792
27 850 46 7379
27 900 37 11528
27 950 64 11769
28 400 2 706
28 450 3 826
