Allele_count Bstat Neanderthal non-Neanderthal
1 0 175 5849
1 50 2 3723
1 100 103 6263
1 150 159 6882
1 200 317 8569
1 250 552 10367
1 300 609 11923
1 350 826 15584
1 400 1065 19616
1 450 1025 23283
1 500 1176 26989
1 550 1365 32984
1 600 1790 40995
1 650 2136 49947
1 700 2401 61799
1 750 2844 80592
1 800 3728 109528
1 850 4664 164681
1 900 8581 244731
1 950 7708 249825
2 0 16 1391
2 100 95 1432
2 150 165 1745
2 200 71 2064
2 250 60 2647
2 300 143 2961
2 350 294 4140
2 400 302 5191
2 450 340 5776
2 500 363 6820
2 550 545 8439
2 600 633 9927
2 650 647 13452
2 700 857 15904
2 750 945 21592
2 800 1431 29236
2 850 1816 45232
2 900 2624 66305
2 950 2265 67563
3 0 24 512
3 50 21 532
3 100 12 740
3 150 87 913
3 200 65 1040
3 250 162 1456
3 300 70 1925
3 350 50 2539
3 400 197 3010
3 450 268 3267
3 500 166 4142
3 550 179 4917
3 600 223 6703
3 650 240 8158
3 700 313 9622
3 750 665 14166
3 800 1034 19360
3 850 993 28782
3 900 2375 43413
3 950 1787 43265
4 0 1 764
4 100 2 507
4 150 4 764
4 200 11 824
4 250 49 1279
4 300 78 1569
4 350 151 1933
4 400 231 2828
4 450 271 2976
4 500 293 3449
4 550 177 4681
4 600 347 5319
4 650 401 7090
4 700 473 8399
4 750 863 10322
4 800 719 15121
4 850 1093 24454
4 900 1710 35971
4 950 1459 37839
5 0 5 357
5 150 3 476
5 200 7 793
5 250 37 1136
5 300 40 1327
5 350 163 1869
5 400 101 2233
5 450 114 2479
5 500 199 2967
5 550 155 3834
5 600 283 4521
5 650 250 5411
5 700 299 6998
5 750 515 10036
5 800 661 13614
5 850 731 20658
5 900 1053 30779
5 950 1228 33505
6 0 1 301
6 150 2 726
6 200 3 607
6 250 61 948
6 300 68 1112
6 350 115 1421
6 400 76 2164
6 450 117 2573
6 500 94 2968
6 550 92 3263
6 600 130 4124
6 650 173 5322
6 700 253 6983
6 750 248 9411
6 800 371 12802
6 850 433 19213
6 900 628 30114
6 950 847 31363
7 0 117 322
7 200 8 794
7 250 45 759
7 300 46 888
7 350 31 1150
7 400 49 2005
7 450 56 2183
7 500 72 2650
7 550 170 2988
7 600 245 3725
7 650 227 5015
7 700 297 6522
7 750 250 8458
7 800 529 12145
7 850 817 18311
7 900 888 27606
7 950 693 29817
8 0 1 545
8 150 20 669
8 200 105 719
8 250 29 1048
8 300 20 1098
8 350 11 1221
8 400 42 2091
8 450 30 2006
8 500 29 2723
8 550 83 3004
8 600 348 3828
8 650 403 5132
8 700 132 5961
8 750 231 7515
8 800 498 11087
8 850 526 16387
8 900 654 26351
8 950 775 26943
9 150 19 450
9 200 36 549
9 250 37 619
9 300 43 963
9 350 158 1276
9 400 61 1665
9 450 140 1735
9 500 93 2240
9 550 145 2862
9 600 195 3614
9 650 181 4185
9 700 148 5646
9 750 256 6832
9 800 239 10708
9 850 355 15930
9 900 682 24766
9 950 716 25655
10 200 12 509
10 250 115 753
10 300 80 1010
10 350 99 1255
10 400 168 1469
10 450 81 1653
10 500 69 2201
10 550 55 2448
10 600 73 3259
10 650 164 3317
10 700 116 5084
10 750 96 6727
10 800 317 9792
10 850 295 15573
10 900 447 24012
10 950 550 23541
11 200 8 487
11 250 31 562
11 300 103 949
11 350 27 1021
11 400 53 1402
11 450 155 1622
11 500 35 1903
11 550 63 2578
11 600 130 3127
11 650 78 4168
11 700 113 5235
11 750 71 7387
11 800 70 9461
11 850 153 14750
11 900 444 22210
11 950 790 23227
12 0 2 314
12 150 1 481
12 300 4 581
12 350 4 998
12 400 14 1312
12 450 76 1577
12 500 77 1746
12 550 21 2547
12 600 147 2869
12 650 83 3524
12 700 52 4679
12 750 111 6690
12 800 105 9195
12 850 198 13675
12 900 603 21456
12 950 473 22097
13 200 1 490
13 250 5 788
13 300 9 841
13 350 25 1115
13 400 43 1381
13 450 29 1487
13 500 97 1959
13 550 36 2210
13 600 42 2684
13 650 23 3347
13 700 75 4286
13 750 76 5960
13 800 156 8617
13 850 339 13303
13 900 220 20274
13 950 372 19895
14 0 34 126
14 200 1 326
14 250 27 776
14 300 35 829
14 350 16 948
14 400 3 1286
14 450 8 1294
14 500 4 1749
14 550 5 2242
14 600 5 2726
14 650 12 3448
14 700 30 3938
14 750 69 5833
14 800 46 7833
14 850 183 13125
14 900 326 20356
14 950 277 20200
15 300 4 566
15 350 2 858
15 400 28 1062
15 450 11 1367
15 500 7 1803
15 550 20 2139
15 600 18 2821
15 650 32 3198
15 700 52 3950
15 750 93 5485
15 800 25 8081
15 850 164 12571
15 900 211 19340
15 950 388 19248
16 0 2 256
16 250 1 633
16 300 2 716
16 400 26 964
16 450 8 1040
16 500 79 1567
16 550 118 2003
16 600 183 2244
16 650 172 2997
16 700 38 3918
16 750 72 5387
16 800 75 8007
16 850 65 11655
16 900 199 18525
16 950 170 20344
17 300 1 642
17 350 12 741
17 400 73 980
17 450 37 1177
17 500 81 1509
17 550 22 1958
17 600 19 2530
17 650 11 3057
17 700 39 3741
17 750 65 5108
17 800 62 7595
17 850 47 11576
17 900 52 18064
17 950 205 19000
18 0 1 237
18 250 2 521
18 300 28 723
18 350 49 743
18 400 19 885
18 450 13 1068
18 500 15 1251
18 550 22 1917
18 600 8 2557
18 650 16 2846
18 700 7 3742
18 750 27 5193
18 800 38 7455
18 850 98 10419
18 900 154 17877
18 950 222 18280
19 200 26 427
19 250 38 542
19 350 41 682
19 400 3 940
19 450 21 855
19 500 20 1343
19 550 23 1987
19 600 20 2160
19 650 14 3044
19 700 25 4097
19 750 110 5218
19 800 26 7406
19 850 163 10886
19 900 118 17318
19 950 99 17709
20 0 34 74
20 250 17 451
20 300 5 469
20 350 1 714
20 500 29 1215
20 550 31 1733
20 600 146 2111
20 650 60 2775
20 700 57 3699
20 750 49 5097
20 800 34 6952
20 850 243 10652
20 900 105 17246
20 950 142 16757
21 250 1 392
21 400 1 826
21 450 1 1121
21 500 23 1438
21 550 17 1862
21 600 25 2399
21 650 68 2617
21 700 22 3559
21 750 27 4718
21 800 54 6276
21 850 106 9826
21 900 114 15504
21 950 72 16198
22 150 1 189
22 250 30 374
22 450 12 1193
22 500 19 1431
22 550 43 1771
22 600 24 2219
22 650 89 3030
22 700 70 3493
22 750 26 4774
22 800 10 6596
22 850 60 9498
22 900 74 15311
22 950 81 15943
23 300 1 373
23 500 19 1417
23 550 55 1966
23 600 36 2179
23 650 21 2634
23 700 10 3390
23 750 28 4157
23 800 24 6626
23 850 68 10225
23 900 72 15075
23 950 47 15642
24 0 1 321
24 500 1 1456
24 600 18 1996
24 650 68 2720
24 700 9 3509
24 750 1 4554
24 800 2 6199
24 850 27 8779
24 900 91 14157
24 950 84 15862
25 300 5 378
25 350 2 646
25 400 14 721
25 450 14 909
25 500 21 1125
25 550 18 1644
25 600 37 2032
25 650 52 2696
25 700 15 3482
25 750 5 4040
25 800 22 6059
25 850 26 8430
25 900 8 13797
25 950 11 14757
26 350 8 590
26 400 7 940
26 450 63 1104
26 500 84 1235
26 550 31 1640
26 600 5 1906
26 650 18 2365
26 700 8 2944
26 750 48 4302
26 800 30 5700
26 850 11 8587
26 900 23 13674
26 950 35 14430
27 250 11 404
27 300 8 396
27 400 24 690
27 450 3 969
27 500 3 1134
27 600 10 1766
27 650 26 2365
27 700 15 2692
27 750 34 3893
27 800 45 5456
27 850 54 8707
27 900 23 13948
27 950 23 14086
28 500 33 1117
28 550 24 1526
28 650 14 2141
28 700 4 2896
28 750 20 4204
28 800 36 5880
28 850 3 8682
28 900 26 13012
28 950 86 13448
29 150 38 319
29 300 1 306
29 350 21 396
29 400 9 886
29 450 2 1031
29 550 18 1567
29 650 2 2106
29 700 5 3081
29 750 6 4184
29 900 44 12912
29 950 41 14277
30 100 21 201
30 150 44 82
30 300 35 426
30 350 8 464
30 400 1 670
30 600 14 1711
30 650 1 2015
30 700 2 3075
30 900 5 13016
30 950 21 12957
31 150 1 243
31 450 10 969
31 500 12 1038
31 550 6 1350
31 600 39 1742
31 650 19 2064
31 700 9 2671
31 750 3 3691
31 800 1 5167
31 850 5 8223
31 900 1 12755
32 150 6 182
32 650 8 2247
32 700 24 2950
32 750 2 3738
32 900 25 11575
32 950 16 12561
33 100 3 124
33 150 42 254
33 200 9 138
33 250 1 266
33 300 1 257
33 550 1 1175
33 600 18 1590
33 650 15 1936
33 700 13 2706
33 750 28 3470
33 800 17 4681
33 850 23 7192
33 900 4 11781
34 0 1 288
34 500 29 1094
34 550 11 1341
34 600 2 1563
34 650 2 2014
34 750 3 3532
34 800 2 4784
34 850 2 7122
35 250 1 285
35 600 11 1495
35 650 3 1906
35 700 1 2317
35 750 3 3048
35 800 2 4676
35 850 21 7487
36 0 23 128
36 250 40 298
36 300 17 399
36 350 1 532
36 650 39 1905
36 700 7 2426
36 850 7 6863
37 500 1 955
37 850 14 6816
37 900 1 10838
37 950 37 11169
38 250 68 195
38 300 60 296
38 350 34 462
38 400 5 458
38 450 5 577
38 500 8 769
38 550 1 1013
38 700 5 2190
38 900 4 10757
38 950 32 11141
39 300 3 336
40 950 5 10572
41 650 3 1787
41 700 10 2128
41 950 8 11317
42 700 11 2104
43 650 9 1466
43 700 15 1913
43 950 1 9618
44 700 21 1976
44 950 46 9579
