Allele_count Bstat Neanderthal non-Neanderthal
1 0 76 7284
1 50 55 4463
1 100 254 7502
1 150 483 9500
1 200 527 11412
1 250 526 13869
1 300 740 16418
1 350 749 21487
1 400 1120 26024
1 450 1661 30534
1 500 2052 35168
1 550 2241 44142
1 600 2451 53162
1 650 3072 64487
1 700 3354 78884
1 750 5140 102908
1 800 6861 140936
1 850 9895 209375
1 900 13359 308204
1 950 14282 309636
2 0 97 2129
2 50 167 1466
2 100 339 2453
2 150 247 3440
2 200 231 3495
2 250 395 4794
2 300 272 5216
2 350 268 7307
2 400 537 8472
2 450 752 9681
2 500 794 11991
2 550 949 14614
2 600 1330 17694
2 650 1692 21513
2 700 1948 27543
2 750 2220 35136
2 800 2496 49359
2 850 3950 71816
2 900 6404 112069
2 950 6470 116169
3 0 50 942
3 50 13 759
3 100 74 1123
3 150 39 1854
3 200 155 1689
3 250 286 2190
3 300 337 2833
3 350 443 3937
3 400 607 5129
3 450 487 6188
3 500 484 7143
3 550 728 9045
3 600 721 11532
3 650 853 13312
3 700 1052 16704
3 750 1467 21669
3 800 1794 30322
3 850 2303 48068
3 900 4372 70994
3 950 3789 70895
4 0 2 1053
4 100 20 928
4 150 46 998
4 200 44 1198
4 250 159 1790
4 300 153 2543
4 350 222 2946
4 400 276 4059
4 450 515 4372
4 500 303 5439
4 550 404 6547
4 600 306 8505
4 650 385 9808
4 700 709 12393
4 750 903 16597
4 800 1217 23703
4 850 1379 34254
4 900 2286 52759
4 950 2305 55508
5 0 2 944
5 150 2 799
5 200 1 1083
5 250 17 1593
5 300 52 1682
5 350 134 2157
5 400 156 2831
5 450 219 3115
5 500 221 4257
5 550 130 5720
5 600 205 6286
5 650 452 8207
5 700 463 10390
5 750 304 13727
5 800 920 19549
5 850 1237 29442
5 900 1676 45963
5 950 1519 47229
6 0 26 942
6 100 10 402
6 150 22 842
6 200 14 1028
6 250 155 1494
6 300 92 1661
6 350 161 1878
6 400 113 2431
6 450 148 3055
6 500 238 3864
6 550 179 4481
6 600 249 5326
6 650 252 6901
6 700 323 8397
6 750 487 12333
6 800 989 17365
6 850 1018 26597
6 900 1330 42063
6 950 1362 42965
7 0 96 501
7 150 22 634
7 200 35 802
7 250 69 1385
7 300 87 1229
7 350 64 1917
7 400 155 2279
7 450 85 2642
7 500 146 3378
7 550 99 4307
7 600 282 5683
7 650 116 6294
7 700 196 7879
7 750 396 10825
7 800 485 16290
7 850 479 24415
7 900 888 36763
7 950 1001 37635
8 250 45 984
8 300 81 1159
8 350 59 1812
8 400 100 2295
8 450 102 2288
8 500 143 3155
8 550 114 3658
8 600 106 4308
8 650 199 5936
8 700 207 7369
8 750 216 10843
8 800 271 14416
8 850 467 21855
8 900 555 33526
8 950 726 34583
9 250 32 966
9 300 69 1189
9 350 57 1391
9 400 109 2065
9 450 45 2116
9 500 123 3097
9 550 62 3346
9 600 47 4331
