Allele_count Bstat Neanderthal non-Neanderthal
1 0 397 12322
1 50 67 7653
1 100 341 12248
1 150 441 15690
1 200 365 17668
1 250 603 22387
1 300 896 25914
1 350 1439 33528
1 400 1633 40720
1 450 1866 47203
1 500 1923 55837
1 550 2591 68822
1 600 3194 84027
1 650 3583 99845
1 700 4385 122430
1 750 5345 159705
1 800 7366 217256
1 850 10131 326824
1 900 14616 478188
1 950 14617 477997
2 0 19 2509
2 50 54 1655
2 100 186 2902
2 150 284 3397
2 200 173 3790
2 250 334 5026
2 300 422 5757
2 350 587 7350
2 400 607 8795
2 450 811 10124
2 500 768 11969
2 550 854 14958
2 600 920 18941
2 650 1371 23026
2 700 1627 27654
2 750 1934 36793
2 800 2295 51244
2 850 3177 75784
2 900 5804 112002
2 950 4767 113654
3 0 5 993
3 50 115 663
3 100 127 1159
3 150 117 1556
3 200 97 1847
3 250 165 2301
3 300 229 2852
3 350 253 3825
3 400 400 5015
3 450 396 5624
3 500 471 6698
3 550 602 8002
3 600 820 9581
3 650 917 12085
3 700 1010 14438
3 750 1337 20062
3 800 1392 27456
3 850 1827 40461
3 900 2751 59598
3 950 3362 62062
4 0 6 680
4 100 102 772
4 150 9 980
4 200 7 1264
4 250 64 1601
4 300 162 1901
4 350 136 2563
4 400 228 3598
4 450 164 3732
4 500 250 4770
4 550 195 5549
4 600 443 7187
4 650 580 9320
4 700 434 10843
4 750 630 13883
4 800 925 20467
4 850 1066 28886
4 900 1543 44418
4 950 2409 44348
5 0 31 601
5 100 25 573
5 150 31 717
5 200 19 1056
5 250 95 1126
5 300 249 1234
5 350 166 1785
5 400 188 2418
5 450 202 2968
5 500 456 3687
5 550 353 4590
5 600 468 5499
5 650 619 6374
5 700 621 8032
5 750 629 10806
5 800 740 15370
5 850 1094 23633
5 900 1736 35511
5 950 1555 35526
6 0 58 430
6 50 8 422
6 100 5 534
6 150 3 705
6 200 14 923
6 250 60 1067
6 300 112 1153
6 350 91 1540
6 400 185 2194
6 450 424 2486
6 500 214 2696
6 550 261 3698
6 600 417 4570
6 650 445 5722
6 700 457 7550
6 750 572 9294
6 800 684 13088
6 850 918 19622
6 900 1351 30391
6 950 1072 31561
7 0 4 401
7 50 4 315
7 150 45 539
7 200 21 619
7 250 132 1017
7 300 79 1204
7 350 139 1499
7 400 67 1968
7 450 157 2381
7 500 105 2854
7 550 168 3517
7 600 296 3947
7 650 267 4881
7 700 261 6697
7 750 266 8340
7 800 759 11301
7 850 647 17561
7 900 855 27070
7 950 1000 26899
8 0 50 588
8 150 3 849
8 200 128 646
8 250 113 789
8 300 92 857
8 350 133 1342
8 400 166 1586
8 450 253 1895
8 500 184 2234
8 550 249 3118
8 600 229 3583
8 650 168 4691
8 700 163 5733
8 750 453 7676
8 800 475 10143
8 850 386 15944
8 900 761 23578
8 950 733 25759
9 0 5 399
9 150 3 591
9 200 3 500
9 250 27 632
9 300 54 775
9 350 46 1073
9 400 86 1324
9 450 148 1639
9 500 55 2084
9 550 144 2688
9 600 166 3229
9 650 76 3973
9 700 144 5335
9 750 206 6845
9 800 274 9670
9 850 510 14741
9 900 905 22874
9 950 819 24539
10 250 45 796
10 300 75 841
10 350 82 1190
10 400 38 1125
10 450 40 1677
10 500 153 1984
10 550 49 2432
10 600 113 3515
10 650 146 3858
10 700 170 4763
10 750 205 6524
10 800 309 9503
10 850 448 13702
10 900 732 21289
10 950 529 21581
11 0 5 374
11 150 8 351
11 200 62 720
11 250 61 867
11 300 47 1027
11 350 109 1120
11 400 17 1334
11 450 62 1566
11 500 73 1827
11 550 143 2374
11 600 38 3156
11 650 114 3637
11 700 125 4402
11 750 177 5505
11 800 253 8357
11 850 302 13009
11 900 492 19921
11 950 619 20114
12 0 9 264
12 200 39 278
12 250 22 648
12 300 34 859
12 350 57 982
12 400 109 1285
12 450 81 1338
12 500 53 1675
12 550 55 1911
12 600 143 2536
12 650 75 3371
12 700 76 3943
12 750 89 5114
12 800 105 8174
12 850 280 12207
12 900 363 19287
12 950 350 19217
13 0 16 158
13 250 1 553
13 300 24 740
13 350 17 910
13 400 43 1100
13 450 90 1234
13 500 62 1626
13 550 55 1874
13 600 149 2534
13 650 151 3408
13 700 150 4204
13 750 198 5451
13 800 312 7453
13 850 177 11652
13 900 331 19030
13 950 425 18852
14 250 33 417
14 300 40 757
14 350 8 886
14 400 24 1304
14 450 17 1509
14 500 45 1671
14 550 48 1827
14 600 60 2217
14 650 68 3148
14 700 45 3603
14 750 85 5274
14 800 69 7597
14 850 110 11683
14 900 249 18005
14 950 479 18094
15 0 2 171
15 200 6 322
15 300 11 777
15 350 50 1046
15 400 15 1291
15 450 7 1239
15 500 10 1363
15 550 55 1842
15 600 72 2485
15 650 99 2850
15 700 35 3461
15 750 64 4931
15 800 152 7234
15 850 197 11276
15 900 289 16663
15 950 195 17272
16 0 7 137
16 250 36 523
16 300 47 484
16 350 19 795
16 400 39 1164
16 450 12 1198
16 500 20 1580
16 550 16 1916
16 600 51 2293
16 650 56 2720
16 700 54 3589
16 750 53 4615
16 800 90 6898
16 850 99 9939
16 900 170 15851
16 950 215 16916
17 0 111 228
17 250 9 498
17 300 113 581
17 350 10 667
17 400 34 854
17 450 38 936
17 500 84 1470
17 550 14 1541
17 600 18 2015
17 650 29 2641
17 700 142 3694
17 750 41 4540
17 800 58 6549
17 850 221 9573
17 900 328 15823
17 950 228 16259
18 0 16 174
18 150 1 161
18 250 24 337
18 300 24 514
18 350 21 802
18 400 1 1162
18 450 14 1129
18 500 5 1286
18 550 50 1582
18 600 29 1888
18 650 28 2918
18 700 37 3835
18 750 187 4633
18 800 141 6790
18 850 171 9673
18 900 203 15441
18 950 168 16432
19 0 10 89
19 200 12 277
19 250 15 411
19 300 21 395
19 400 17 891
19 450 73 1182
19 500 27 1212
