Allele_count Bstat Neanderthal non-Neanderthal
1 0 221 7447
1 50 254 4782
1 100 211 8123
1 150 463 9852
1 200 572 11548
1 250 779 15044
1 300 940 17211
1 350 835 22406
1 400 1340 27389
1 450 1558 32033
1 500 1590 37944
1 550 1755 47260
1 600 2316 56980
1 650 2974 68623
1 700 3535 86390
1 750 4606 111422
1 800 6551 152616
1 850 7849 226338
1 900 12360 334839
1 950 12978 333484
2 0 52 2088
2 50 4 1330
2 100 59 2684
2 150 135 2911
2 200 154 3419
2 250 238 4365
2 300 434 5041
2 350 403 6925
2 400 480 8754
2 450 847 9849
2 500 638 12482
2 550 660 15018
2 600 847 17772
2 650 917 22110
2 700 1328 27763
2 750 1947 36563
2 800 2998 50121
2 850 4103 74495
2 900 5138 113348
2 950 5403 112247
3 0 5 960
3 100 7 1177
3 150 52 1259
3 200 14 1595
3 250 40 2080
3 300 217 2580
3 350 256 3984
3 400 427 4822
3 450 351 5715
3 500 461 6751
3 550 563 8545
3 600 471 10474
3 650 656 12873
3 700 566 16073
3 750 1137 20791
3 800 1689 30698
3 850 2226 46585
3 900 3055 70108
3 950 3143 70723
4 0 1 751
4 50 6 439
4 100 51 987
4 150 161 1102
4 200 24 1233
4 250 59 1619
4 300 83 1865
4 350 66 2745
4 400 156 3931
4 450 201 4387
4 500 181 5062
4 550 262 6377
4 600 367 8278
4 650 519 9939
4 700 619 12057
4 750 506 16553
4 800 788 23362
4 850 1346 34933
4 900 2000 53570
4 950 1950 52916
5 0 2 748
5 50 1 330
5 100 16 834
5 150 44 734
5 200 127 956
5 250 139 1381
5 300 167 1678
5 350 224 2283
5 400 218 2599
5 450 195 3185
5 500 160 3878
5 550 145 5095
5 600 262 6845
5 650 205 7820
5 700 270 10053
5 750 434 13431
5 800 619 19668
5 850 803 28999
5 900 914 42079
5 950 1195 43205
6 0 3 643
6 100 26 617
6 150 108 799
6 200 122 910
6 250 81 1133
6 300 143 1623
6 350 73 1933
6 400 137 2532
6 450 86 2843
6 500 128 3584
6 550 107 4366
6 600 209 5625
6 650 243 6444
6 700 306 8191
6 750 250 11056
6 800 342 16328
6 850 617 25650
6 900 689 38058
6 950 903 38122
7 0 32 814
7 100 37 456
7 150 44 624
7 200 20 743
7 250 14 1089
7 300 34 1244
7 350 62 1775
7 400 103 2057
7 450 86 2468
7 500 91 3112
7 550 184 3998
7 600 370 5063
7 650 187 6221
7 700 115 8325
7 750 259 10409
7 800 258 14066
7 850 440 21831
7 900 848 32790
7 950 783 35001
8 0 2 379
8 150 39 662
8 200 31 803
8 250 122 1056
8 300 71 1287
8 350 90 1312
8 400 51 1967
8 450 122 2135
8 500 64 2660
8 550 163 3845
8 600 219 4579
8 650 250 5795
8 700 132 6706
8 750 289 9503
8 800 313 13277
8 850 247 19952
8 900 394 30802
8 950 622 31475
9 0 51 236
9 50 1 420
9 150 7 456
9 200 48 605
9 250 79 770
9 300 81 837
9 350 58 1222
9 400 19 1711
9 450 28 1773
9 500 56 2394
9 550 25 3127
9 600 149 3952
9 650 159 4901
9 700 116 6240
9 750 80 8339
9 800 149 11640
9 850 301 17755
9 900 779 27896
9 950 449 29218
10 300 21 1064
10 350 40 1482
10 400 40 1609
10 450 17 1886
10 500 57 2512
10 550 148 2818
10 600 216 3508
10 650 117 4393
10 700 180 5711
10 750 154 7512
10 800 130 10991
10 850 226 17576
10 900 424 26192
10 950 380 27131
11 0 2 218
11 200 7 620
11 250 13 709
11 300 87 1020
11 350 97 1348
11 400 133 1821
11 450 66 1895
11 500 61 2250
11 550 83 2663
11 600 116 3724
11 650 90 4069
11 700 104 5705
11 750 123 7983
11 800 106 10549
11 850 138 15754
11 900 244 24680
11 950 231 25553
12 150 8 446
12 250 62 572
12 300 14 552
12 350 45 1020
12 400 38 1618
12 450 89 1677
12 500 14 2060
12 550 19 2561
12 600 62 2950
12 650 98 4212
12 700 26 4962
12 750 105 6826
12 800 93 9543
12 850 344 15461
12 900 465 22717
12 950 109 23670
13 0 27 366
13 150 4 508
13 200 12 622
13 250 33 515
13 300 42 733
13 350 35 1057
13 400 12 1403
13 450 9 1576
13 500 14 1790
13 550 20 2575
13 600 16 2937
13 650 56 4112
13 700 48 4506
13 750 55 6555
13 800 134 9519
13 850 104 13589
13 900 353 22400
13 950 246 23184
14 150 12 335
14 200 18 609
14 250 58 591
14 300 28 758
14 350 19 1004
14 400 5 1582
14 450 28 1691
14 500 63 2171
14 550 39 2291
14 600 32 2843
14 650 106 3981
14 700 76 4647
14 750 97 6263
14 800 112 8982
14 850 185 13573
14 900 132 21168
14 950 230 21889
15 150 15 535
15 200 21 412
15 250 137 571
15 300 167 623
15 350 166 983
15 400 7 1173
15 450 1 1509
15 500 5 1716
15 550 14 2168
15 600 16 3161
15 650 102 3713
15 700 34 4774
15 750 63 6190
15 800 65 8466
15 850 74 12934
15 900 187 20027
15 950 127 21323
16 0 44 221
16 150 23 503
16 250 26 597
16 300 43 637
16 350 47 758
16 400 29 1206
16 450 37 1443
16 500 36 1882
16 550 9 2240
16 600 40 2701
16 650 82 3502
16 700 54 4499
16 750 82 5454
16 800 42 8045
16 850 61 11926
16 900 85 19060
16 950 115 19918
17 150 1 422
17 250 2 830
17 350 4 1074
17 400 7 1154
17 450 8 1212
17 500 8 1488
17 550 24 2048
17 600 56 2394
17 650 29 3347
17 700 92 4364
17 750 51 5485
17 800 133 7559
17 850 81 12320
17 900 85 19084
17 950 136 19449
18 150 18 402
18 200 4 514
18 300 8 856
18 350 4 934
18 400 3 1177
18 450 22 1163
18 500 59 1675
18 550 38 1988
18 600 97 2424
18 650 29 3311
18 700 35 4252
18 750 9 5647
18 800 28 7414
18 850 107 11043
18 900 117 17877
18 950 68 18593
19 100 14 245
19 150 24 278
19 200 9 290
19 300 10 639
19 350 10 891
19 400 23 992
19 450 27 1166
19 500 12 1389
19 550 18 1715
19 600 2 2385
19 650 29 3391
19 700 9 4153
19 750 20 5412
19 800 51 7602
19 850 63 11563
19 900 68 16950
19 950 70 17899
20 100 1 166
20 150 3 423
20 350 1 801
20 400 6 884
20 450 27 1155
20 500 9 1557
20 550 9 1982
20 600 23 2310
20 650 20 3070
20 700 23 4103
20 750 19 5342
20 800 57 7438
20 850 81 11052
20 900 33 16430
20 950 53 17069
21 0 3 165
21 50 8 123
21 350 2 619
21 450 41 1291
21 500 15 1475
21 550 1 1741
21 600 15 2261
21 650 5 2876
21 700 62 3633
21 750 27 4856
21 800 41 6621
21 850 67 10437
21 900 23 15976
21 950 9 17336
22 0 20 158
22 50 11 54
22 150 42 195
22 250 5 596
22 300 7 622
22 350 36 657
22 400 1 820
22 450 16 1305
22 500 3 1404
22 550 29 1646
22 600 8 2256
22 650 4 2910
22 700 10 3918
22 750 12 4751
22 800 22 6634
22 850 67 10203
22 900 27 15734
22 950 2 17040
23 150 97 330
23 300 25 447
23 350 66 680
23 550 6 1627
23 600 24 2180
23 650 41 2793
23 700 35 3525
23 750 30 4539
23 800 14 6227
23 850 27 10434
23 900 19 14918
23 950 6 16002
24 650 18 2742
24 700 4 3245
24 750 4 4205
24 800 40 6316
24 850 43 9883
24 950 12 15552
25 350 3 704
25 400 5 916
25 450 4 1019
25 500 1 1269
25 550 7 1763
25 600 16 2119
25 650 26 2571
25 700 3 3239
25 750 6 4250
25 800 18 6304
25 850 14 9251
25 900 6 14341
25 950 7 15056
26 650 6 2513
26 700 12 3106
26 750 8 4232
26 800 3 6092
26 850 47 9666
26 900 36 14000
26 950 16 14452
27 800 3 5555
27 900 1 13459
27 950 9 14344
28 650 1 2581
28 750 39 3889
28 800 28 5260
28 850 1 8523
28 900 1 12923
29 600 10 1847
29 650 7 2413
29 700 4 3019
29 750 22 4023
29 800 29 5033
29 850 6 8555
29 950 5 13893
30 800 2 5152
30 850 14 7710
32 700 1 2768
32 850 1 8057
32 900 3 11976
32 950 44 12312
33 700 31 2870
33 750 1 3318
33 800 6 5350
33 850 29 7744
33 900 2 11669
34 750 11 3580
34 800 2 4902
35 750 2 3482
36 650 3 2007
36 700 6 2745
36 750 27 3344
36 850 1 6943
