Allele_count Bstat Neanderthal non-Neanderthal
1 0 633 14892
1 50 293 9143
1 100 645 14878
1 150 757 17687
1 200 728 21153
1 250 890 26255
1 300 1210 30585
1 350 1385 39875
1 400 1771 49017
1 450 1983 55854
1 500 2385 65443
1 550 2848 80282
1 600 3394 98559
1 650 4571 118736
1 700 5260 143023
1 750 6304 187830
1 800 8984 256280
1 850 12309 380554
1 900 18052 559032
1 950 17254 562201
2 0 63 3567
2 50 108 2145
2 100 249 3427
2 150 250 4244
2 200 307 4652
2 250 608 6304
2 300 872 7132
2 350 888 9279
2 400 924 11466
2 450 1022 13256
2 500 1535 15849
2 550 1701 19614
2 600 2071 24283
2 650 2570 28595
2 700 2802 35524
2 750 3292 47002
2 800 4348 64556
2 850 6446 96702
2 900 8336 143877
2 950 8855 144065
3 0 59 1734
3 50 60 1053
3 100 109 1691
3 150 202 2392
3 200 153 2334
3 250 212 3183
3 300 148 3645
3 350 177 4653
3 400 387 5423
3 450 537 6738
3 500 869 7756
3 550 1011 9736
3 600 1431 11248
3 650 1312 14107
3 700 1192 18275
3 750 1990 23604
3 800 2775 32207
3 850 3372 49520
3 900 5256 73391
3 950 5259 75517
4 0 102 863
4 100 1 896
4 150 12 1428
4 200 9 1318
4 250 143 1729
4 300 211 2444
4 350 211 3059
4 400 303 3833
4 450 437 4671
4 500 372 5211
4 550 584 6572
4 600 865 8161
4 650 768 9727
4 700 919 12333
4 750 1163 16017
4 800 1284 23937
4 850 2347 35057
4 900 4151 52437
4 950 3766 52747
5 0 12 628
5 150 12 1102
5 200 111 1138
5 250 151 1436
5 300 155 1578
5 350 242 2363
5 400 264 2821
5 450 376 3304
5 500 408 4084
5 550 409 5252
5 600 647 6286
5 650 787 7570
5 700 682 10032
5 750 825 13295
5 800 1071 18006
5 850 1600 27624
5 900 2271 42708
5 950 2302 42834
6 0 56 618
6 100 5 459
6 150 9 639
6 200 54 864
6 250 32 1141
6 300 109 1410
6 350 276 1926
6 400 228 2518
6 450 211 2728
6 500 315 3284
6 550 318 4317
6 600 302 5504
6 650 498 6570
6 700 517 7883
6 750 713 10686
6 800 706 15754
6 850 1145 23225
6 900 1696 36031
6 950 1570 37879
7 0 49 499
7 150 7 355
7 200 62 835
7 250 76 1209
7 300 55 1214
7 350 214 1759
7 400 181 2124
7 450 280 2463
7 500 119 2920
7 550 257 3740
7 600 332 4889
7 650 314 6017
7 700 357 7810
7 750 456 10331
7 800 568 14765
7 850 1064 21065
7 900 1235 31720
7 950 865 33586
8 0 2 327
8 150 58 462
8 250 51 926
8 300 80 1176
8 350 167 1576
8 400 180 2131
8 450 347 2224
8 500 299 2842
8 550 481 3448
8 600 225 4409
8 650 306 5495
8 700 248 6925
8 750 395 9354
8 800 648 13102
8 850 662 19433
8 900 1080 29236
8 950 1231 29792
9 50 4 220
9 100 8 348
9 150 75 673
9 200 10 832
9 250 15 737
9 300 8 973
9 350 48 1395
9 400 27 1821
9 450 147 1903
9 500 216 2649
9 550 106 3098
9 600 185 3980
9 650 256 4881
9 700 221 6259
9 750 198 8610
9 800 361 11754
9 850 515 18357
9 900 575 27387
9 950 833 28528
10 100 22 385
10 150 1 546
10 200 29 815
10 250 2 909
10 300 24 1045
10 350 35 1263
10 400 42 1629
10 450 68 1891
10 500 57 2279
10 550 101 2830
10 600 151 3732
10 650 129 4741
10 700 146 5896
10 750 112 7820
10 800 120 11395
10 850 354 16583
10 900 707 27270
10 950 607 27856
11 100 2 385
11 150 50 393
11 200 21 545
11 250 8 969
11 300 58 1117
11 350 12 1216
11 400 24 1521
11 450 115 1764
11 500 48 2143
11 550 47 2958
11 600 25 3439
11 650 26 4750
11 700 114 6020
11 750 79 7224
11 800 162 9723
11 850 224 15369
11 900 407 24791
11 950 473 26571
12 100 9 254
12 150 6 360
12 200 3 407
12 300 10 784
12 350 19 961
12 400 29 1445
12 450 72 2067
12 500 50 2166
12 550 28 2450
12 600 48 3232
12 650 23 4092
12 700 179 5362
12 750 66 6907
12 800 85 9744
12 850 145 15002
12 900 331 23413
12 950 631 24649
13 100 7 280
13 250 16 584
13 300 2 832
13 350 3 961
13 400 94 1349
13 450 99 1695
13 500 99 2122
13 550 70 2511
13 600 22 3355
13 650 20 4094
13 700 33 4935
13 750 108 6663
13 800 64 9467
13 850 62 14381
13 900 76 22463
13 950 313 22812
14 100 1 280
14 250 9 554
14 300 44 812
14 350 45 1134
14 400 123 1207
14 450 61 1601
14 500 36 1999
14 550 47 2584
14 600 14 2795
14 650 43 3499
14 700 65 4618
14 750 59 6410
14 800 130 8960
14 850 75 13371
14 900 231 22006
14 950 127 21990
15 250 89 609
15 300 98 652
15 350 60 1049
15 400 47 1359
15 450 32 1310
15 500 17 1704
15 550 12 2362
15 600 45 2607
15 650 38 3344
15 700 35 4444
15 750 47 6073
15 800 95 8790
15 850 102 13602
15 900 196 20815
15 950 66 21178
16 100 30 130
16 400 31 1355
16 450 3 1516
16 500 6 1724
16 550 8 2090
16 600 28 2549
16 650 17 3240
16 700 56 4128
16 750 34 5660
16 800 93 8218
16 850 40 12990
16 900 69 19249
16 950 118 19741
17 400 27 1073
17 500 5 1668
17 550 21 2192
17 600 5 2805
17 650 8 3041
17 700 4 4025
17 750 29 5411
17 800 8 7778
17 850 29 12565
17 900 149 19038
17 950 68 19354
18 300 1 623
18 350 1 752
18 400 5 1207
18 450 4 1248
18 500 10 1660
18 550 27 2076
18 600 16 2347
18 650 31 3302
18 700 2 4044
18 750 6 4959
18 800 71 7899
18 850 44 11954
18 900 34 18022
18 950 52 18748
19 300 4 664
19 350 20 977
19 400 13 1214
19 450 3 1096
19 500 10 1597
19 550 21 1783
19 600 2 2468
19 650 3 3166
19 700 2 3989
19 750 60 5456
19 800 45 7800
19 850 38 11699
19 900 54 17335
19 950 27 18148
20 300 1 556
20 350 5 882
20 400 10 977
20 500 1 1477
20 700 3 3777
20 750 30 5022
20 800 25 7167
20 850 50 11020
20 900 20 16663
20 950 10 16800
21 350 1 713
21 400 2 1191
21 450 3 1112
21 500 2 1520
21 550 21 1729
21 750 9 4950
21 800 20 6875
21 850 26 10656
21 900 32 15965
21 950 55 16638
22 300 1 650
22 400 1 1081
22 450 1 1058
22 500 4 1253
22 550 1 1662
22 700 11 3232
22 750 1 5100
22 800 6 6585
22 850 25 10317
22 900 49 15837
22 950 21 16559
23 400 50 984
23 500 2 1323
23 850 57 9267
23 900 1 15149
23 950 10 15184
24 300 40 450
24 350 13 704
24 400 18 979
24 450 6 1081
24 500 34 1418
24 700 4 3457
24 750 13 4407
24 800 3 5964
24 850 2 9204
24 900 23 15008
24 950 16 14790
25 300 41 448
25 350 18 736
25 400 19 880
25 450 4 1033
25 700 1 3234
25 750 5 4251
25 800 1 5911
25 850 7 9340
25 900 34 14454
25 950 2 14143
26 750 24 4309
26 800 4 5773
26 900 5 13517
27 600 2 1894
27 650 4 2494
27 800 5 5548
27 850 10 8904
27 900 2 13006
28 500 2 1138
28 650 1 2278
28 750 1 3979
28 800 18 5534
28 850 7 8483
29 350 1 526
29 500 1 1116
29 550 24 1278
29 600 4 1603
29 650 6 2161
29 700 9 3046
29 850 1 8257
29 900 8 13038
30 350 12 630
30 400 7 863
30 900 20 12116
31 900 33 12422
34 800 3 4317
34 850 1 7302
36 800 16 4358
