Allele_count Bstat Neanderthal non-Neanderthal
1 0 267 7070
1 50 110 4624
1 100 80 7871
1 150 164 9383
1 200 252 11124
1 250 278 14682
1 300 482 16539
1 350 605 21498
1 400 719 26182
1 450 1005 30549
1 500 1110 36347
1 550 1323 45320
1 600 1749 54318
1 650 2000 65529
1 700 2674 82732
1 750 3599 106395
1 800 4803 146182
1 850 7312 216546
1 900 11606 319729
1 950 12639 317899
2 0 5 2034
2 50 20 1217
2 100 31 2307
2 150 79 2599
2 200 115 3158
2 250 176 4093
2 300 141 4752
2 350 338 6302
2 400 430 7936
2 450 329 8921
2 500 663 11444
2 550 670 13843
2 600 922 16257
2 650 1108 19915
2 700 1817 24446
2 750 1863 33164
2 800 2536 45627
2 850 3999 67104
2 900 6479 101883
2 950 6745 101283
3 0 65 881
3 50 70 729
3 100 109 1081
3 150 129 1184
3 200 44 1489
3 250 93 1883
3 300 112 2293
3 350 135 3568
3 400 201 4385
3 450 250 5133
3 500 224 6043
3 550 400 7459
3 600 691 9079
3 650 648 11256
3 700 752 14050
3 750 1232 18607
3 800 2013 26915
3 850 2724 41199
3 900 4137 61804
3 950 4378 62674
4 50 1 417
4 100 1 873
4 150 8 1057
4 200 8 1202
4 250 7 1579
4 300 32 1766
4 350 119 2569
4 400 168 3588
4 450 229 3872
4 500 228 4478
4 550 262 5819
4 600 400 7376
4 650 669 8734
4 700 744 10606
4 750 920 14806
4 800 1381 20849
4 850 1910 30727
4 900 3229 46924
4 950 3051 46519
5 0 21 660
5 100 3 763
5 150 9 686
5 200 31 886
5 250 33 1269
5 300 46 1535
5 350 135 2092
5 400 175 2412
5 450 162 2792
5 500 173 3456
5 550 272 4454
5 600 446 5947
5 650 603 6740
5 700 548 8893
5 750 623 12100
5 800 971 17377
5 850 1739 25194
5 900 2169 37275
5 950 1960 37959
6 0 52 596
6 50 14 403
6 100 2 572
6 150 54 748
6 200 58 860
6 300 51 1500
6 350 37 1835
6 400 66 2416
6 450 25 2749
6 500 81 3363
6 550 56 4075
6 600 154 5174
6 650 338 5767
6 700 453 7291
6 750 551 9947
6 800 880 14506
6 850 1522 22188
6 900 1548 33599
6 950 1761 34132
7 0 102 729
7 150 36 583
7 200 108 608
7 250 25 951
7 300 40 1084
7 350 67 1540
7 400 75 1883
7 450 148 2311
7 500 99 2895
7 550 144 3706
7 600 199 4556
7 650 224 5627
7 700 345 7384
7 750 440 9349
7 800 604 12544
7 850 959 19362
7 900 1429 29215
7 950 1341 31371
8 0 14 374
8 100 18 526
8 150 5 655
8 200 13 795
8 250 33 1004
8 300 67 1214
8 350 64 1244
8 400 58 1851
8 450 58 1983
8 500 63 2465
8 550 97 3475
8 600 165 4023
8 650 208 5188
8 700 204 6011
8 750 406 8574
8 800 700 11676
8 850 750 17915
8 900 973 27755
8 950 890 28169
9 50 1 414
9 200 46 525
9 250 16 720
9 300 10 746
9 350 15 1148
9 400 18 1533
9 450 33 1640
9 500 79 2267
9 550 206 2794
9 600 169 3603
9 650 236 4349
9 700 176 5684
9 750 197 7554
9 800 241 10592
9 850 515 15863
9 900 563 25162
9 950 881 25949
10 0 4 241
10 100 13 371
10 150 19 544
10 200 2 555
10 250 22 783
10 300 16 983
10 350 80 1295
10 400 29 1486
10 450 29 1716
10 500 86 2278
10 550 63 2603
10 600 80 3216
10 650 93 4032
10 700 70 5290
10 750 168 7006
10 800 246 10069
10 850 459 15831
10 900 719 23627
10 950 593 24113
11 50 2 170
11 100 13 301
11 150 7 436
11 200 26 556
11 250 10 682
11 300 20 970
11 350 19 1263
11 400 56 1660
11 450 64 1782
11 500 126 2059
11 550 119 2396
11 600 123 3315
11 650 101 3799
11 700 91 5353
11 750 279 7255
11 800 313 9727
11 850 373 14459
11 900 570 22479
11 950 457 23524
12 200 8 473
12 250 15 519
12 300 22 499
12 350 49 939
12 400 25 1547
12 450 17 1596
12 500 55 1951
12 550 32 2406
12 600 35 2727
12 650 45 3970
12 700 112 4582
12 750 120 6353
12 800 142 8822
12 850 354 14018
12 900 433 20945
12 950 408 21561
13 250 1 501
13 350 30 1016
13 400 22 1358
13 450 27 1500
13 500 7 1669
13 550 49 2411
13 600 58 2741
13 650 75 3751
13 700 32 4217
13 750 79 6069
13 800 197 8723
13 850 350 12336
13 900 481 20383
13 950 422 20788
14 250 4 585
14 300 5 716
14 350 33 971
14 400 11 1531
14 450 49 1592
14 500 11 2040
14 550 33 2169
14 600 99 2613
14 650 91 3658
14 700 153 4215
14 750 107 5759
14 800 138 8350
14 850 120 12384
14 900 278 19295
14 950 249 19934
15 250 2 560
15 300 10 580
15 350 7 938
15 400 6 1114
15 450 38 1357
15 500 30 1595
15 550 19 2049
15 600 59 2991
15 650 72 3509
15 700 59 4412
15 750 110 5737
15 800 168 7793
15 850 123 11923
15 900 230 18317
15 950 133 19481
16 150 11 463
16 200 1 316
16 250 3 557
16 350 5 731
16 400 12 1123
16 450 21 1361
16 500 43 1751
16 550 5 2173
16 600 29 2495
16 650 46 3263
16 700 89 4244
16 750 31 5124
16 800 123 7343
16 850 91 10997
16 900 140 17274
16 950 173 18202
17 150 16 344
17 200 7 347
17 250 6 811
17 300 18 630
17 350 65 1053
17 400 36 1115
17 450 80 1135
17 500 61 1389
17 550 7 1956
17 600 22 2193
17 650 62 3066
17 700 100 4027
17 750 109 5105
17 800 43 7037
17 850 84 11377
17 900 110 17697
17 950 244 17818
18 100 9 244
18 200 6 478
18 250 28 655
18 300 22 832
18 350 12 869
18 400 9 1129
18 450 27 1111
18 500 22 1571
18 550 38 1783
18 600 59 2222
18 650 45 3108
18 700 29 3969
18 750 76 5275
18 800 89 6921
18 850 90 10332
18 900 160 16679
18 950 248 17005
19 50 4 155
19 100 10 229
19 200 3 272
19 250 2 391
19 300 18 612
19 350 3 846
19 400 40 919
19 450 22 1055
19 500 23 1326
19 550 18 1617
19 600 11 2188
19 650 39 3087
19 700 20 3872
19 750 64 5061
19 800 90 7099
19 850 102 10631
19 900 115 15459
19 950 133 16297
20 50 4 118
20 250 5 474
20 300 14 443
20 350 7 781
20 400 36 833
20 450 12 1084
20 500 21 1484
20 550 21 1831
20 600 19 2118
20 650 33 2772
20 700 36 3853
20 750 44 5023
20 800 81 6899
20 850 97 10138
20 900 107 15262
20 950 36 15609
21 50 34 79
21 400 4 1072
21 450 8 1204
21 550 13 1680
21 600 28 2113
21 650 18 2657
21 700 52 3408
21 750 47 4525
21 800 18 6155
21 850 83 9571
21 900 78 14651
21 950 92 15704
22 50 17 53
22 350 1 611
22 400 8 775
22 450 16 1225
22 500 55 1317
22 550 2 1532
22 600 9 2141
22 650 56 2726
22 700 20 3619
22 750 14 4375
22 800 25 6191
22 850 52 9513
22 900 87 14440
22 950 10 15571
23 100 2 193
23 250 1 387
23 300 2 404
23 350 11 628
23 400 21 857
23 450 7 1077
23 500 12 1112
23 550 23 1554
23 600 30 2050
23 650 20 2582
23 700 9 3269
23 750 11 4216
23 800 6 5798
23 850 103 9702
23 900 17 13634
23 950 23 14588
24 50 6 232
24 100 7 284
24 150 1 282
24 250 26 369
24 300 3 360
24 350 11 588
24 400 11 701
24 450 6 999
24 500 2 1129
24 550 3 1473
24 600 5 1920
24 650 22 2553
24 700 13 2944
24 750 9 3905
24 800 24 5832
24 850 44 9222
24 900 59 13385
24 950 67 14065
25 350 11 686
25 450 1 981
25 500 4 1232
25 550 7 1715
25 600 14 1998
25 650 36 2414
25 700 13 2989
25 750 57 3931
25 800 63 5819
25 850 34 8571
25 900 76 13258
25 950 60 13549
26 350 1 488
26 650 19 2383
26 700 4 2873
26 750 68 3892
26 800 24 5543
26 850 5 8857
26 900 34 12822
26 950 13 13028
27 400 13 818
27 750 10 3693
27 800 48 5045
27 850 18 7855
27 900 7 12227
27 950 12 13048
28 700 2 2728
28 750 25 3550
28 800 8 4763
28 900 1 11693
28 950 57 13113
29 700 45 2774
29 750 1 3715
29 800 6 4611
29 850 4 7848
29 900 2 11666
29 950 11 12417
30 650 1 2184
30 750 8 3963
30 800 9 4712
30 850 10 6969
30 950 3 12356
31 900 2 11219
31 950 22 11552
32 900 1 10802
32 950 16 10948
33 800 1 4931
33 850 2 7000
33 900 2 10586
33 950 13 10893
34 800 5 4449
34 850 14 6723
34 900 4 10382
35 750 14 3220
35 800 4 4163
35 850 14 6349
