Allele_count Bstat Neanderthal non-Neanderthal
1 0 405 7153
1 50 276 4712
1 100 165 7997
1 150 414 9596
1 200 515 11433
1 250 687 15052
1 300 751 17189
1 350 922 22010
1 400 1110 27100
1 450 1707 31395
1 500 1669 37323
1 550 1836 46545
1 600 2274 56107
1 650 2852 67655
1 700 3446 85492
1 750 4639 109959
1 800 6058 151476
1 850 8018 223686
1 900 12429 331213
1 950 12308 331144
2 0 16 2047
2 50 22 1277
2 100 81 2338
2 150 141 2649
2 200 234 3210
2 250 206 4263
2 300 336 5013
2 350 551 6473
2 400 641 8175
2 450 717 9350
2 500 872 11860
2 550 793 14306
2 600 1058 17003
2 650 1291 20759
2 700 1975 25539
2 750 2043 35094
2 800 2815 48392
2 850 4341 71146
2 900 6393 108234
2 950 6378 108649
3 0 68 884
3 50 70 729
3 100 105 1097
3 150 152 1198
3 200 46 1499
3 250 87 1916
3 300 190 2409
3 350 239 3721
3 400 431 4581
3 450 397 5307
3 500 374 6302
3 550 500 7920
3 600 827 9374
3 650 844 11754
3 700 711 14723
3 750 1095 19793
3 800 1933 28715
3 850 2686 43813
3 900 4099 65993
3 950 3880 67492
4 0 1 741
4 50 3 422
4 100 1 900
4 150 13 1131
4 200 13 1216
4 250 21 1629
4 300 11 1889
4 350 79 2663
4 400 213 3721
4 450 321 4015
4 500 241 4623
4 550 322 6058
4 600 472 7739
4 650 726 9275
4 700 822 11179
4 750 729 15568
4 800 1179 22115
4 850 1809 32685
4 900 3066 49865
4 950 2505 49996
5 0 10 662
5 100 2 790
5 150 11 725
5 200 137 904
5 250 150 1293
5 300 99 1652
5 350 176 2253
5 400 180 2583
5 450 196 2935
5 500 220 3604
5 550 349 4555
5 600 501 6202
5 650 570 7110
5 700 556 9225
5 750 661 12636
5 800 926 18401
5 850 1443 26645
5 900 1778 39343
5 950 1430 40645
6 0 46 600
6 50 14 404
6 100 15 572
6 150 128 752
6 200 164 866
6 250 63 1072
6 300 161 1530
6 350 78 1870
6 400 87 2547
6 450 72 2810
6 500 121 3406
6 550 70 4190
6 600 240 5329
6 650 412 5996
6 700 471 7647
6 750 427 10467
6 800 712 15271
6 850 1357 23489
6 900 1223 35332
6 950 1188 36511
7 0 113 730
7 150 40 630
7 200 109 637
7 250 27 970
7 300 26 1142
7 350 51 1624
7 400 117 1925
7 450 126 2450
7 500 111 2983
7 550 113 3938
7 600 213 4903
7 650 259 5832
7 700 346 7551
7 750 413 9766
7 800 588 13104
7 850 871 20543
7 900 1355 30872
7 950 997 33382
8 0 15 381
8 100 18 526
8 150 44 670
8 200 44 813
8 250 150 1015
8 300 86 1241
8 350 66 1284
8 400 43 1930
8 450 92 2103
8 500 92 2540
8 550 178 3610
8 600 263 4232
8 650 403 5365
8 700 232 6242
8 750 446 8983
8 800 658 12209
8 850 647 18663
8 900 708 29322
8 950 688 29936
9 0 37 235
9 50 1 414
9 150 7 458
9 200 46 528
9 250 88 728
9 300 84 764
9 350 58 1176
9 400 24 1571
9 450 37 1721
9 500 58 2381
