Allele_count Bstat Neanderthal non-Neanderthal
1 0 353 7094
1 50 124 4658
1 100 139 7984
1 150 169 9683
1 200 207 11341
1 250 182 14862
1 300 367 16844
1 350 451 21955
1 400 658 26731
1 450 769 31264
1 500 907 37037
1 550 1142 46118
1 600 1376 55604
1 650 1697 66926
1 700 2026 84364
1 750 2708 108714
1 800 3539 149077
1 850 5256 221082
1 900 9078 325761
1 950 9392 324092
2 0 17 2065
2 50 20 1248
2 100 237 2397
2 150 207 2663
2 200 215 3213
2 250 166 4144
2 300 137 4879
2 350 277 6649
2 400 450 8311
2 450 361 9425
2 500 611 11826
2 550 607 14289
2 600 814 16991
2 650 1061 20835
2 700 1742 25732
2 750 1413 34750
2 800 1995 47740
2 850 3261 70639
2 900 4552 107298
2 950 4645 106248
3 0 9 932
3 50 57 773
3 100 80 1134
3 150 117 1208
3 200 100 1509
3 250 188 1961
3 300 195 2431
3 350 343 3681
3 400 312 4525
3 450 259 5459
3 500 214 6417
3 550 462 8036
3 600 630 9780
3 650 703 11957
3 700 768 14953
3 750 917 19739
3 800 1798 28586
3 850 2122 43830
3 900 2888 65899
3 950 2901 66488
4 0 7 742
4 50 12 426
4 100 70 912
4 150 17 1064
4 200 13 1214
4 250 7 1603
4 300 55 1813
4 350 137 2633
4 400 158 3717
4 450 250 4064
4 500 224 4727
4 550 214 6070
4 600 456 7725
4 650 466 9225
4 700 560 11305
4 750 722 15593
4 800 1091 21938
4 850 1416 32688
4 900 2547 49829
4 950 2114 49357
5 0 89 664
5 50 46 275
5 100 63 766
5 150 19 714
5 200 50 890
5 250 53 1291
5 300 81 1568
5 350 129 2198
5 400 179 2468
5 450 238 2897
5 500 162 3631
5 550 275 4717
5 600 403 6215
5 650 560 7082
5 700 408 9415
5 750 384 12734
5 800 759 18441
5 850 1061 27006
5 900 1333 39608
5 950 1345 40628
6 0 52 597
6 100 2 602
6 150 90 762
6 200 89 862
6 250 7 1109
6 300 41 1562
6 350 40 1878
6 400 70 2464
6 450 48 2787
6 500 115 3456
6 550 55 4250
6 600 125 5378
6 650 268 5987
6 700 339 7619
6 750 410 10395
6 800 665 15164
6 850 1141 23555
6 900 1101 35896
6 950 1180 36103
7 0 103 729
7 150 37 586
7 200 115 647
7 250 30 1047
7 300 62 1120
7 350 83 1621
7 400 77 1943
7 450 129 2337
7 500 101 2953
7 550 87 3847
7 600 167 4763
7 650 183 5811
7 700 290 7753
7 750 367 9848
7 800 439 13228
7 850 602 20482
7 900 1085 30518
7 950 941 32907
8 0 16 375
8 100 66 527
8 150 1 657
8 200 13 796
8 250 12 1043
8 300 44 1238
8 350 45 1275
8 400 52 1892
8 450 65 2040
8 500 63 2551
8 550 69 3621
8 600 121 4249
8 650 138 5385
8 700 94 6255
8 750 279 8953
8 800 552 12294
8 850 477 18762
8 900 718 28794
8 950 554 29717
9 200 59 540
9 250 29 738
9 300 10 794
9 350 14 1171
9 400 6 1667
9 450 24 1703
9 500 51 2301
9 550 214 2884
9 600 133 3716
9 650 228 4541
9 700 114 5922
9 750 112 7889
9 800 150 11060
9 850 380 16842
9 900 436 26216
9 950 577 27447
10 50 1 150
10 100 15 376
10 150 19 544
10 200 2 560
10 300 10 1014
10 350 61 1385
10 400 18 1555
10 450 8 1798
10 500 83 2350
10 550 36 2671
10 600 102 3300
10 650 80 4187
10 700 37 5438
10 750 137 7231
10 800 149 10568
10 850 250 16682
10 900 439 24694
10 950 453 25449
11 50 8 183
11 100 64 313
11 150 7 453
11 200 24 587
11 250 10 687
11 300 20 988
11 350 18 1290
11 400 57 1684
11 450 93 1807
11 500 101 2173
11 550 149 2506
11 600 205 3469
11 650 98 3943
11 700 77 5468
11 750 197 7624
11 800 189 10147
11 850 174 15005
11 900 379 23416
11 950 363 24452
12 250 15 555
12 300 22 531
12 350 47 962
12 400 19 1568
12 450 9 1631
12 500 49 1991
12 550 22 2502
12 600 23 2859
12 650 42 4129
12 700 42 4808
12 750 82 6585
12 800 159 9073
12 850 222 14687
12 900 319 21668
12 950 322 22542
13 250 1 509
13 350 30 1044
13 400 16 1377
13 450 24 1549
13 500 6 1762
13 550 42 2485
13 600 43 2846
13 650 73 3937
13 700 59 4360
13 750 71 6298
13 800 91 9066
13 850 165 12988
13 900 315 21237
13 950 354 21778
14 0 3 167
14 150 3 332
14 250 4 589
14 300 5 737
14 350 18 991
14 400 11 1568
14 450 31 1648
14 500 5 2100
14 550 8 2216
14 600 25 2708
14 650 63 3826
14 700 127 4345
14 750 89 6023
14 800 111 8572
14 850 119 12977
14 900 282 20008
14 950 239 20747
15 250 2 569
15 300 10 609
15 350 3 967
15 400 4 1128
15 450 44 1394
15 500 32 1631
15 550 13 2111
15 600 30 3055
15 650 51 3562
15 700 51 4572
15 750 84 5942
15 800 111 8115
15 850 84 12400
15 900 143 19017
15 950 110 20331
16 150 4 468
16 200 1 318
16 250 3 596
16 350 5 748
16 400 10 1168
16 450 15 1400
16 500 29 1785
16 550 3 2197
16 600 27 2601
16 650 34 3370
16 700 54 4384
16 750 24 5259
16 800 52 7699
16 850 56 11410
16 900 95 18070
16 950 144 19000
17 100 18 308
17 150 26 348
17 250 5 818
17 300 18 640
17 350 65 1057
17 400 36 1124
17 450 80 1162
17 500 50 1415
17 550 7 1986
17 600 23 2292
17 650 52 3155
17 700 99 4122
17 750 93 5278
17 800 21 7287
17 850 55 11829
17 900 73 18212
17 950 227 18397
18 100 21 248
18 250 24 660
18 300 22 854
18 350 11 923
18 400 9 1162
18 450 27 1145
18 500 22 1626
18 550 22 1842
18 600 38 2291
18 650 31 3201
18 700 24 4057
18 750 65 5465
18 800 74 7121
18 850 77 10618
18 900 119 17206
18 950 213 17612
19 0 67 277
19 50 24 155
19 250 2 394
19 300 18 620
19 350 3 855
19 400 38 923
19 450 22 1130
19 500 13 1364
19 550 15 1664
19 600 3 2287
19 650 37 3203
19 700 19 3976
19 750 56 5206
19 800 71 7331
19 850 78 11045
19 900 88 16097
19 950 105 16984
20 50 4 118
20 250 5 484
20 300 13 456
20 350 2 787
20 400 5 845
20 450 6 1122
20 500 11 1506
20 550 16 1866
20 600 17 2172
20 650 24 2906
20 700 36 3950
20 750 44 5172
20 800 58 7156
20 850 48 10562
20 900 89 15799
20 950 33 16166
21 450 3 1258
21 550 11 1699
21 600 23 2152
21 650 8 2770
21 700 52 3504
21 750 46 4690
21 800 15 6329
21 850 30 9986
21 900 76 15274
21 950 56 16450
22 50 17 54
22 350 1 619
22 400 8 811
22 450 16 1290
22 500 55 1372
22 600 7 2212
22 650 53 2779
22 700 20 3751
22 750 14 4504
22 800 13 6381
22 850 40 9849
22 900 58 14989
22 950 2 16210
23 100 2 195
23 250 1 395
23 350 1 640
23 400 21 878
23 450 7 1099
23 500 12 1149
23 550 20 1595
23 600 24 2107
23 650 13 2673
23 700 9 3372
23 750 11 4398
23 800 6 5984
23 850 99 9995
23 900 14 14246
23 950 21 15233
24 50 6 246
24 100 7 285
24 150 1 283
24 250 26 370
24 300 3 372
24 350 11 620
24 400 11 725
24 450 6 1044
24 500 2 1139
24 550 3 1534
24 600 5 2028
24 650 22 2655
24 700 13 3085
24 750 9 4052
24 800 21 6045
24 850 23 9544
24 900 35 13860
24 950 39 14827
25 350 11 699
25 450 1 1002
25 500 4 1250
25 550 7 1739
25 600 14 2054
25 650 36 2485
25 700 13 3112
25 750 57 4089
25 800 63 6006
25 850 29 8853
25 900 51 13742
25 950 25 14288
26 650 19 2451
26 700 4 2969
26 750 68 4011
26 800 24 5796
26 850 5 9229
26 900 31 13394
26 950 11 13632
27 750 10 3874
27 800 48 5267
27 850 18 8263
27 900 7 12759
27 950 10 13559
28 700 2 2881
28 750 25 3712
28 800 8 4986
28 900 1 12228
28 950 57 13680
29 700 45 2907
29 750 1 3872
29 800 6 4778
29 850 4 8130
29 900 2 12267
29 950 11 13101
30 750 8 4084
30 800 9 4951
30 850 10 7316
30 950 3 12917
31 900 2 11691
31 950 22 12158
32 900 1 11280
32 950 16 11481
33 800 1 5111
33 850 2 7351
33 900 2 11085
33 950 13 11595
34 800 5 4642
34 850 14 7106
34 900 4 10949
35 750 14 3342
35 800 4 4337
35 850 14 6728
