Allele_count Bstat Neanderthal non-Neanderthal
1 0 405 15116
1 50 183 9253
1 100 490 15030
1 150 450 17986
1 200 587 21291
1 250 481 26639
1 300 725 31050
1 350 1030 40153
1 400 1143 49422
1 450 1333 56281
1 500 1595 65924
1 550 2115 80694
1 600 2812 98787
1 650 3297 119519
1 700 3675 144219
1 750 4401 189134
1 800 6253 258236
1 850 9788 382010
1 900 13743 561653
1 950 12947 564514
2 0 53 3505
2 50 63 2146
2 100 85 3628
2 150 159 4416
2 200 203 4789
2 250 407 6563
2 300 812 7255
2 350 714 9421
2 400 701 11579
2 450 778 13513
2 500 1270 16157
2 550 1038 20011
2 600 1483 24540
2 650 1789 28894
2 700 1745 36236
2 750 2355 47769
2 800 3164 65623
2 850 4075 98406
2 900 6244 144625
2 950 6953 145436
3 0 5 1705
3 50 14 1063
3 100 109 1712
3 150 204 2359
3 200 202 2311
3 250 102 3281
3 300 73 3708
3 350 138 4642
3 400 159 5477
3 450 434 6780
3 500 657 7986
3 550 683 9991
3 600 875 11673
3 650 837 14697
3 700 826 18528
3 750 1352 24125
3 800 1924 33246
3 850 2101 50646
3 900 3540 75172
3 950 3508 77412
4 0 97 857
4 50 3 624
4 100 7 898
4 150 8 1444
4 200 9 1347
4 250 121 1800
4 300 139 2516
4 350 122 3090
4 400 266 3866
4 450 363 4770
4 500 297 5296
4 550 283 6851
4 600 484 8491
4 650 329 10236
4 700 536 12610
4 750 524 16676
4 800 805 24506
4 850 1375 36143
4 900 2536 54323
4 950 2537 54874
5 0 2 629
5 200 14 1222
5 250 65 1524
5 300 54 1665
5 350 141 2534
5 400 201 2946
5 450 242 3430
5 500 160 4311
5 550 264 5340
5 600 415 6463
5 650 572 7800
5 700 395 10298
5 750 555 13707
5 800 617 18615
5 850 829 28322
5 900 1311 43804
5 950 1407 44829
6 0 68 594
6 50 15 283
6 100 6 464
6 150 9 694
6 200 52 879
6 250 4 1161
6 300 28 1444
6 350 63 2100
6 400 147 2578
6 450 48 2805
6 500 69 3477
6 550 165 4440
6 600 169 5527
6 650 316 6783
6 700 348 8047
6 750 348 11167
6 800 348 16453
6 850 703 23949
6 900 960 36950
6 950 887 38948
7 0 49 501
7 100 1 471
7 150 8 365
7 200 62 820
7 250 45 1227
7 300 36 1269
7 350 153 1773
7 400 111 2136
7 450 196 2511
7 500 91 2978
7 550 100 3913
7 600 134 5088
7 650 210 6207
7 700 260 7894
7 750 360 10548
7 800 274 15316
7 850 796 21434
7 900 1027 32699
7 950 628 34642
8 100 30 406
8 150 61 465
8 250 1 967
8 300 40 1185
8 350 69 1611
8 400 106 2138
8 450 211 2369
8 500 275 2884
8 550 435 3517
8 600 201 4437
8 650 252 5598
8 700 235 7064
8 750 326 9521
8 800 423 13299
8 850 344 19742
8 900 576 29945
8 950 505 30705
9 50 4 221
9 100 10 355
9 150 14 676
9 200 8 841
9 300 4 982
9 350 26 1423
9 400 39 1831
9 450 67 2010
9 500 108 2840
9 550 121 3127
9 600 149 4056
9 650 146 4936
9 700 144 6486
9 750 225 8772
9 800 180 12014
9 850 239 18675
9 900 403 28121
9 950 465 29585
10 100 48 385
10 150 53 501
10 200 34 827
10 250 6 905
10 300 27 1036
10 350 15 1273
10 400 19 1656
10 450 51 1918
10 500 9 2301
10 550 50 2902
10 600 84 3785
10 650 65 4813
10 700 61 6078
10 750 57 8003
10 800 85 11595
10 850 208 17096
10 900 334 27994
10 950 247 28656
11 100 5 385
11 150 28 417
11 200 6 560
11 250 1 973
11 300 1 1147
11 350 26 1204
11 400 13 1551
11 450 9 1882
11 500 25 2194
11 550 47 3022
11 600 28 3482
11 650 48 4823
11 700 120 6189
11 750 62 7390
11 800 100 9906
11 850 129 15763
11 900 327 25266
11 950 285 27101
12 50 5 146
12 100 11 254
12 150 7 366
12 200 3 413
12 350 15 950
12 400 18 1469
12 450 18 2107
12 500 7 2137
12 550 7 2430
12 600 17 3264
12 650 5 4165
12 700 78 5440
12 750 21 7097
12 800 70 9921
12 850 116 15285
12 900 191 23600
12 950 209 25138
13 100 11 282
13 150 4 454
13 200 19 472
13 300 1 833
13 350 6 978
13 400 87 1386
13 450 6 1802
13 500 22 2208
13 550 46 2525
13 600 106 3343
13 650 31 4141
13 700 7 4974
13 750 17 6839
13 800 37 9641
13 850 42 14561
13 900 76 22799
13 950 137 23256
14 100 1 282
14 150 40 385
14 200 5 566
14 250 2 559
14 300 31 825
14 400 81 1253
14 450 14 1649
14 500 26 2137
14 550 57 2609
14 600 9 2809
14 650 39 3621
14 700 21 4750
14 750 26 6575
14 800 88 9137
14 850 67 13496
14 900 108 22509
14 950 57 22275
15 100 10 367
15 150 5 463
15 250 89 609
15 300 81 657
15 350 35 1049
15 400 4 1363
15 450 25 1341
15 500 19 1690
15 550 5 2361
15 600 5 2623
15 650 2 3360
15 700 3 4490
15 750 39 6144
15 800 12 8896
15 850 19 13691
15 900 110 21116
15 950 12 21439
16 100 30 130
16 250 3 501
16 400 31 1358
16 450 2 1532
16 500 6 1758
16 550 10 2112
16 600 23 2555
16 650 19 3243
16 700 14 4148
16 750 49 5809
16 800 16 8405
16 850 32 13073
16 900 34 19386
16 950 34 20110
17 100 42 201
17 500 6 1656
17 550 2 2236
17 600 6 2807
17 650 22 3087
17 700 15 3972
17 750 20 5604
17 800 54 7842
17 850 136 12677
17 900 16 19273
17 950 30 19713
18 350 1 751
18 400 5 1215
18 450 3 1339
18 500 18 1678
18 550 26 2097
