Allele_count Bstat Neanderthal non-Neanderthal
1 0 42 14850
1 50 40 9103
1 100 43 14835
1 150 52 17635
1 200 166 20987
1 250 147 26108
1 300 205 30380
1 350 339 39536
1 400 394 48623
1 450 559 55295
1 500 744 64699
1 550 989 79293
1 600 1478 97081
1 650 1616 117120
1 700 2206 140817
1 750 2988 184842
1 800 4288 251992
1 850 7123 373431
1 900 11756 547276
1 950 12340 549861
2 0 74 3482
2 50 4 2141
2 100 51 3417
2 150 126 4226
2 200 24 4637
2 250 113 6235
2 300 122 7055
2 350 117 9170
2 400 231 11220
2 450 292 13035
2 500 502 15454
2 550 569 19027
2 600 575 23677
2 650 796 27760
2 700 843 34597
2 750 1449 45649
2 800 2275 62298
2 850 3206 93197
2 900 5851 137480
2 950 6348 136940
3 0 86 1649
3 50 10 1042
3 100 65 1641
3 150 80 2312
3 200 138 2248
3 250 26 3158
3 300 53 3585
3 350 102 4591
3 400 110 5367
3 450 200 6606
3 500 325 7608
3 550 322 9504
3 600 344 10963
3 650 593 13784
3 700 649 17679
3 750 1012 22769
3 800 1721 30991
3 850 2149 47460
3 900 3608 69689
3 950 4134 71107
4 0 22 816
4 100 7 896
4 150 8 1420
4 200 36 1308
4 250 51 1726
4 300 54 2394
4 350 62 2998
4 400 134 3722
4 450 143 4567
4 500 137 5065
4 550 205 6438
4 600 265 7885
4 650 372 9467
4 700 464 11950
4 750 428 15589
4 800 1175 22922
4 850 1601 33642
4 900 2416 50005
4 950 3338 49425
5 0 3 628
5 150 7 1100
5 200 71 1117
5 250 51 1375
5 300 18 1553
5 350 67 2354
5 400 84 2780
5 450 116 3219
5 500 96 3984
5 550 195 5125
5 600 253 6098
5 650 319 7344
5 700 361 9752
5 750 599 12784
5 800 721 17345
5 850 1221 26359
5 900 1991 40534
5 950 2519 40469
6 0 23 593
6 50 15 283
6 100 2 457
6 150 46 639
6 200 12 861
6 250 24 1138
6 300 1 1404
6 350 22 1920
6 400 74 2424
6 450 36 2688
6 500 74 3207
6 550 133 4176
6 600 106 5379
6 650 189 6444
6 700 240 7666
6 750 371 10351
6 800 573 15181
6 850 985 22361
6 900 1223 34558
6 950 1605 35978
7 50 2 213
7 150 1 355
7 250 12 1197
7 300 16 1194
7 350 16 1717
7 400 36 2088
7 450 33 2380
7 500 73 2848
7 550 65 3695
7 600 67 4830
7 650 156 5959
7 700 181 7667
7 750 232 10114
7 800 357 14345
7 850 695 20259
7 900 1258 30631
7 950 1455 31885
8 0 6 325
8 100 32 405
8 150 2 459
8 250 1 925
8 350 2 1518
8 400 30 2106
8 450 36 2195
8 500 40 2760
8 550 144 3343
8 600 128 4252
8 650 182 5371
8 700 170 6784
8 750 231 9185
8 800 247 12776
8 850 435 18830
8 900 923 28209
8 950 847 28425
9 50 1 188
9 100 8 340
9 150 8 673
9 200 1 829
9 250 1 734
9 300 1 969
9 350 36 1348
9 400 34 1779
9 450 23 1887
9 500 38 2614
9 550 46 3073
9 600 105 3919
9 650 92 4805
9 700 152 6162
9 750 247 8464
9 800 218 11439
9 850 458 17769
9 900 674 26425
9 950 813 27332
10 100 43 384
10 150 53 493
10 200 8 808
10 250 7 903
10 300 4 1033
10 350 7 1236
10 400 2 1604
10 450 3 1862
10 500 21 2232
10 550 89 2785
10 600 101 3651
10 650 46 4552
10 700 94 5818
10 750 134 7644
10 800 234 11116
10 850 326 16145
10 900 408 26213
10 950 613 26672
11 100 13 365
11 150 2 388
11 350 1 1190
11 400 1 1485
11 450 4 1723
11 500 11 2090
11 550 50 2894
11 600 44 3380
11 650 69 4697
11 700 95 5867
11 750 91 7033
11 800 141 9526
11 850 260 14987
11 900 347 24018
11 950 527 25437
12 50 5 145
12 100 3 253
12 150 1 359
12 300 3 764
12 350 1 932
12 400 16 1419
12 450 7 2042
12 500 7 2101
12 550 28 2393
12 600 42 3188
12 650 16 4033
12 700 41 5235
12 750 66 6793
12 800 164 9533
12 850 193 14644
12 900 232 22633
12 950 211 23697
13 100 4 280
13 150 4 456
13 200 19 462
13 250 2 583
13 300 1 830
13 350 6 959
13 400 3 1339
13 450 1 1684
13 500 2 2097
13 550 17 2464
13 600 109 3288
13 650 38 4050
13 700 38 4865
13 750 84 6527
13 800 90 9282
13 850 128 13971
13 900 264 21752
13 950 315 21896
14 100 1 280
14 150 40 377
14 200 5 564
14 250 1 554
14 300 10 811
14 350 7 1118
14 400 51 1196
14 450 16 1583
14 500 9 1986
14 550 21 2558
14 600 39 2729
14 650 50 3440
14 700 21 4552
14 750 27 6302
14 800 81 8791
14 850 128 13022
14 900 195 21336
14 950 133 21200
15 100 10 357
15 150 5 445
15 300 11 652
15 350 6 1042
15 400 2 1347
15 450 9 1301
15 500 6 1675
15 550 13 2326
15 600 14 2577
15 650 26 3275
15 700 56 4286
15 750 16 5948
15 800 46 8555
15 850 53 13185
15 900 113 20136
15 950 76 20448
16 250 3 482
16 400 5 1344
16 450 4 1505
16 500 6 1693
16 550 22 2061
16 600 10 2501
16 650 21 3168
16 700 29 4010
16 750 55 5490
16 800 73 8004
16 850 75 12699
16 900 81 18647
16 950 115 18987
17 100 44 201
17 400 20 1066
17 450 2 1554
17 500 4 1633
17 550 1 2147
17 650 12 2975
17 700 17 3947
17 750 54 5295
17 800 58 7575
17 850 178 12197
17 900 45 18388
17 950 114 18636
18 400 11 1197
18 450 37 1235
18 500 13 1630
18 550 2 2060
18 600 1 2306
18 650 4 3256
18 700 16 3978
18 750 13 4871
18 800 23 7745
18 850 38 11632
18 900 151 17430
18 950 25 18082
19 350 1 971
19 450 1 1084
19 500 24 1577
19 550 10 1765
19 600 11 2425
19 650 7 3094
19 750 24 5307
19 800 7 7610
19 850 77 11438
19 900 33 16737
19 950 54 17447
20 350 7 872
20 400 1 963
20 450 6 1115
20 500 4 1466
20 550 11 1703
20 600 1 2399
20 650 15 2687
20 700 17 3655
20 750 32 4845
20 800 59 6967
20 850 55 10721
20 900 18 16082
20 950 25 16168
21 350 18 710
21 400 21 1189
21 450 5 1101
21 500 1 1506
21 550 1 1685
21 650 6 2941
21 700 2 3398
21 800 13 6670
21 850 33 10379
21 900 13 15446
21 950 8 15800
22 350 55 809
22 400 14 1070
22 450 16 1019
22 500 2 1227
22 550 1 1626
22 700 3 3145
22 800 36 6413
22 850 7 9978
22 900 87 15296
22 950 21 15904
23 400 3 974
23 650 8 2590
23 700 6 3211
23 750 3 4312
23 800 11 6605
23 850 8 8905
23 900 29 14545
23 950 46 14500
24 300 1 445
24 350 5 687
24 400 7 970
24 450 8 1074
24 650 3 2445
24 700 10 3342
24 800 5 5814
24 850 6 8891
24 900 59 14403
24 950 26 14095
25 250 11 384
25 300 2 440
25 350 1 733
25 450 18 1022
25 500 8 1543
25 650 3 2260
25 700 7 3135
25 750 1 4149
25 800 1 5701
25 850 9 9103
25 900 69 13908
25 950 10 13437
26 300 4 466
26 350 23 753
26 450 4 937
26 500 12 1162
26 550 9 1557
26 750 13 4178
26 800 3 5577
26 850 6 9025
26 900 3 12977
26 950 5 13120
27 300 9 414
27 350 50 592
27 400 6 914
27 600 1 1846
27 800 2 5338
27 850 29 8604
27 900 29 12471
28 350 21 519
28 550 9 1313
28 600 3 1690
28 650 4 2246
28 750 1 3849
28 800 5 5369
28 850 14 8200
28 900 10 12476
29 550 14 1213
29 600 9 1541
29 650 1 2128
29 900 4 12479
30 600 6 1705
30 650 1 2181
30 850 5 7301
30 900 26 11531
30 950 1 12036
31 800 16 4823
31 850 1 7453
31 900 51 11917
31 950 5 11913
32 400 11 655
32 450 1 774
32 800 10 4577
32 900 5 11065
32 950 2 11255
34 800 9 4111
36 650 7 1896
