Allele_count Bstat Neanderthal non-Neanderthal
1 0 340 17420
1 50 137 10335
1 100 99 17952
1 150 275 21074
1 200 307 24358
1 250 425 30444
1 300 588 34821
1 350 734 44926
1 400 1029 55930
1 450 1201 64884
1 500 1291 75395
1 550 1500 92934
1 600 1669 113095
1 650 2064 136928
1 700 2852 167265
1 750 3374 218056
1 800 4287 296380
1 850 6270 443358
1 900 9612 643818
1 950 9932 640024
2 0 74 3300
2 50 21 2350
2 100 205 4312
2 150 178 4546
2 200 210 5108
2 250 211 6488
2 300 263 7991
2 350 241 10186
2 400 526 12181
2 450 360 14452
2 500 521 17511
2 550 593 21355
2 600 879 26030
2 650 970 31755
2 700 1237 38973
2 750 1403 51141
2 800 1832 68174
2 850 2288 102083
2 900 4184 152552
2 950 3487 151951
3 0 8 1503
3 50 86 1110
3 100 123 2029
3 150 130 2307
3 200 208 2652
3 250 99 3481
3 300 172 4183
3 350 221 5353
3 400 179 6742
3 450 315 7732
3 500 393 9487
3 550 565 11534
3 600 458 13877
3 650 644 16560
3 700 593 19950
3 750 607 25890
3 800 1255 36540
3 850 2070 53406
3 900 2479 79542
3 950 2036 82827
4 50 83 677
4 100 40 976
4 150 14 1415
4 200 22 1707
4 250 38 2444
4 300 96 2813
4 350 132 3745
4 400 175 4316
4 450 114 4865
4 500 139 6181
4 550 157 7709
4 600 338 9444
4 650 349 11282
4 700 527 13626
4 750 875 18364
4 800 826 25446
4 850 1260 37526
4 900 1772 55940
4 950 1414 57414
5 50 1 501
5 150 39 1287
5 200 166 1402
5 250 129 1863
5 300 129 1915
5 350 133 2755
5 400 107 3255
5 450 258 3771
5 500 173 4280
5 550 153 5591
5 600 247 7349
5 650 272 8631
5 700 561 10609
5 750 563 13971
5 800 547 18715
5 850 831 29373
5 900 1538 44553
5 950 1244 45135
6 150 2 976
6 200 13 1165
6 250 48 1364
6 300 70 1655
6 350 32 2155
6 400 87 2478
6 450 124 3214
6 500 145 3483
6 550 276 4452
6 600 307 6120
6 650 250 7226
6 700 198 8688
6 750 250 11396
6 800 335 16182
6 850 771 24605
6 900 1021 37112
6 950 980 37393
7 0 25 429
7 50 17 252
7 100 6 494
7 150 1 565
7 200 10 938
7 250 10 1137
7 300 33 1140
7 350 102 1729
7 400 97 2170
7 450 91 2611
7 500 171 3136
7 550 258 3942
7 600 187 4799
7 650 108 5871
7 700 166 7477
7 750 269 9422
7 800 237 13512
7 850 304 20912
7 900 882 31475
7 950 793 33079
8 150 1 483
8 200 41 685
8 250 18 928
8 300 12 1075
8 350 33 1484
8 400 70 1837
8 450 127 2325
8 500 168 2904
8 550 179 3708
8 600 231 4621
8 650 215 5370
8 700 117 6420
8 750 156 9138
8 800 259 12391
8 850 377 18147
8 900 562 28168
8 950 621 28843
9 150 1 642
9 200 1 751
9 250 49 957
9 300 42 1250
9 350 40 1565
9 400 29 1599
9 450 87 2112
9 500 77 2401
9 550 185 3005
9 600 203 4008
9 650 130 5078
9 700 130 6218
9 750 95 7929
9 800 290 11141
9 850 285 16676
9 900 544 25841
9 950 517 26480
10 50 1 236
10 100 4 317
10 150 3 397
10 200 39 634
10 250 19 738
10 300 29 863
10 350 39 1362
10 400 35 1601
10 450 67 1677
10 500 142 2163
10 550 87 3010
10 600 163 3897
10 650 75 3908
10 700 61 5085
10 750 111 7418
10 800 130 10261
10 850 197 14593
10 900 239 23067
10 950 397 23168
11 100 63 440
11 150 39 513
11 300 37 881
11 350 51 1094
11 400 19 1501
11 450 105 1770
11 500 58 2128
11 550 104 2556
11 600 127 3203
11 650 199 3806
11 700 96 5301
11 750 96 6916
11 800 115 9056
11 850 121 14108
11 900 325 22163
11 950 609 21896
12 100 4 212
12 150 9 323
12 200 1 411
12 300 20 793
12 350 19 1099
12 400 25 1361
12 450 39 1519
12 500 67 1700
12 550 31 2357
12 600 75 2859
12 650 92 3303
12 700 56 4880
12 750 85 6420
12 800 107 8612
12 850 153 12766
12 900 223 20791
12 950 215 21555
13 150 11 571
13 200 1 463
13 300 1 802
13 350 10 1229
13 400 18 1303
13 450 35 1585
13 550 38 2533
13 600 54 2923
13 650 83 3713
13 700 24 4823
13 750 168 6101
13 800 87 8011
13 850 163 12284
13 900 172 19180
13 950 136 19513
14 100 6 194
14 150 12 331
14 300 16 681
14 350 100 798
14 400 20 945
14 450 42 1360
14 500 9 1728
14 550 7 2233
14 600 59 2583
14 650 27 3506
14 700 31 4386
14 750 69 5324
14 800 69 7680
14 850 118 11971
14 900 413 17801
14 950 205 18741
15 200 1 369
15 250 28 595
15 300 7 588
15 350 8 801
15 400 120 1048
15 450 12 1405
15 550 15 2017
15 600 66 2180
15 650 27 2901
15 700 27 3906
15 750 100 5356
15 800 111 7740
15 850 135 10929
15 900 97 16833
15 950 176 17050
16 350 4 830
16 450 3 1395
16 500 27 1480
16 550 57 1722
16 600 31 2205
16 650 44 2938
16 700 107 4111
16 750 49 5068
16 800 64 6829
16 850 116 10514
16 900 82 16412
16 950 194 16690
17 200 1 366
17 250 12 578
17 300 5 695
17 350 50 927
17 400 5 1227
17 450 74 1214
17 500 37 1374
17 550 63 1585
17 600 8 2235
17 650 40 2841
17 700 10 3449
17 750 69 4587
17 800 133 6875
17 850 79 10266
17 900 155 15474
17 950 124 15659
18 200 27 327
18 250 37 388
18 300 2 501
18 350 8 859
18 500 1 1492
18 550 4 1752
18 600 33 2192
18 650 63 2524
18 700 35 3381
18 750 19 4416
18 800 40 6497
18 850 38 10063
18 900 149 15226
18 950 47 15386
19 250 27 532
19 300 3 504
19 500 24 1371
19 550 171 1711
19 600 50 1776
19 650 24 2439
19 700 17 3029
19 750 58 4311
19 800 21 6215
19 850 89 9863
19 900 93 14437
19 950 84 15221
20 150 1 357
20 200 7 290
20 250 3 326
20 300 10 437
20 350 3 612
20 400 15 829
20 450 8 972
20 500 9 1093
20 650 13 2250
20 700 95 2837
20 750 28 4333
20 800 32 6051
20 850 50 9743
20 900 39 13555
20 950 63 14052
21 50 48 79
21 100 16 130
21 150 8 185
21 400 9 853
21 450 14 1026
21 500 28 1199
21 550 11 1603
21 600 35 2014
21 650 9 2342
21 700 20 2902
21 750 5 3842
21 800 31 5777
21 850 116 8898
21 900 99 13645
21 950 16 14123
22 500 9 1263
22 550 9 1489
22 650 9 2150
22 700 27 2951
22 750 27 3969
22 800 73 5756
22 850 47 8911
22 900 47 12652
22 950 21 13599
23 400 13 674
23 450 3 875
23 500 6 1097
23 550 8 1610
23 650 1 2144
23 700 15 2696
23 750 68 3876
23 800 47 5432
23 850 37 8175
23 900 20 12694
23 950 37 13213
24 300 12 441
24 350 2 600
24 400 3 799
24 500 1 1080
24 600 10 1576
24 650 19 2196
24 700 12 2771
24 750 43 3904
24 800 63 5249
24 850 29 7920
24 900 15 12500
24 950 10 13064
25 400 1 861
25 500 1 1059
25 550 9 1333
25 600 14 1729
25 650 32 2298
25 700 14 2804
25 750 33 3662
25 800 36 4956
25 850 18 7543
25 900 12 11832
25 950 27 11959
26 400 26 737
26 450 8 825
26 500 4 912
26 600 18 1604
26 650 3 2250
26 750 4 3531
26 850 13 7813
26 900 14 11695
26 950 92 12218
27 450 13 719
27 500 12 964
27 550 89 1300
27 600 39 1370
27 650 5 1904
27 700 2 2545
27 750 4 3460
27 800 12 4993
27 850 33 7561
27 900 13 11843
27 950 39 12292
28 500 1 857
28 600 8 1447
28 650 8 1944
28 700 5 2418
28 750 79 3268
28 850 15 7279
28 900 47 11313
28 950 71 11868
29 650 13 1968
29 700 13 2617
29 750 17 3203
29 800 3 4509
29 850 47 6788
29 900 122 10522
29 950 51 11830
30 350 8 760
30 400 3 856
30 450 3 636
30 500 1 982
30 550 16 1245
30 600 1 1636
30 750 1 3328
30 800 27 4367
30 850 80 7009
30 900 24 10494
30 950 29 11115
31 350 22 422
31 500 10 867
31 550 6 1172
31 700 7 2472
31 750 24 3186
31 800 22 4247
31 850 6 6890
31 900 5 10398
31 950 15 10728
32 400 3 534
32 450 1 705
32 550 1 1093
32 650 4 2021
32 700 1 2335
32 800 21 4355
32 850 38 6806
32 900 12 9770
32 950 8 10914
33 250 1 365
33 350 1 453
33 550 4 1100
33 750 4 3045
33 800 3 4552
33 850 38 6518
33 900 2 9932
33 950 15 11004
34 150 1 239
34 250 66 273
34 300 46 282
34 350 14 396
34 400 2 570
34 450 4 752
34 500 6 963
34 600 1 1223
34 800 41 4161
34 850 85 6268
34 900 11 10307
35 450 2 716
35 600 5 1430
35 650 6 1714
35 700 56 2189
35 800 4 4219
35 850 28 6365
35 900 18 10196
36 600 14 1311
36 650 1 1606
36 700 4 2027
36 800 6 3904
36 850 22 5808
36 900 145 9926
36 950 19 9506
37 600 1 1323
37 650 7 1733
37 700 11 2211
37 750 2 2793
37 800 2 3982
37 850 27 5901
37 900 67 9121
37 950 43 9497
38 550 4 961
38 600 2 1110
38 800 2 3902
38 850 4 5671
38 900 1 9428
39 650 5 1444
39 750 15 2648
39 800 26 3785
39 850 5 5738
39 900 14 9134
40 350 1 495
40 600 12 1107
40 650 5 1470
40 800 33 3898
40 850 10 5798
40 900 13 8796
41 300 2 352
41 800 6 3854
41 850 3 5552
41 900 5 8293
41 950 1 8572
42 300 1 279
42 400 7 516
42 450 6 647
42 750 31 2413
42 800 11 4050
42 850 1 5376
42 900 19 8432
42 950 15 8632
43 800 12 3635
43 900 1 7926
44 300 7 304
44 350 1 388
44 400 2 414
44 700 3 1662
44 750 4 2314
44 800 1 3312
44 900 11 7889
45 150 1 138
45 200 1 160
45 650 1 1428
45 800 11 3235
45 900 2 7781
46 150 25 137
46 200 2 211
46 600 4 908
46 650 2 1378
46 800 5 3319
46 850 3 5326
47 550 2 799
47 650 2 1312
47 850 2 4973
47 900 4 7647
48 400 1 506
48 850 19 4927
48 900 3 7270
49 700 2 1520
49 900 16 7337
50 700 6 1729
50 850 19 4975
50 900 25 7270
51 300 5 354
51 350 3 306
51 900 43 7262
52 300 16 289
52 350 10 341
52 400 13 489
52 850 9 4626
52 900 40 6770
53 900 1 7019
54 900 18 6559
57 900 17 6854
58 650 16 995
58 700 2 1492
62 900 23 5881
62 950 1 6206
63 900 31 5941
66 900 13 5597
67 900 4 5655
68 900 13 5592
