Allele_count Bstat Neanderthal non-Neanderthal
1 0 189 17412
1 50 44 10271
1 100 88 17670
1 150 23 20862
1 200 154 24158
1 250 86 30141
1 300 176 34283
1 350 264 44450
1 400 355 55196
1 450 503 64012
1 500 605 74352
1 550 683 91720
1 600 809 111727
1 650 1050 135120
1 700 1594 164479
1 750 1981 214843
1 800 3024 291663
1 850 4378 436776
1 900 8164 632865
1 950 8981 627922
2 0 12 3268
2 50 8 2345
2 100 39 4249
2 150 15 4476
2 200 24 5026
2 250 30 6440
2 300 80 7882
2 350 83 9990
2 400 90 11959
2 450 138 14122
2 500 196 17041
2 550 247 20725
2 600 357 25177
2 650 394 30670
2 700 740 37555
2 750 992 49363
2 800 1244 66090
2 850 2062 98422
2 900 3530 146808
2 950 3917 146077
3 0 45 1503
3 50 1 1109
3 100 4 1987
3 150 5 2276
3 200 13 2584
3 250 7 3338
3 300 21 4069
3 350 51 5256
3 400 83 6479
3 450 154 7473
3 500 190 9138
3 550 261 10972
3 600 299 13244
3 650 352 15851
3 700 452 19209
3 750 601 24546
3 800 758 34461
3 850 1323 51403
3 900 2430 75517
3 950 2665 78114
4 0 5 938
4 50 1 676
4 200 10 1611
4 250 4 2340
4 300 16 2660
4 350 5 3571
4 400 22 4212
4 450 99 4771
4 500 117 6045
4 550 193 7479
4 600 231 9162
4 650 264 10896
4 700 291 13195
4 750 474 17541
4 800 741 24314
4 850 1285 35629
4 900 1634 53056
4 950 1974 53966
5 0 5 610
5 200 58 1368
5 250 34 1781
5 300 24 1866
5 350 78 2663
5 400 57 3142
5 450 149 3547
5 500 245 3985
5 550 112 5455
5 600 149 7081
5 650 309 8343
5 700 313 10253
5 750 467 13271
5 800 588 17803
5 850 1022 27675
5 900 1554 42133
5 950 1767 41627
6 150 1 918
6 250 3 1334
6 300 13 1615
6 350 32 2104
6 400 50 2418
6 450 59 3095
6 500 88 3264
6 550 73 4295
6 600 123 5936
6 650 115 6979
6 700 134 8272
6 750 319 10823
6 800 430 15303
6 850 686 23063
6 900 1289 34693
6 950 1477 34638
7 0 25 429
7 50 17 250
7 100 2 494
7 200 7 935
7 250 4 1124
7 300 24 1122
7 350 23 1624
7 400 42 2055
7 450 16 2503
7 500 164 2945
7 550 144 3663
7 600 93 4622
7 650 74 5658
7 700 156 7126
7 750 457 8980
7 800 371 12733
7 850 506 19699
7 900 990 29738
7 950 1216 30776
8 150 4 441
8 200 2 658
8 250 2 918
8 300 12 1067
8 350 15 1466
8 400 19 1759
8 450 32 2213
8 500 40 2727
8 550 44 3542
8 600 80 4405
8 650 120 5045
8 700 146 6085
8 750 123 8721
8 800 331 11562
8 850 428 17237
8 900 865 26707
8 950 1019 26772
9 150 1 625
9 200 6 734
9 250 13 941
9 300 4 1206
9 350 65 1444
9 400 39 1572
9 450 34 2047
9 500 34 2355
9 550 81 2837
9 600 170 3835
9 650 65 4811
9 700 126 5964
9 750 155 7597
9 800 263 10607
9 850 354 15927
9 900 705 24366
9 950 798 24498
10 50 2 234
10 100 1 270
10 150 1 388
10 200 23 587
10 250 15 690
10 300 34 818
10 350 10 1316
10 400 27 1577
10 450 15 1607
10 500 48 2051
10 550 60 2879
10 600 86 3712
10 650 61 3661
10 700 119 4818
10 750 213 7001
10 800 216 9785
10 850 335 13970
10 900 597 21748
10 950 858 21681
11 300 5 861
11 350 23 1059
11 400 28 1464
11 450 36 1712
11 500 51 2042
11 550 50 2428
11 600 68 3035
11 650 50 3579
11 700 203 5028
11 750 140 6576
11 800 148 8698
11 850 264 13556
11 900 448 21000
11 950 849 20266
12 100 3 208
12 150 2 293
12 200 1 408
12 250 12 526
12 300 38 723
12 350 5 1081
12 400 27 1307
12 450 42 1485
12 500 30 1581
12 550 51 2258
12 600 38 2792
12 650 58 3138
12 700 102 4709
12 750 153 6169
12 800 202 8212
12 850 285 12110
12 900 494 19731
12 950 596 20068
13 150 24 511
13 200 11 457
13 250 22 831
13 350 6 1215
13 400 11 1277
13 450 11 1540
13 500 1 1974
13 550 29 2433
13 600 30 2814
13 650 108 3593
13 700 79 4559
13 750 110 5895
13 800 136 7637
13 850 324 11642
13 900 428 18172
13 950 387 18291
14 0 1 269
14 50 8 123
14 100 14 118
14 150 2 328
14 250 1 568
14 300 2 611
14 350 5 776
14 400 9 911
14 450 32 1289
14 500 9 1638
14 550 16 2149
14 600 24 2505
14 650 40 3387
14 700 80 4182
14 750 78 4988
14 800 145 7320
14 850 182 11312
14 900 433 16971
14 950 420 17304
15 50 5 208
15 100 4 237
15 250 28 546
15 300 6 579
15 350 9 792
15 400 89 1009
15 450 43 1290
15 500 5 1729
15 550 40 1940
15 600 29 2068
15 650 43 2761
15 700 57 3675
15 750 89 5125
15 800 107 7387
15 850 249 10390
15 900 333 15893
15 950 325 15991
16 300 3 592
16 350 10 803
16 400 11 1267
16 450 50 1286
16 500 25 1440
16 550 14 1672
16 600 25 2098
16 650 46 2851
16 700 136 3893
16 750 67 4917
16 800 77 6569
16 850 132 10155
16 900 242 15585
16 950 320 15612
17 250 1 571
17 300 1 688
17 350 57 910
17 400 18 1191
17 450 1 1175
17 500 1 1321
17 600 5 2190
17 650 48 2758
17 700 35 3298
17 750 34 4433
17 800 58 6601
17 850 128 9823
17 900 250 14671
17 950 243 14645
18 200 1 322
18 250 2 354
18 300 3 488
18 350 2 847
18 400 12 900
18 450 1 1135
18 500 2 1461
18 550 4 1686
18 600 30 2126
18 650 11 2458
18 700 30 3264
18 750 48 4224
18 800 75 6330
18 850 83 9698
18 900 246 14381
18 950 235 14366
19 250 27 532
19 300 5 485
19 450 3 1175
19 500 36 1316
19 550 44 1697
19 600 16 1734
19 650 12 2346
19 700 6 2874
19 750 78 4113
19 800 106 5950
19 850 100 9449
19 900 201 13745
19 950 163 14326
20 300 1 436
20 400 12 820
20 450 10 929
20 500 5 1070
20 550 16 1551
20 600 10 1877
20 650 9 2165
20 700 49 2703
20 750 65 4118
20 800 67 5719
