53178	196095	+
206388	249773	+
264463	289944	-
331595	367691	+
419223	492960	-
492988	516632	+
619362	664681	+
666224	668127	-
671710	683230	+
699572	764427	+
773936	775636	-
778744	819945	-
843064	952443	-
952671	967348	-
972860	998345	-
1005609	1020686	+
1065265	1107352	-
1108984	1116952	-
1160720	1166999	-
1189570	1202750	-
1203907	1242908	+
1243227	1246795	+
1283638	1333936	+
1341103	1381837	+
1385339	1389782	+
1396719	1400230	-
1641607	1686040	-
1694526	1714030	-
1717678	1723084	-
1723216	1746905	+
1795038	1810599	+
1813205	1857974	-
1873122	1983934	+
1984440	2010962	-
2043719	2045697	+
2061238	2070816	+
2073644	2243860	-
2249159	2263739	-
2271323	2420370	-
2420671	2464690	+
2470794	2517586	+
2627158	2734302	+
2743386	2758103	-
2794749	2842823	+
2845583	2931802	+
2932287	2935964	-
2937277	2965233	+
2965342	3042474	+
3064972	3245687	-
3250766	3258342	+
3315873	3441640	+
3443659	3451222	+
3465032	3503200	+
3505323	3533876	-
3578595	3592712	+
3675319	3679582	-
3768295	3770253	+
3943668	3957148	-
4190529	4228621	-
4237268	4249969	-
4269428	4291896	-
4291923	4323513	+
4387982	4543775	+
4543857	4712664	+
4763486	4789101	+
4846163	4852554	+
4861391	4865660	+
4922534	4990398	+
5016313	5021197	-
5053526	5502725	+
5526882	5529527	+
5564145	5710294	-
5712923	5816031	+
5822490	5894810	-
5925001	5925055	-
6027925	6202318	-
6202459	6235663	+
6271576	6304992	+
6322304	6474326	-
6576900	6624131	+
6641817	6644470	+
6675820	6677774	+
6695565	6698897	+
6709428	6711606	-
6717841	6719387	+
6784458	6885899	+
6911170	7059677	+
7061779	7069800	-
7099150	7105103	-
7194373	7744564	+
7755816	7941653	+
7967036	8160559	-
8201059	8242830	+
8271491	8298262	+
8368008	8442452	-
8442531	8478282	+
8581963	8591750	+
8594386	8621488	+
8868772	8873543	-
8951476	8952127	+
9212382	9213975	+
9217130	9218723	+
9221877	9223470	+
9226621	9228214	+
9236110	9238060	+
9245604	9247197	+
9250355	9251948	+
9255103	9256696	+
9259849	9261442	+
9264597	9266190	+
9269344	9270937	+
9326890	9328483	+
9331636	9333229	+
9336383	9337976	+
9341128	9342721	+
9345873	9347466	+
9350618	9352211	+
9355363	9356956	+
9360107	9361700	+
9364854	9366447	+
9369599	9370796	+
9446259	9452240	+
9557788	9557937	-
9783257	9785633	+
9827847	10041872	-
10075962	10118573	-
10441503	10459032	-
10491837	10686386	-
11370450	11370545	+
11399987	11430537	-
12225074	12252909	+
13369346	13485989	-
13527942	13533041	-
13542453	13546114	-
13547699	13549448	-
13570365	13629328	-
13629488	13629581	+
13656802	13932852	+
14113591	14141676	+
14911584	15003669	-
15004297	15447791	+
15471488	15603180	+
15606006	15657035	-
15683351	15692070	+
15704572	15733796	+
15779930	15850706	+
15937192	15940363	-
15961862	15964859	-
15969848	16085623	-
16162127	16228161	-
16228285	16259810	+
16503164	16900424	-
17173379	17187680	-
17488015	17513857	-
17516787	17528727	+
17578926	17609590	+
17616272	17626160	+
17633708	17783135	-
17802277	17812381	-
17812435	18023483	+
20255186	20622184	+
20702035	20729980	+
20730238	21305529	-
21844963	21854811	-
22328989	22341289	-
22388996	22517677	-
22694536	22821195	+
23199716	23464726	-
23793643	23891700	-
24521814	24521913	-
24529087	24586184	-
24797084	24802467	+
24807738	24981826	-
25000470	25032414	-
25121626	25162204	-
25162293	25200127	+
25235652	25280831	+
25314395	25372005	+
25378847	25420120	+
25657434	25680368	+
25749048	25865217	-
25915813	25931501	+
26321331	26436752	+
26483017	26492042	-
26585545	26757835	+
26862312	27027003	+
27219100	27283847	+
28821203	28821290	+
