Pleiotropy_number,singletons,doubletons,common,single_control,double_control,common_control
1,108679,30856,213417,102151,29570,210472
2,99548,28188,192538,91241,26195,188183
3,89780,25294,172709,80448,23279,164525
4,76082,21424,145851,66958,19598,135648
5,64036,18253,119994,55330,15940,110798
6,54910,15688,103471,46742,13503,93176
7,46643,13398,87714,38901,11313,78051
8,39983,11572,75646,33203,9743,67086
9,35567,10117,65905,28508,8279,57377
10,31856,9135,59358,25019,7381,50360
11,27463,7944,51068,21324,6370,43104
12,24231,7020,45489,18992,5565,37859
13,22273,6455,40879,16906,4891,33152
14,19749,5603,36878,14449,4267,28704
15,17937,5249,32801,13057,3780,25764
16,16314,4745,29706,11409,3268,22963
17,14190,4063,25517,10125,2891,19586
18,12363,3517,22536,8158,2490,16411
19,10534,2996,19118,6744,2004,13440
20,8345,2430,14652,5236,1604,10280
21,6260,1762,11269,3849,1080,7330
22,4115,1220,7298,2419,720,4714
23,1936,523,3339,1231,339,2162
24,613,195,1052,388,108,653
