chromosome	start	end	name	enhancer_activity	predicted_tissue_activity
X	3285387	3285507	ANC429	No	N/A
X	9373467	9373595	ANC1355	No	N/A
X	11009120	11009660	HACNS_964	No	N/A
X	11057941	11058512	HACNS_920;HAR129	No	N/A
X	16550759	16551015	HACNS_61;BUSH08_60	No	N/A
X	16719238	16719520	ANC1332	No	N/A
X	18445467	18445744	HACNS_809	Yes	brain;neural_tube
X	20862357	20862615	ANC1333	No	N/A
X	23318845	23319245	HACNS_822	No	N/A
X	24948796	24949125	BUSH08_61;HAR45	No	N/A
X	25000147	25000708	ANC1334	Yes	brain
X	25400759	25401844	ANC1335	Yes	other
X	25838151	25838618	ANC1336	No	N/A
X	28184928	28185336	ANC370;HACNS_634	No	N/A
X	29275698	29276155	ANC1337	Yes	limb
X	29318865	29319229	ANC1338	No	N/A
X	29435411	29435740	HACNS_894	No	N/A
X	30389588	30389861	ANC1339;HACNS_557	No	N/A
X	30519987	30520286	HACNS_246	No	N/A
X	31206218	31206399	HACNS_442	Yes	other
X	31351750	31352066	ANC371	Yes	limb
X	31432568	31432903	ANC1340	No	N/A
X	31441180	31441434	ANC372;HACNS_395	Yes	other
X	31987165	31987374	ANC1341	No	N/A
X	32011263	32011448	ANC1342	Yes	other
X	32011910	32012141	HACNS_901	Yes	other
X	32551918	32552090	HACNS_372;ANC1343	No	N/A
X	32693074	32693324	ANC1344	No	N/A
X	33089770	33090135	ANC1345	No	N/A
X	33144820	33145017	HAR11	No	N/A
X	33327060	33327385	ANC1346	No	N/A
X	39147442	39147812	ANC1347	Yes	other
X	39625244	39625356	ANC1348	Yes	brain
X	40731475	40731706	HACNS_352	Yes	limb
X	41906833	41907062	HACNS_539	Yes	other
X	42101179	42101370	ANC1349;HACNS_477	Yes	brain
X	46362724	46363046	ANC1350	No	N/A
X	48952707	48952845	ANC385	No	N/A
X	51663857	51664710	ANC373	No	N/A
X	67353110	67353632	ANC132	No	N/A
X	69138557	69138754	ANC1351	No	N/A
X	74804065	74804432	ANC1352	No	N/A
X	78290262	78290594	HACNS_366	No	N/A
X	81697678	81698162	ANC1353	No	N/A
X	85465566	85466220	ANC1354;HAR76	No	N/A
X	86318200	86318500	ANC374	Yes	other
X	95009502	95009765	HACNS_399	No	N/A
X	100001199	100001549	ANC1356	Yes	other
X	104985398	104985515	ANC1320	No	N/A
X	106684746	106685048	HACNS_291;2xHAR.268;HAR141;ANC1321	No	N/A
X	107592706	107592862	ANC1322	No	N/A
X	109820538	109821007	ANC366;HACNS_275	Yes	other
X	111910675	111911347	HACNS_70;2xHAR.347	No	N/A
X	115140187	115140417	HACNS_619	No	N/A
X	121796323	121796559	ANC1323;HACNS_676	Yes	other
X	123591375	123591434	2xHAR.438	No	N/A
X	123598031	123598342	HACNS_232	Yes	other
X	123769547	123770322	HACNS_959	No	N/A
X	123899549	123899998	HACNS_340	No	N/A
X	123981766	123981998	ANC1324	No	N/A
X	124173585	124173914	HACNS_779	No	N/A
X	124654513	124654679	HACNS_277	No	N/A
X	128242090	128242253	HACNS_415	Yes	other
X	128252345	128253021	HACNS_471	Yes	other
X	128396767	128396868	HACNS_156	Yes	other
X	128513267	128513624	ANC367	No	N/A
X	132012684	132013075	HACNS_524	Yes	brain
X	132496592	132496843	ANC1325	Yes	other
X	133094953	133095487	HACNS_288	No	N/A
