140263	140379	-
147399	147590	-
148024	148159	-
181465	181695	-
182365	182474	-
184592	184809	-
186355	186561	-
187735	187906	-
189475	189649	-
198164	198509	-
204886	205484	-
292056	292560	+
304627	304661	+
311879	311962	+
335113	335163	+
345853	345928	+
348102	348274	+
348768	351355	+
391738	391809	+
393097	393368	+
394820	395007	+
395846	395935	+
397107	397252	+
398827	398935	+
401423	401777	+
405017	405130	+
406765	406899	+
407454	411443	+
485137	486764	-
488978	489038	-
491124	491186	-
497366	497489	-
499644	499700	-
532468	532610	-
549174	549291	-
553853	553920	-
555226	555288	-
555953	556013	-
556483	556564	-
562783	562845	-
564032	564154	-
564544	564702	-
564863	564929	-
572519	572644	-
576756	576882	-
592468	592587	-
598020	598123	-
598859	598941	-
599079	599225	-
610097	610178	-
617710	617835	-
619429	619543	-
629834	629961	-
632940	633117	-
637700	637861	-
655938	656964	-
657162	657250	-
689138	689212	-
693018	693141	-
868497	869040	+
873750	873974	+
874971	876613	+
961240	961568	-
962374	962528	-
998600	998707	-
1005632	1005763	-
1099947	1101567	-
1312674	1314993	+
1390068	1391353	+
1394930	1395832	+
1605765	1606034	+
1606250	1607591	+
1610680	1614129	+
1624034	1624466	-
1624706	1624775	-
1726649	1726746	-
1742701	1742820	-
1930336	1930464	-
1960100	1960205	-
1961007	1961200	-
2116004	2116114	-
2117702	2117790	-
2124920	2124965	-
2176165	2176225	-
2245554	2245868	-
2245986	2246164	+
2249070	2249160	+
2263834	2263918	+
2329516	2329566	+
2398810	2399012	+
2399099	2399271	+
2413013	2413825	+
2622971	2624353	-
2633838	2634026	-
2634798	2635298	-
2663862	2668133	-
2671509	2671582	-
2675280	2675359	-
2678453	2678606	-
2679513	2679642	-
2680454	2680525	-
2683254	2683396	-
2685529	2685639	-
2685716	2685810	-
2689084	2689190	-
2693017	2693093	-
2749369	2749640	-
2750969	2751154	-
2765665	2766678	+
2768924	2769116	+
2770353	2770595	+
2779496	2779726	+
2783639	2783795	+
2784557	2784637	+
2785240	2785979	+
2832565	2834246	-
2836089	2836257	-
2836341	2836484	-
2838115	2838233	-
2838782	2838920	-
2839568	2839700	-
2840652	2840828	-
2842045	2842283	-
2854264	2854341	-
2854890	2855924	-
2876526	2876744	-
2884221	2884315	+
2884944	2885074	+
2887499	2890804	-
2892066	2892222	-
2893644	2893787	-
2895624	2895742	-
2896286	2896424	-
2899262	2899353	+
2900149	2900290	+
2900677	2900910	-
2903434	2903546	-
2948392	2948933	-
2949147	2949303	-
2953277	2953420	-
2954825	2954943	-
2955757	2955904	-
2959401	2959576	-
2962127	2962404	-
2969012	2969147	-
2970991	2971282	-
2971350	2972399	-
2988200	2988265	+
2988661	2991405	+
3000049	3000319	+
3002283	3002520	+
3003902	3004023	+
3004728	3004885	+
3006701	3006793	+
3010258	3010423	+
3012777	3012908	+
3015763	3015877	+
3017117	3017219	+
3019712	3020110	+
3020389	3025005	-
3077057	3077221	+
3078012	3078169	+
3081212	3081350	+
3083318	3083547	+
3085492	3085642	+
3089814	3089891	+
3104458	3104549	+
3105715	3106285	+
3111036	3111189	+
3113286	3115421	+
3118925	3119081	+
3119518	3119746	+
3123890	3123994	+
3127475	3127642	+
3129278	3129432	+
3137595	3137656	+
3138274	3138413	+
3140619	3140743	+
3152721	3153432	+
3153901	3155157	-
3155858	3155969	-
3156277	3156386	-
3157640	3157783	-
3183051	3183960	-
3191060	3191491	-
3195899	3196001	-
3224494	3226045	-
3226392	3226503	-
3226794	3226903	-
3227720	3227968	-
3259161	3259430	+
3263917	3263993	+
3264442	3264559	+
3267824	3268300	+
3269206	3273646	-
3284085	3284209	-
3285312	3285345	-
3287092	3287325	-
3289997	3290100	-
3298324	3298452	-
3323499	3323552	-
3323557	3324236	-
3410421	3410576	-
3415985	3416089	-
3432327	3432572	-
3445052	3445247	-
3456139	3456793	-
3722835	3723970	-
3727784	3727896	-
3737312	3737430	-
3738290	3738382	-
3751509	3752246	-
3849631	3849720	+
3850022	3851551	+
4021568	4021700	+
4031792	4032989	+
4037630	4037804	+
4041005	4041161	+
4042720	4042802	+
4044046	4044257	+
4047408	4047482	+
4049249	4049340	+
4049965	4050113	+
4052190	4052328	+
4052953	4053107	+
4056554	4056669	+
4057269	4057421	+
4058961	4059048	+
4060646	4065217	+
4068592	4070154	-
4073508	4073576	-
4073666	4073741	-
4074676	4074690	-
4074810	4074895	-
4077588	4077682	-
4079085	4079914	-
4087582	4087960	+
4099233	4099432	+
4115640	4115897	+
4115926	4116263	-
4117541	4117685	-
4119419	4119509	-
4122182	4122280	+
4125193	4126353	+
4126368	4126471	-
4127995	4128065	-
4130375	4130595	+
4130605	4130999	-
4131000	4131099	-
4133782	4133935	-
4135603	4135702	-
4135744	4135831	-
4136305	4136482	+
4137594	4137636	+
4155074	4155227	+
4155714	4157619	+
4186553	4187003	-
4188223	4188424	-
4190110	4190263	-
4610798	4611046	+
4611211	4612153	+
4706392	4706485	+
4715974	4716115	+
4734995	4735078	+
4776679	4777041	+
4836331	4836542	+
4890225	4890360	+
4891946	4892613	+
4935748	4936005	+
4937798	4937971	+
4943779	4943990	+
4952499	4952643	+
4954131	4955778	+
4995279	4995510	-
4996184	4996319	-
4996455	4996654	-
4998949	4999075	-
5000042	5000138	-
5000796	5000865	-
5002334	5002479	-
5004049	5004297	+
5021614	5021707	+
5030205	5030429	+
5042739	5043823	+
5072832	5072968	+
5085719	5087455	+
5108652	5109725	-
5113304	5113651	-
5144371	5144496	-
5148466	5148556	-
5186833	5187214	-
5216850	5216971	-
5237940	5240729	+
5260880	5261183	-
5261583	5261893	+
5368782	5369415	+
5404774	5404934	+
5431273	5431405	+
5452700	5452990	-
5457185	5457258	-
5458126	5458308	-
5545412	5545573	+
5613401	5613553	+
5665219	5665691	-
5668269	5668346	-
5695114	5695241	-
5695377	5695505	-
5771523	5771816	+
5998232	5999437	-
6002585	6002730	-
6003401	6003506	-
6003935	6004277	-
6006927	6007016	-
6007719	6007838	-
6144310	6146005	-
6152045	6152182	-
6167690	6167851	-
6174812	6175100	-
6182220	6182374	-
6196029	6196118	-
6197455	6197559	-
6222265	6222404	-
6224918	6225093	-
6248544	6248652	-
6251043	6251162	-
6266790	6267042	-
6305583	6305772	-
6318767	6318915	-
6320819	6320924	-
6346697	6347653	-
6348843	6348983	-
6366587	6366842	-
6369234	6369388	-
6438808	6438965	-
6564527	6564621	-
6569650	6569722	-
6588933	6589103	+
6622864	6623059	-
6625158	6625245	+
6626525	6626654	+
6649857	6649910	+
6654776	6655216	+
7107829	7108001	+
7108085	7108293	+
7176887	7177006	+
7181356	7181479	+
7182102	7182315	+
7187666	7187756	+
7189391	7189555	+
7211036	7211181	+
7211805	7211942	+
7226699	7226889	+
7229229	7232140	+
7240670	7240835	+
7246656	7247454	+
7248743	7252213	+
7281375	7290164	-
7295624	7295718	-
7298155	7298234	-
7298979	7299056	-
7301542	7301805	-
7303782	7303870	-
7310149	7310262	-
7313274	7313547	-
7326886	7327132	-
7329329	7329499	-
7330081	7330121	-
7334254	7334323	-
7355273	7355344	-
7356257	7356362	-
7365700	7365808	-
7366036	7366117	-
7368920	7369031	-
7370151	7370298	-
7373305	7374364	-
7378849	7379253	-
7386017	7386105	-
7387211	7387429	-
7389434	7389942	-
7390061	7390306	+
7393331	7393536	+
7395285	7395376	+
7396935	7397005	+
7398930	7398973	+
7401190	7401283	+
7402835	7403130	+
7404173	7404260	+
7404650	7404788	+
7405150	7405254	+
7405481	7405588	+
7410618	7410684	+
7411564	7411684	+
7413121	7413175	+
7414470	7414623	+
7417563	7418270	+
7541869	7542318	+
7555950	7556053	+
7558348	7558497	+
7559458	7559633	+
7562884	7563013	+
7563968	7564019	+
7565591	7565753	+
7566609	7566714	+
7567586	7567682	+
7568013	7568139	+
7568669	7568822	+
7569418	7569573	+
7570669	7570796	+
7571615	7571817	+
7572074	7572301	+
7574318	7574485	+
7574889	7575028	+
7575527	7575721	+
7576526	7576689	+
7577191	7577275	+
7578011	7578119	+
7578696	7578795	+
7579507	7580005	+
7582874	7586946	+
7590431	7590646	+
7593966	7594080	+
7594331	7594392	+
7595259	7595334	+
7601568	7601757	+
7602855	7602977	+
7605630	7605719	+
7606263	7606428	+
7609057	7612200	+
7727010	7727852	+
7845372	7845565	+
7861683	7861832	+
7862533	7862731	+
7879306	7879383	+
7880223	7880334	+
7880426	7883499	+
7884591	7884721	-
7886193	7886276	-
7888937	7889081	-
7889727	7889814	-
7891853	7891969	-
7895338	7895435	-
7899808	7899914	-
7904806	7904956	-
7910045	7910310	-
7910746	7911047	-
7986334	7990577	+
8013799	8016061	-
8026599	8026658	-
8041371	8041501	-
8054502	8054605	-
8062766	8062849	-
8064497	8064647	-
8073592	8073743	-
8079627	8080263	-
8086640	8086766	-
8090418	8090514	-
8097499	8097700	-
8102667	8102828	-
8413299	8413932	-
8415140	8415210	-
8417116	8417228	-
8417634	8417727	-
8418976	8419118	-
8419812	8419910	-
8420953	8421061	-
8422702	8422857	-
8428169	8428291	-
8430096	8430390	-
8434617	8434663	-
8435174	8435800	-
8435855	8436411	+
8438172	8438264	+
8558817	8558876	+
8652441	8652623	+
8653777	8654080	+
8710841	8712526	+
8784423	8784570	+
8785349	8785678	+
10396915	10398938	-
10400680	10400822	-
10402724	10402843	-
10404740	10404972	-
10407025	10407077	-
10410133	10410568	-
10411802	10412607	-
10414913	10415470	+
10415519	10416402	+
10419650	10419797	-
10428017	10430546	-
10434480	10434659	-
10434745	10435055	-
10439949	10440027	+
10521567	10521650	+
10527706	10527893	+
10528863	10530069	+
10555948	10557575	+
10585992	10587147	+
10621583	10621676	+
10626649	10629601	+
10671650	10671831	-
10672779	10672869	-
10683419	10683465	-
10685081	10685156	-
10687198	10687397	-
10687712	10687794	-
10694726	10694839	-
10694935	10695030	-
10695187	10695302	+
10697556	10697719	+
10702601	10702722	+
10702797	10702872	+
10703637	10703690	+
10704739	10704885	+
10704979	10705077	+
10707647	10707747	+
10709185	10709309	+
10709470	10709970	+
10723147	10723474	+
10724788	10724866	+
10725193	10725270	+
10726139	10726241	+
10728872	10728960	+
10730847	10731362	+
10747991	10748114	+
10749434	10749501	+
10749854	10749931	+
10751365	10751467	+
10755374	10755465	+
10756699	10757214	+
10759171	10760006	+
10762955	10764839	-
10770343	10770463	-
10773266	10773341	-
10775560	10775692	-
10784656	10784805	-
10791907	10792080	-
10796230	10796542	-
10802124	10802292	-
10803952	10804124	-
10809042	10809175	-
10813876	10813956	-
10818082	10818204	-
10819118	10819173	-
10830780	10831110	-
10838714	10838788	-
10873455	10875166	-
10876123	10876249	-
10876677	10876790	-
10877372	10877625	-
10881936	10882098	-
10887063	10887368	+
10891745	10891814	+
10894099	10894237	+
10894317	10894437	+
10898243	10898348	+
10899056	10899081	+
10902909	10902995	+
10903107	10903196	+
10906252	10906287	+
10907774	10907917	+
10910380	10910433	+
10911056	10911102	+
10912905	10912998	+
10913099	10913160	+
10924728	10924874	+
10926571	10926665	+
10927472	10927600	+
10928635	10928683	+
10930602	10930747	+
10931672	10931722	+
10932549	10932822	-
10935290	10935420	+
10942691	10942762	+
10942909	10942979	+
10951901	10952614	-
10954277	10954322	-
10955348	10955450	+
10956368	10956475	+
10959016	10959108	+
10961537	10961637	+
10961732	10961791	+
10964014	10964076	+
10974184	10974541	+
10980992	10984139	-
10989935	10990070	-
10990550	10990675	-
10995239	10995411	-
11000319	11000397	-
11005604	11005792	-
11010978	11011042	-
11043990	11044058	+
11044460	11044624	-
11044923	11045199	+
11048141	11048232	+
11049341	11049452	+
11073687	11073778	+
11077921	11079377	+
11094265	11094622	+
11102721	11105863	-
11111909	11112071	-
11134635	11138969	+
11183530	11185904	-
11188450	11188540	-
11190196	11191438	-
11192577	11192679	-
11193823	11193925	-
11200503	11201279	-
11213513	11213960	-
11232736	11232915	-
11305298	11305392	-
11306224	11306388	-
11382371	11382581	-
11538459	11538607	+
11565898	11566069	+
11575663	11583757	+
11713887	11714745	-
11723581	11723733	-
11735800	11735916	-
11766506	11766608	-
11768481	11768616	-
11770263	11770317	-
11778839	11779280	-
11990575	11990753	-
11992147	11992271	-
12001394	12001477	-
12012723	12012799	+
12015758	12015901	+
12089416	12089470	+
12120122	12126103	+
12129991	12130125	+
12130999	12131175	+
12136023	12136125	+
12161671	12162162	+
12163515	12165232	+
12290528	12290926	+
12292573	12292742	+
12294173	12294329	+
12294493	12294637	+
12296194	12297427	+
12392558	12392586	-
12717036	12717128	+
12717740	12717975	+
12718930	12719079	+
12749875	12750022	+
13053596	13053761	+
13160435	13160516	+
13182750	13182918	+
13206046	13206368	+
13228047	13228295	+
13230268	13230425	+
13273091	13273147	+
13278499	13278561	+
13279526	13281388	-
13281660	13281785	-
13283653	13283794	+
13286377	13286454	+
13287294	13288075	+
13295027	13295130	-
13295506	13295620	-
13295717	13295818	-
13305183	13305419	-
13306629	13306759	-
13307831	13307977	-
13316802	13316940	-
13321139	13321327	-
13325325	13325406	-
13327018	13327138	-
13328527	13328815	-
13363586	13365894	-
13408141	13408369	-
13469501	13470862	-
13472212	13472295	-
13486242	13486415	-
13486869	13487869	-
13574760	13574856	+
13574858	13574976	+
13579682	13579841	+
13584307	13584457	+
13588562	13588696	+
13591900	13592126	+
13595708	13595796	+
13597194	13597248	+
13599263	13599387	+
13601065	13601181	+
13604707	13605970	+
13612021	13615390	+
13615558	13615856	+
13615943	13616004	+
13616694	13616753	+
13618001	13618033	+
13618289	13618371	+
13620439	13620561	+
13620639	13620717	+
13620985	13621127	+
13621729	13622724	-
13625884	13625996	-
13632601	13632753	-
13634662	13634784	-
13638039	13638187	-
13639794	13639985	-
13641430	13641539	-
13642710	13642823	-
13644776	13644961	-
13652890	13652913	-
13657340	13657508	-
13659011	13659064	-
13697016	13697128	-
13711166	13711796	-
13786780	13791096	-
13792109	13792224	-
13794125	13794179	-
13799064	13799136	-
13800572	13800614	-
13801519	13801621	-
13802474	13802578	-
13807156	13807276	-
13814246	13814792	-
13924676	13924803	+
13925097	13925254	+
13925423	13925597	+
13961710	13961793	+
13974440	13974595	+
13977139	13980240	+
14117486	14117530	+
14117864	14118079	+
14118180	14118296	+
14131750	14131979	+
14133879	14133986	+
14135338	14137148	+
14280357	14283419	-
14284175	14284411	-
14285286	14285685	-
15246205	15246815	+
15248045	15248375	-
15248740	15248927	-
15249085	15249195	+
15374347	15374483	+
15410454	15410596	+
15452236	15452406	+
15468772	15468949	+
15487537	15487773	+
15496362	15497401	+
15501137	15501640	+
15504730	15504823	+
15507366	15507485	+
15507576	15507647	+
15508570	15508685	+
15511526	15511632	+
15512438	15512621	+
15513145	15513276	+
15513469	15513653	+
15517391	15517499	+
15520299	15522273	+
15523031	15523450	-
15523800	15524900	-
15533470	15533626	-
15593289	15593312	-
15615497	15615630	-
15627573	15627706	-
15637974	15638035	-
15651543	15651594	-
15652317	15652371	-
15660613	15660752	-
15663044	15663289	-
16129316	16129640	+
16130787	16130978	+
16141786	16142041	+
16143250	16143448	+
16143929	16144094	+
16145127	16145548	+
16146892	16148478	+
16238810	16239011	+
16247072	16247192	+
16250514	16250598	+
16254792	16254966	+
16274645	16274727	+
16279014	16279121	+
16286023	16286066	+
16290692	16290852	+
16295236	16295780	+
16299342	16307090	-
16326624	16328701	-
16486202	16486340	-
16522857	16522919	-
16586010	16586138	-
16658006	16658132	-
16753463	16753578	-
16754273	16754322	-
16761528	16761721	-
17102488	17102569	+
17115192	17115370	+
17120837	17120989	+
17129342	17129474	+
17130824	17131603	+
17281808	17281980	+
17282294	17282450	+
17282931	17283159	+
17284887	17284942	+
17291986	17294099	+
17393735	17393977	+
17421785	17421907	+
17426820	17426921	+
17463226	17463304	+
17501595	17502218	-
17503444	17503579	-
17507399	17507543	+
17507871	17507957	+
17508803	17508924	-
17511335	17511496	-
17514079	17514185	+
17539499	17539689	+
17541203	17541379	+
17543067	17543191	+
17543291	17543374	+
17551694	17551835	+
17556589	17558023	+
17600517	17601352	+
17602820	17602941	+
17605136	17605260	+
17606104	17606244	+
17608425	17611950	+
17615265	17616412	-
17616757	17616926	-
17624791	17625064	-
17626038	17626395	-
17628885	17629770	-
17632880	17633075	-
17637383	17638001	-
17640169	17640295	-
17646297	17646385	-
17648037	17648136	-
17649393	17649531	-
17652064	17652157	-
17661883	17662010	-
17662248	17662301	-
17665469	17665616	-
17669205	17669259	-
17669523	17669568	-
17669660	17669777	-
17675135	17675264	-
17675459	17675599	-
17675752	17676001	-
17688626	17688849	-
17706507	17707065	-
17759413	17761108	-
17763923	17765177	-
17771344	17771449	-
17772138	17772290	-
17773708	17773814	-
17775245	17775293	-
17777507	17777585	-
17779177	17779330	-
17779822	17779915	-
17780960	17781137	-
17781407	17781532	-
17783876	17783932	-
17785745	17785872	-
17788006	17788106	-
17790102	17790141	-
17794479	17794626	-
17794802	17794935	-
17796899	17797051	-
17799496	17799670	-
17800182	17800344	-
17804591	17804741	-
17805705	17805846	-
17808998	17809161	-
17817250	17817464	-
